mr_new,pseudo_mr,text,da,entity,num_triples,num_hops
dogs name Bluetick Coonhound. Bluetick Coonhound barking often barks. Bluetick Coonhound grooming lots of grooming. Bluetick Coonhound playfulness playful.,Bluetick Coonhound Often Barks Lots Of Grooming Playful,"The Bluetick Coonhound is often barking and requires lots of grooming, but it is also known for its playfulness.",inform,dogs,4,1
dogs name Boykin Spaniel. Boykin Spaniel good with children most kid-friendly. Boykin Spaniel good with strangers friendly to strangers. Boykin Spaniel good with other dogs most friendly to other dogs. Boykin Spaniel grooming average amount of grooming. Boykin Spaniel energy more energy.,Boykin Spaniel Most Kid-Friendly Friendly To Strangers Most Friendly To Other Dogs Average Amount Of Grooming More Energy,"The Boykin Spaniel is known for being kid-friendly, friendly to strangers, and most friendly to other dogs. It requires an average amount of grooming and has more energy than some other breeds.",inform,dogs,6,1
dogs name German Shepherd Dog. German Shepherd Dog good with strangers friendly to strangers. German Shepherd Dog max weight female 70.0.,German Shepherd Dog Friendly To Strangers 70.0,The German Shepherd Dog is friendly to strangers and has a maximum weight of 70.0 for females.,inform,dogs,3,1
dogs name Bichon Frise. Bichon Frise playfulness very playful. Bichon Frise grooming no grooming. Bichon Frise shedding no shedding. Bichon Frise max height female 11.5. Bichon Frise drooling never drools. Bichon Frise max height male 11.5. Bichon Frise good with other dogs most friendly to other dogs.,Bichon Frise Very Playful No Grooming No Shedding 11.5 Never Drools 11.5 Most Friendly To Other Dogs,"The Bichon Frise is a very playful and friendly small dog that stands at most 11.5 inches tall, and does not require grooming or shed. It is very friendly to other dogs and never drools.",inform,dogs,8,1
dogs name French Bulldog.,French Bulldog,The French Bulldog is an animal.,inform,dogs,1,1
dogs name Cesky Terrier. Cesky Terrier max height male 13.0.,Cesky Terrier 13.0,The Cesky Terrier has a maximum height of 13.0 for males.,inform,dogs,2,1
dogs name Parson Russell Terrier. Parson Russell Terrier max life expectancy 15. Parson Russell Terrier trainability easy trainable. Parson Russell Terrier max weight female 17.0. Parson Russell Terrier coat length short coat. Parson Russell Terrier protectiveness alert. Parson Russell Terrier drooling never drools.,Parson Russell Terrier 15 Easy Trainable 17.0 Short Coat Alert Never Drools,"The Parson Russell Terrier has a maximum life expectancy of 15 years, and is easy to train. Female Parson Russell Terriers can weigh up to 17 pounds and have a short coat. They are quite alert and protective, and never drool.",inform,dogs,7,1
dogs name Finnish Spitz. Finnish Spitz energy high energy. Finnish Spitz max life expectancy 15. Finnish Spitz playfulness playful. Finnish Spitz good with strangers friendly to strangers. Finnish Spitz trainability trainable. Finnish Spitz max height female 20.0. Finnish Spitz max weight female 28.0.,Finnish Spitz High Energy 15 Playful Friendly To Strangers Trainable 20.0 28.0,"The Finnish Spitz is a high energy, playful, friendly to strangers, and trainable animal with a maximum life expectancy of 15 years. The maximum height and weight for a female is 20.0 inches and 28.0 lbs respectively.",inform,dogs,8,1
dogs name English Toy Spaniel. English Toy Spaniel max height female 10.0. English Toy Spaniel ratings okay. English Toy Spaniel trainability trainable. English Toy Spaniel good with strangers friendly to strangers. English Toy Spaniel good with children most kid-friendly.,English Toy Spaniel 10.0 Okay Trainable Friendly To Strangers Most Kid-Friendly,"The English Toy Spaniel is rated as being okay, and is relatively trainable. It is friendly to strangers and very kid-friendly. The maximum height of a female English Toy Spaniel is 10.0.",inform,dogs,6,1
dogs name Collie. Collie max height female 26.0. Collie ratings excellent. Collie max height male 26.0.,Collie 26.0 Excellent 26.0,"The Collie is an excellent dog, with a maximum height of 26 inches for both males and females.",inform,dogs,4,1
dogs name American Water Spaniel. American Water Spaniel protectiveness alert. American Water Spaniel grooming average amount of grooming. American Water Spaniel playfulness playful. American Water Spaniel max height male 18.0.,American Water Spaniel Alert Average Amount Of Grooming Playful 18.0,The American Water Spaniel is an alert and playful breed with an average amount of grooming. Male American Water Spaniels typically reach a maximum height of 18.0 inches.,inform,dogs,5,1
dogs name Golden Retriever. Golden Retriever max life expectancy 12. Golden Retriever barking silient. Golden Retriever trainability very easy to train. Golden Retriever shedding more than average shedding. Golden Retriever ratings excellent.,Golden Retriever 12 Silient Very Easy To Train More Than Average Shedding Excellent,"The Golden Retriever has a maximum life expectancy of 12 years and is rated excellent. It is easy to train and sheds more than the average dog, but it is known for being relatively silent in terms of barking.",inform,dogs,6,1
dogs name Siberian Husky. Siberian Husky good with children most kid-friendly.,Siberian Husky Most Kid-Friendly,The Siberian Husky is considered one of the most kid-friendly dog breeds.,inform,dogs,2,1
dogs name Icelandic Sheepdog. Icelandic Sheepdog max weight female 25.0. Icelandic Sheepdog grooming lots of grooming. Icelandic Sheepdog shedding average shedding. Icelandic Sheepdog barking often barks.,Icelandic Sheepdog 25.0 Lots Of Grooming Average Shedding Often Barks,"The Icelandic Sheepdog is a small dog with a female maximum weight of 25.0, and it requires lots of grooming. It sheds an average amount and often barks.",inform,dogs,5,1
dogs name Norwegian Elkhound. Norwegian Elkhound max life expectancy 15. Norwegian Elkhound drooling sometimes drool.,Norwegian Elkhound 15 Sometimes Drool,The Norwegian Elkhound has a maximum life expectancy of 15 years and can sometimes drool.,inform,dogs,3,1
dogs name Berger Picard. Berger Picard trainability easy trainable.,Berger Picard Easy Trainable,The Berger Picard is a breed of dog that is easy to train.,inform,dogs,2,1
dogs name Petit Basset Griffon Vendéen. Petit Basset Griffon Vendéen trainability trainable. Petit Basset Griffon Vendéen good with children most kid-friendly. Petit Basset Griffon Vendéen max weight female 40.0. Petit Basset Griffon Vendéen drooling sometimes drool. Petit Basset Griffon Vendéen max weight male 40.0.,Petit Basset Griffon Vendéen Trainable Most Kid-Friendly 40.0 Sometimes Drool 40.0,The Petit Basset Griffon Vendéen is a trainable dog that is most kid-friendly and sometimes drool. It has a maximum weight of 40 pounds for both males and females.,inform,dogs,6,1
dogs name Portuguese Podengo Pequeno. Portuguese Podengo Pequeno good with children most kid-friendly. Portuguese Podengo Pequeno max weight female 13.0. Portuguese Podengo Pequeno protectiveness alert. Portuguese Podengo Pequeno barking sometimes barks. Portuguese Podengo Pequeno good with strangers friendly to strangers.,Portuguese Podengo Pequeno Most Kid-Friendly 13.0 Alert Sometimes Barks Friendly To Strangers,"The Portuguese Podengo Pequeno is a kid-friendly, alert, and sometimes barking dog that is friendly to strangers and weighs up to 13.0kg for females.",inform,dogs,6,1
dogs name Xoloitzcuintli. Xoloitzcuintli good with children kid-friendly. Xoloitzcuintli ratings good. Xoloitzcuintli max height female 25.0. Xoloitzcuintli barking sometimes barks.,Xoloitzcuintli Kid-Friendly Good 25.0 Sometimes Barks,"The Xoloitzcuintli is a kid-friendly breed, rated as being good with children, and it sometimes barks. Female Xoloitzcuintlis typically grow up to 25 inches in height.",inform,dogs,5,1
dogs name American Eskimo Dog. American Eskimo Dog max height male 26.0. American Eskimo Dog good with other dogs friendly to other dogs. American Eskimo Dog barking sometimes barks.,American Eskimo Dog 26.0 Friendly To Other Dogs Sometimes Barks,The American Eskimo Dog  is a breed of canine that can reach a maximum height of 26.0 inches. It is known for being friendly to other dogs and sometimes barking.,inform,dogs,4,1
dogs name Chihuahua. Chihuahua max weight male 6.0. Chihuahua max life expectancy 16.,Chihuahua 6.0 16,"The Chihuahua can reach a maximum weight of 6.0 kilograms for males, and the average lifespan is 16 years.",inform,dogs,3,1
dogs name Harrier. Harrier max height female 21.0. Harrier max weight female 60.0. Harrier good with strangers very friendly to strangers. Harrier coat length short coat. Harrier drooling sometimes drool.,Harrier 21.0 60.0 Very Friendly To Strangers Short Coat Sometimes Drool,The Harrier is a friendly dog that is very welcoming to strangers. It has a short coat and sometimes drools. The female's maximum height is 21.0 and its maximum weight is 60.0.,inform,dogs,6,1
dogs name Pembroke Welsh Corgi. Pembroke Welsh Corgi playfulness very playful. Pembroke Welsh Corgi max weight male 31.0. Pembroke Welsh Corgi protectiveness very alert.,Pembroke Welsh Corgi Very Playful 31.0 Very Alert,"The Pembroke Welsh Corgi is a very playful and alert animal, with a max weight of 31.0 for males.",inform,dogs,4,1
