mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
wild animals name Eastern Woodrat. Eastern Woodrat diet Herbivore. Eastern Woodrat weight 0.47-0.73 lb 213-331 g. Eastern Woodrat gestation period 30-37 days.,Eastern Woodrat Herbivore 0.47-0.73 Lb (213-331 G) 30-37 Days,The Eastern Woodrat is an herbivore that weighs between 0.47 and 0.73 lb (213-331 g). Its gestation period is 30-37 days.,inform,wild animals,1,4
wild animals name Binturong. Binturong top speed 15 mph. Binturong estimated population size Declining. Binturong locations Asia. Binturong diet Omnivore.,Binturong 15 Mph Declining ['Asia' Omnivore,The Binturong is an Asian Omnivore with a top speed of 15 mph. Its population is declining.,inform,wild animals,1,5
"wild animals name Sharp-Tailed Snake. Sharp-Tailed Snake diet Carnivore. Sharp-Tailed Snake locations North-America. Sharp-Tailed Snake popularity very popular. Sharp-Tailed Snake estimated population size 100,000 plus adults. Sharp-Tailed Snake skin type Scales. Sharp-Tailed Snake lifespan 10 years. Sharp-Tailed Snake color BrownGreyRedWhite.","Sharp-Tailed Snake Carnivore ['North-America' Very Popular 100,000 Plus Adults Scales 10 Years Browngreyredwhite","The Sharp-Tailed Snake is a carnivore found in North America, which is very popular with an estimated population of more than 100,000 adults. It has scales and a lifespan of 10 years. Its colors are typically Brown, Grey, Red and White.",inform,wild animals,1,8
"wild animals name Malayan Tiger. Malayan Tiger diet Carnivore. Malayan Tiger locations Asia. Malayan Tiger favorite food Deer. Malayan Tiger weight 80kg - 150kg 176lbs - 330lbs. Malayan Tiger skin type Fur. Malayan Tiger lifespan 18 - 25 years. Malayan Tiger main prey Deer, Cattle, Wild Boar.","Malayan Tiger Carnivore ['Asia' Deer 80Kg - 150Kg (176Lbs - 330Lbs) Fur 18 - 25 Years Deer, Cattle, Wild Boar","The Malayan Tiger is a carnivore that is found in Asia. Its main prey is deer, cattle, and wild boar. It has a lifespan of 18 to 25 years and its fur is usually a yellowish orange with black stripes. It usually weighs between 80kg and 150kg, which is equal to 176lbs and 330lbs. Its favorite food is deer.",inform,wild animals,1,8
"wild animals name Nigerian Goat. Nigerian Goat group behavior Herd. Nigerian Goat locations Africa, North-America. Nigerian Goat skin type Hair. Nigerian Goat weight 40-70lbs.","Nigerian Goat Herd ['Africa', 'North-America' Hair 40-70Lbs","The Nigerian Goat is a herd animal, typically found in Africa and North-America. It is covered in hair and weighs between 40 and 70lbs.",inform,wild animals,1,5
"wild animals name Cuban Cockroach. Cuban Cockroach habitat Trees, shrubs, and other damp/dark places in tropical environments. Cuban Cockroach top speed 4 mph. Cuban Cockroach common class Insect.","Cuban Cockroach Trees, Shrubs, And Other Damp/Dark Places In Tropical Environments 4 Mph Insect","The Cuban Cockroach is an insect found in trees, shrubs and other damp and dark places in tropical environments. They can run up to 4 miles per hour.",inform,wild animals,1,4
"wild animals name Eastern Woodrat. Eastern Woodrat popularity very popular. Eastern Woodrat locations North-America. Eastern Woodrat name of young kittens or pups. Eastern Woodrat gestation period 30-37 days. Eastern Woodrat weight 0.47-0.73 lb 213-331 g. Eastern Woodrat habitat Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops. Eastern Woodrat skin type Hair.","Eastern Woodrat Very Popular ['North-America' Kittens Or Pups 30-37 Days 0.47-0.73 Lb (213-331 G) Forest, Caves, Shrublands, Grasslands, Wetlands, And Rocky Outcrops Hair","The Eastern Woodrat is a very popular species in North-America, with their young being called kittens or pups. The gestation period is 30-37 days and they weigh between 0.47-0.73 lb (213-331 g). They inhabit forests, caves, shrublands, grasslands, wetlands, and rocky outcrops and their skin is covered",inform,wild animals,1,8
"wild animals name Viper shark dogfish. Viper shark dogfish most distinctive feature Triangular jaw and fang-like teeth. Viper shark dogfish skin type Rough. Viper shark dogfish predators Bigeye tuna, sickle pomfret. Viper shark dogfish locations Ocean. Viper shark dogfish common class Fish.","Viper Shark (Dogfish) Triangular Jaw And Fang-Like Teeth Rough Bigeye Tuna, Sickle Pomfret. ['Ocean' Fish",The Viper Shark Dogfish is a fish found in the oceans. It has a rough skin and a most distinctive feature of a triangular jaw and fang-like teeth. Its predators are Bigeye tuna and Sickle pomfret.,inform,wild animals,1,6
wild animals name Spider Ball Python. Spider Ball Python common class reptile. Spider Ball Python color Black. Spider Ball Python diet Carnivore. Spider Ball Python lifespan 20-50 years. Spider Ball Python litter size 1-11 eggs. Spider Ball Python locations Africa.,Spider Ball Python Reptile Black Carnivore 20-50 Years 1-11 Eggs ['Africa',"The Spider Ball Python is a black, carnivorous reptile found in Africa. It has a lifespan of 20-50 years and typically lays 1-11 eggs in a litter.",inform,wild animals,1,7
"wild animals name Horned Frog. Horned Frog diet Carnivore. Horned Frog skin type Hair. Horned Frog slogan Natively found in South America!. Horned Frog lifespan 5-8 years. Horned Frog main prey Worms, Roaches, Insects. Horned Frog common class Amphibian. Horned Frog color BrownYellowWhite.","Horned Frog Carnivore Hair Natively Found In South America! 5-8 Years Worms, Roaches, Insects Amphibian Brownyellowwhite","The Horned Frog is a carnivorous, hairy amphibian native to South America. It is typically brown, yellow, and white in color and has a lifespan of 5-8 years. Its most common prey are worms, roaches and insects.",inform,wild animals,1,8
