mr,mr_new,pseudo_mr,da,num_triples,num_values,n_hops
"inform(name[Ophelia], creator[John Everett Millais], genres[history painting], movements[Pre-Raphaelite Brotherhood], location[Tate Britain], inception[1851], materials[canvas, oil paint])","Ophelia  creator John Everett Millais. Ophelia  genres history painting. Ophelia  movements Pre-Raphaelite Brotherhood. Ophelia  location Tate Britain. Ophelia  inception 1851. Ophelia  materials canvas, oil paint. ","Ophelia John Everett Millais History Painting Pre-Raphaelite Brotherhood Tate Britain 1851 Canvas, Oil Paint",inform,6,8,1
"inform(name[Mona Lisa], creator[Leonardo da Vinci], genres[portrait])",Mona Lisa  creator Leonardo da Vinci. Mona Lisa  genres portrait. ,Mona Lisa Leonardo Da Vinci Portrait,inform,2,3,1
"inform(name[Sacred and Profane Love], creator[Titian], materials[canvas, oil paint], inception[1514], location[Galleria Borghese])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  materials canvas, oil paint. Sacred and Profane Love  inception 1514. Sacred and Profane Love  location Galleria Borghese. ","Sacred And Profane Love Titian Canvas, Oil Paint 1514 Galleria Borghese",inform,4,6,1
"inform(name[Sacred and Profane Love], creator[Titian], materials[canvas, oil paint], movements[Venetian school, High Renaissance], inception[1514])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  materials canvas, oil paint. Sacred and Profane Love  movements Venetian school, High Renaissance. Sacred and Profane Love  inception 1514. ","Sacred And Profane Love Titian Canvas, Oil Paint Venetian School, High Renaissance 1514",inform,4,7,1
"inform(name[Mont Sainte-Victoire seen from Bellevue], creator[Paul Cézanne], inception[1892], location[Barnes Foundation], genres[landscape art])",Mont Sainte-Victoire seen from Bellevue  creator Paul Cézanne. Mont Sainte-Victoire seen from Bellevue  inception 1892. Mont Sainte-Victoire seen from Bellevue  location Barnes Foundation. Mont Sainte-Victoire seen from Bellevue  genres landscape art. ,Mont Sainte-Victoire Seen From Bellevue Paul Cézanne 1892 Barnes Foundation Landscape Art,inform,4,5,1
"inform(name[View of Toledo], creator[El Greco], location[Metropolitan Museum of Art], materials[oil paint])",View of Toledo  creator El Greco. View of Toledo  location Metropolitan Museum of Art. View of Toledo  materials oil paint. ,View Of Toledo El Greco Metropolitan Museum Of Art Oil Paint,inform,3,4,1
"inform(name[Rokeby Venus], creator[Diego Velázquez], materials[canvas, oil paint], location[National Gallery], inception[1644])","Rokeby Venus  creator Diego Velázquez. Rokeby Venus  materials canvas, oil paint. Rokeby Venus  location National Gallery. Rokeby Venus  inception 1644. ","Rokeby Venus Diego Velázquez Canvas, Oil Paint National Gallery 1644",inform,4,6,1
"inform(name[Lochis Madonna], creator[Titian], genres[religious art], movements[Venetian school, High Renaissance], inception[1507])","Lochis Madonna  creator Titian. Lochis Madonna  genres religious art. Lochis Madonna  movements Venetian school, High Renaissance. Lochis Madonna  inception 1507. ","Lochis Madonna Titian Religious Art Venetian School, High Renaissance 1507",inform,4,6,1
"inform(name[Babylonian Captivity], creator[Eugène Delacroix], inception[1842], genres[religious art], location[Palais Bourbon], movements[Romanticism], materials[canvas, oil paint])","Babylonian Captivity  creator Eugène Delacroix. Babylonian Captivity  inception 1842. Babylonian Captivity  genres religious art. Babylonian Captivity  location Palais Bourbon. Babylonian Captivity  movements Romanticism. Babylonian Captivity  materials canvas, oil paint. ","Babylonian Captivity Eugène Delacroix 1842 Religious Art Palais Bourbon Romanticism Canvas, Oil Paint",inform,6,8,1
"inform(name[Portrait of Innocent X], creator[Diego Velázquez], genres[portrait], inception[1640], movements[Baroque painting of Spain])",Portrait of Innocent X  creator Diego Velázquez. Portrait of Innocent X  genres portrait. Portrait of Innocent X  inception 1640. Portrait of Innocent X  movements Baroque painting of Spain. ,Portrait Of Innocent X Diego Velázquez Portrait 1640 Baroque Painting Of Spain,inform,4,5,1
