,mr,da,test_pseudo_utt,domain,type,n_hops,num_triples,pseudo_mr
0,inform = yes | name = Mangala | genres = abstract strategy game | based_on = mancala | instance_of = board game | min_players = 2 | domain = board game,inform,Mangala Abstract Strategy Game Mancala Board Game 2,board games,board game,1,5,Mangala genre abstract strategy game. Mangala based on mancala. Mangala instance of board game. Mangala minimum number of players 2. Mangala domain board game.
1,inform = yes | name = Barbarossa | genres = fantasy | instance_of = board game | publisher = Franckh-Kosmos | domain = board game,inform,Barbarossa Fantasy Board Game Franckh-Kosmos,board games,board game,1,4,Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa publisher Franckh-Kosmos. Barbarossa domain board game.
2,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | min_players = 2 | instance_of = board game | max_players = 5 | domain = board game,inform,Descent Journeys In The Dark Fantasy 2 Board Game 5,board games,board game,1,5,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark domain board game.
3,inform = yes | name = A Game of Thrones | genres = fantasy | max_players = 5 | min_players = 3 | publication_year = 2003 | instance_of = board game | domain = board game,inform,A Game Of Thrones Fantasy 5 3 2003 Board Game,board games,board game,1,6,A Game of Thrones genre fantasy. A Game of Thrones maximum number of players 5. A Game of Thrones minimum number of players 3. A Game of Thrones publication date 2003. A Game of Thrones instance of board game. A Game of Thrones domain board game.
4,inform = yes | name = War of 1812 | genres = wargame | instance_of = board game | min_players = 2 | domain = board game,inform,War Of 1812 Wargame Board Game 2,board games,board game,1,4,War of 1812 genre wargame. War of 1812 instance of board game. War of 1812 minimum number of players 2. War of 1812 domain board game.
5,inform = yes | name = Lord of the Rings | genres = fantasy | publication_year = 2000 | instance_of = board game | domain = board game,inform,Lord Of The Rings Fantasy 2000 Board Game,board games,board game,1,4,Lord of the Rings genre fantasy. Lord of the Rings publication date 2000. Lord of the Rings instance of board game. Lord of the Rings domain board game.
6,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | min_players = 2 | publication_year = 2005 | publisher = Fantasy Flight Games | max_players = 5 | instance_of = board game | domain = board game,inform,Descent Journeys In The Dark Fantasy 2 2005 Fantasy Flight Games 5 Board Game,board games,board game,1,7,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark domain board game.
7,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | max_players = 5 | domain = board game,inform,Descent Journeys In The Dark Fantasy 5,board games,board game,1,3,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark domain board game.
8,inform = yes | name = Thurn and Taxis | genres = historical board game | publication_year = 2006 | country_of_origin = Germany | developer = Andreas Seyfarth | domain = board game,inform,Thurn And Taxis Historical Board Game 2006 Germany Andreas Seyfarth,board games,board game,1,5,Thurn and Taxis genre historical board game. Thurn and Taxis publication date 2006. Thurn and Taxis country of origin Germany. Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis domain board game.
9,inform = yes | name = Chicago | genres = strategy game | max_players = 4 | publication_year = 1986 | instance_of = board game | min_players = 2 | publisher = Playmix | domain = board game,inform,Chicago Strategy Game 4 1986 Board Game 2 Playmix,board games,board game,1,7,Chicago genre strategy game. Chicago maximum number of players 4. Chicago publication date 1986. Chicago instance of board game. Chicago minimum number of players 2. Chicago publisher Playmix. Chicago domain board game.
