mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
boardgames name Spirit Island. Spirit Island genre cooperative boardgames. The Crew: The Quest for Planet Nine genre cooperative boardgames.,Spirit Island cooperative board game The Crew: The Quest for Planet Nine,Are you familiar with cooperative board games? I'd suggest Spirit Island and The Crew: The Quest for Planet Nine.,recommend,boardgames,2,3
boardgames name Battle Masters. Battle Masters rating average. Battle Masters genre fantasy. Dungeon! genre fantasy.,average Battle Masters fantasy Dungeon!,You said Battle Masters was mediocre. Does the same apply to other fantasy games like Dungeon!?,verify_attribute,boardgames,3,4
boardgames name Betrayal at House on the Hill. Betrayal at House on the Hill rating average. Betrayal at House on the Hill publisher Hasbro. Scrabble publisher Hasbro.,average Betrayal at House on the Hill Hasbro Scrabble,"Betrayal at House on the Hill is an average game, but Hasbro has produced some great titles such as Scrabble.",give_opinion,boardgames,3,4
boardgames name Scotland Yard. Scotland Yard rating average. Scotland Yard publisher Ravensburger. The Name of the Rose publisher Ravensburger.,average Scotland Yard Ravensburger The Name of the Rose,"Scotland Yard is an average game produced by Ravensburger, but I think they did a better job with The Name of the Rose.",give_opinion,boardgames,3,4
boardgames name Dune. Dune genre science fiction. Car Wars genre science fiction. Dune publisher Avalon Hill. Dune publisher Avalon Hill. Cosmic Encounter genre science fiction.,Dune science fiction Car Wars Avalon Hill Avalon Hill Cosmic Encounter,Dune and Car Wars are both science fiction games published by Avalon Hill. Cosmic Encounter is also a science fiction game.,inform,boardgames,2,6
boardgames name science fiction. science fiction rating average. Twilight Imperium genre science fiction.,average science fiction Twilight Imperium,What makes Twilight Imperium science fiction games just average for you?,request_explanation,boardgames,2,3
boardgames name Mystery! Motive for Murder. Mystery! Motive for Murder publisher Mayfair Games. Anno 1503 publisher Mayfair Games. Mystery! Motive for Murder genre mystery fiction. Mystery! Motive for Murder genre mystery fiction. Mystery! Motive for Murder minimum number of players 1. Mystery! Motive for Murder minimum number of players 1.,Mystery! Motive for Murder Mayfair Games Anno 1503 mystery fiction mystery fiction 1 1,Mystery! Motive for Murder and Anno 1503 are both published by Mayfair Games. Mystery! Motive for Murder is a mystery fiction game requiring at least 1 player.,inform,boardgames,2,7
boardgames name Yomi. Yomi genre card game. The hero kill genre card game.,Yomi card game The hero kill,Have you heard of Yomi and The hero kill? They're both card games.,recommend,boardgames,2,3
boardgames name War of 1812. War of 1812 publisher Columbia Games. War of 1812 publisher Columbia Games. War of 1812 publication date 1973. War of 1812 genre wargame. War of 1812 genre wargame. War of 1812 genre wargame.,War of 1812 Columbia Games War of 1812 1973 wargame wargame wargame,War of 1812 is a wargame published by Columbia Games in 1973.,inform,boardgames,3,7
boardgames name Axis & Allies. Axis & Allies rating average. Axis & Allies genre board wargame. Star Wars: X-Wing Miniatures Game genre board wargame.,average Axis & Allies board wargame Star Wars: X-Wing Miniatures Game,You said Axis & Allies was just okay. Does that extend to other board wargames like Star Wars: X-Wing Miniatures Game?,verify_attribute,boardgames,3,4
