mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
Spirit Island genre cooperative board game. The Crew: The Quest for Planet Nine genre cooperative board game.,Spirit Island cooperative board game The Crew: The Quest for Planet Nine,Are you familiar with cooperative board games? I'd suggest Spirit Island and The Crew: The Quest for Planet Nine.,recommend,boardgames,2,2,recommend,1,0.009722192243,102.85746,36.85783822,0.8793886
Battle Masters rating average. Battle Masters genre fantasy. Dungeon! genre fantasy.,average Battle Masters fantasy Dungeon!,You said Battle Masters was mediocre. Does the same apply to other fantasy games like Dungeon!?,verify_attribute,boardgames,3,3,verify_attribute,1,0.004624375999,216.2453918,6.054506513,0.75806147
Betrayal at House on the Hill rating average. Betrayal at House on the Hill publisher Hasbro. Scrabble publisher Hasbro.,average Betrayal at House on the Hill Hasbro Scrabble," Betrayal at House on the Hill is an average game, but Hasbro has produced some great titles such as Scrabble.",give_opinion,boardgames,3,3,give_opinion,1,0.02060224535,48.53839874,23.55006157,0.7931226
Scotland Yard rating average. Scotland Yard publisher Ravensburger. The Name of the Rose publisher Ravensburger.,average Scotland Yard Ravensburger The Name of the Rose," Scotland Yard is an average game produced by Ravensburger, but I think they did a better job with The Name of the Rose.",give_opinion,boardgames,3,3,give_opinion,1,0.00905085985,110.4867401,17.26893279,0.84234583
Dune genre science fiction. Car Wars genre science fiction. Dune publisher Avalon Hill. Dune publisher Avalon Hill. Cosmic Encounter genre science fiction.,Dune science fiction Car Wars Avalon Hill Avalon Hill Cosmic Encounter,Dune and Car Wars are both science fiction games published by Avalon Hill. Cosmic Encounter is also a science fiction game.,inform,boardgames,2,5,inform,1,0.02095013075,47.73239899,6.783489805,0.76922804
science fiction rating average. Twilight Imperium genre science fiction.,average science fiction Twilight Imperium,What makes Twilight Imperium science fiction games just average for you?,request_explanation,boardgames,2,2,request_explanation,1,0.001293811028,772.9104004,10.12799301,0.8973478
Mystery! Motive for Murder publisher Mayfair Games. Anno 1503 publisher Mayfair Games. Mystery! Motive for Murder genre mystery fiction. Mystery! Motive for Murder genre mystery fiction. Mystery! Motive for Murder minimum number of players 1. Mystery! Motive for Murder minimum number of players 1.,Mystery! Motive for Murder Mayfair Games Anno 1503 mystery fiction mystery fiction 1 1,Mystery! Motive for Murder and Anno 1503 are both published by Mayfair Games. Mystery! Motive for Murder is a mystery fiction game requiring at least 1 player.,inform,boardgames,2,6,inform,1,0.01654606665,60.43732452,16.07303497,0.8571012
Yomi genre card game. The hero kill genre card game.,Yomi card game The hero kill,Have you heard of Yomi and The hero kill? They're both card games.,recommend,boardgames,2,2,recommend,1,0.005215202296,191.7471161,11.11492478,0.7549327
War of 1812 publisher Columbia Games. War of 1812 publisher Columbia Games. War of 1812 publication date 1973. War of 1812 genre wargame. War of 1812 genre wargame. War of 1812 genre wargame.,War of 1812 Columbia Games War of 1812 1973 wargame wargame wargame,War of 1812 is a wargame published by Columbia Games in 1973.,inform,boardgames,3,6,inform,1,0.02788585886,35.86046982,15.72780094,0.8872267
Axis & Allies rating average. Axis & Allies genre board wargame. Star Wars: X-Wing Miniatures Game genre board wargame.,average Axis & Allies board wargame Star Wars: X-Wing Miniatures Game,You said Axis & Allies was just okay. Does that extend to other board wargames like Star Wars: X-Wing Miniatures Game?,verify_attribute,boardgames,3,3,verify_attribute,1,0.01580673221,63.26418304,25.33098405,0.88202393
Crossings genre abstract strategy game. Mangala genre abstract strategy game.,Crossings abstract strategy game Mangala," If you're looking for an abstract strategy game, have you tried Crossings or Mangala?",recommend,boardgames,2,2,recommend,1,0.01481746936,67.48790741,10.34360301,0.840201
Mystery! Motive for Murder publisher Mayfair Games. Mesopotamia publisher Mayfair Games.,Mystery! Motive for Murder Mayfair Games Mesopotamia,Mayfair Games released Mystery! Motive for Murder and Mesopotamia. Have you tried either of these games?,recommend,boardgames,2,2,recommend,1,0.005060190134,197.6210327,22.53741272,0.876353
Spirit Island genre cooperative board game. Unlock! Mystery Adventures genre cooperative board game.,Spirit Island cooperative board game Unlock! Mystery Adventures," If you're looking for a cooperative board game, have you heard of Spirit Island or Unlock! Mystery Adventures?",recommend,boardgames,2,2,recommend,1,0.0120955176,82.67525482,18.32567181,0.87287843
Barbarossa developer Klaus Teuber. Anno 1503 developer Klaus Teuber. Anno 1503 maximum number of players 4. Barbarossa genre fantasy. Barbarossa genre fantasy. Barbarossa publisher Franckh-Kosmos.,Barbarossa Klaus Teuber Anno 1503 4 fantasy fantasy Franckh-Kosmos," Barbarossa and Anno 1503 are both fantasy games from Klaus Teuber, with Barbarossa published by Franckh-Kosmos and Anno 1503 allowing for up to 4 players.",inform,boardgames,3,6,inform,1,0.01602699077,62.39474487,4.668049023,0.8392939
Enchanted Forest rating average. Enchanted Forest developer Alex Randolph. Enchanted Forest publisher Ravensburger.,average Enchanted Forest Alex Randolph Ravensburger,You told me that Enchanted Forest was just okay. Do you usually find Alex Randolph's games to be mediocre when published by Ravensburger?,verify_attribute,boardgames,2,3,verify_attribute,1,0.006200856232,161.2680511,3.582342119,0.8209542
Stratego rating average. Stratego publisher Milton Bradley Company. The Game of Life publisher Milton Bradley Company.,average Stratego Milton Bradley Company The Game of Life," Stratego is an average game, but I think that the Milton Bradley Company has made some great games, such as The Game of Life.",give_opinion,boardgames,3,3,give_opinion,1,0.02776158065,36.02100372,13.38016138,0.85155725
Cosmic Encounter rating average. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter publisher Mayfair Games.,average Cosmic Encounter Fantasy Flight Games Mayfair Games,You said that Cosmic Encounter was just mediocre. Does this extend to games from Fantasy Flight Games and Mayfair Games?,verify_attribute,boardgames,2,3,verify_attribute,1,0.01028631897,97.21650696,9.449865253,0.8807839
abstract strategy game rating average. Fetaix genre abstract strategy game.,average abstract strategy game Fetaix," What makes Fetaix, an abstract strategy game, only average for you?",request_explanation,boardgames,2,2,request_explanation,1,0.002685029665,372.4353638,12.01105543,0.9177857
Lord of the Rings based on The Lord of the Rings. The Lord of the Rings: War in the North based on The Lord of the Rings. Lord of the Rings maximum number of players 5. Lord of the Rings minimum number of players 2.,Lord of the Rings The Lord of the Rings The Lord of the Rings: War in the North 5 2,Lord of the Rings and The Lord of the Rings: War in the North are both based on The Lord of the Rings and require 2-5 players.,inform,boardgames,2,4,inform,1,0.08695334174,11.50042057,49.04118018,0.9019326
German-style board game rating good. Lords of Waterdeep genre German-style board game.,good German-style board game Lords of Waterdeep,Why do you think Lords of Waterdeep is a good German-style board game?,request_explanation,boardgames,2,2,request_explanation,1,0.02138249149,46.7672348,25.71200803,0.91769856
Enchanted Forest developer Alex Randolph. Hepta developer Alex Randolph.,Enchanted Forest Alex Randolph Hepta," Have you ever played a game by Alex Randolph, like Enchanted Forest or Hepta?",suggest,boardgames,2,2,suggest,1,0.008742056768,114.3895569,7.314031827,0.83756167
Star Realms rating excellent. Star Realms publisher Iello. King of New York publisher Iello.,excellent Star Realms Iello King of New York,I think Iello is a great publisher because Star Realms and King of New York are both excellent games.,give_opinion,boardgames,3,3,give_opinion,1,0.007236138647,138.1952515,15.31682455,0.7896075
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. 1914 genre wargame.,Punaisten ja valkoisten taistelu Suomessa 1918 wargame 1914,Have you ever played a wargame? I recommend Punaisten ja valkoisten taistelu Suomessa 1918 and 1914.,recommend,boardgames,2,2,recommend,1,0.00275934709,362.4045715,28.43329182,0.9541448
board wargame rating average. Buck Rogers – Battle for the 25th Century genre board wargame.,average board wargame Buck Rogers – Battle for the 25th Century,What makes Buck Rogers – Battle for the 25th Century board wargame just average for you?,request_explanation,boardgames,2,2,request_explanation,1,0.003480455365,287.3187256,46.3664592,0.95379835
Afrikan tähti genre roll-and-move game. Monopoly genre roll-and-move game. Monopoly developer Charles Darrow.,Afrikan tähti roll-and-move game Monopoly Charles Darrow," Afrikan tähti and Monopoly are both roll-and-move games, with Monopoly developed by Charles Darrow.",inform,boardgames,3,3,inform,1,0.00713982069,140.0595398,7.655122721,0.8779899
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Medieval genre wargame.,Punaisten ja valkoisten taistelu Suomessa 1918 wargame Medieval," Are you familiar with wargames? If not, I suggest Punaisten ja valkoisten taistelu Suomessa 1918 and Medieval.",recommend,boardgames,2,2,recommend,1,0.002744228415,364.4011536,24.51523535,0.9454128
Carcassonne publisher Hans im Glück. Majesty: For the Realm publisher Hans im Glück. Carcassonne publication date 2000. Carcassonne publication date 2000. Carcassonne developer Klaus-Jürgen Wrede. Carcassonne developer Klaus-Jürgen Wrede.,Carcassonne Hans im Glück Majesty: For the Realm 2000 2000 Klaus-Jürgen Wrede Carcassonne," Carcassonne and Majesty: For the Realm are both published by Hans im Glück, with Carcassonne first released in 2000 and designed by Klaus-Jürgen Wrede.",inform,boardgames,2,6,inform,1,0.01480659261,67.53748322,20.38969616,0.87262654
board wargame rating average. Risk genre board wargame.,average board wargame Risk," What makes Risk, a board wargame, just average for you?",request_explanation,boardgames,2,2,request_explanation,1,0.004030774263,248.0912933,7.347053126,0.86933374
War of 1812 genre wargame. 1914 genre wargame.,War of 1812 wargame 1914,Do you ever play wargames like War of 1812 or 1914?,suggest,boardgames,2,2,suggest,1,0.01963073602,50.94052505,13.54599427,0.91916806
Afrikan tähti rating poor. Afrikan tähti genre roll-and-move game. Maantieteellinen seurapeli genre roll-and-move game.,poor Afrikan tähti roll-and-move game Maantieteellinen seurapeli,I think Afrikan tähti and Maantieteellinen seurapeli are both poor roll-and-move games. They don't have enough variation to make them engaging.,give_opinion,boardgames,3,3,give_opinion,1,0.00581729559,171.9011841,5.154337627,0.8837845
Mystery! Motive for Murder rating average. Mystery! Motive for Murder developer Bruce Glassco.,average Mystery! Motive for Murder Bruce Glassco,You said Mystery! Motive for Murder was just okay. Do you generally think games by Bruce Glassco are mediocre?,verify_attribute,boardgames,2,2,verify_attribute,1,0.002220994211,450.2488098,18.59723721,0.81492704
science fiction rating excellent. Star Fleet Battles genre science fiction.,excellent science fiction Star Fleet Battles,What do you find so amazing about Star Fleet Battles science fiction games?,request_explanation,boardgames,2,2,request_explanation,1,0.008361466012,119.5962524,13.29241788,0.86305386
Twilight Struggle publisher GMT Games. GMT Games genre board wargame.,Twilight Struggle GMT Games board wargame," Have you ever played any of GMT Games' board wargames, such as Twilight Struggle?",suggest,boardgames,2,2,suggest,1,0.01345742546,74.30841827,5.816635421,0.91158587
Punaisten ja valkoisten taistelu Suomessa 1918 rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2.,poor Punaisten ja valkoisten taistelu Suomessa 1918 2," I think Punaisten ja valkoisten taistelu Suomessa 1918 is a poor game. It can be played with two players, but it’s just not very engaging.",give_opinion,boardgames,2,2,give_opinion,1,0.004830447504,207.0201569,17.09832369,0.8678191
Lord of the Rings based on The Lord of the Rings. The Lord of the Rings publication date 1954. Lord of the Rings genre fantasy.,Lord of the Rings The Lord of the Rings 1954 fantasy,Lord of the Rings is a fantasy game based on The Lord of the Rings book from 1954.,inform,boardgames,2,3,inform,1,0.06074073182,16.46341705,33.38080022,0.9044376
Battle Masters based on Warhammer. Warhammer Ancient Battles based on Warhammer.,Battle Masters Warhammer Warhammer Ancient Battles," Are you familiar with Warhammer? If not, you should try Battle Masters and Warhammer Ancient Battles.",recommend,boardgames,2,2,recommend,1,0.01183018586,84.52952576,9.917720727,0.9249379
