mr,mr_new,pseudo_mr,text,da,entity,num_triples,num_hops
Bluetick Coonhound barking often barks. Bluetick Coonhound grooming lots of grooming. Bluetick Coonhound playfulness playful. Bluetick Coonhound domain animals.,Bluetick Coonhound barking often barks. Bluetick Coonhound grooming lots of grooming. Bluetick Coonhound playfulness playful. Bluetick Coonhound domain animals.,Bluetick Coonhound Often Barks Lots Of Grooming Playful," The Bluetick Coonhound is often barking and requires lots of grooming, but it is also known for its playfulness.",inform,dogs,4,1
Boykin Spaniel good with children most kid-friendly. Boykin Spaniel good with strangers friendly to strangers. Boykin Spaniel good with other dogs most friendly to other dogs. Boykin Spaniel grooming average amount of grooming. Boykin Spaniel energy more energy. Boykin Spaniel domain animals.,Boykin Spaniel good with children most kid-friendly. Boykin Spaniel good with strangers friendly to strangers. Boykin Spaniel good with other dogs most friendly to other dogs. Boykin Spaniel grooming average amount of grooming. Boykin Spaniel energy more energy. Boykin Spaniel domain animals.,Boykin Spaniel Most Kid-Friendly Friendly To Strangers Most Friendly To Other Dogs Average Amount Of Grooming More Energy," The Boykin Spaniel is known for being kid-friendly, friendly to strangers, and most friendly to other dogs. It requires an average amount of grooming and has more energy than some other breeds.",inform,dogs,6,1
German Shepherd Dog good with strangers friendly to strangers. German Shepherd Dog max weight female 70.0. German Shepherd Dog domain animals.,German Shepherd Dog good with strangers friendly to strangers. German Shepherd Dog max weight female 70.0. German Shepherd Dog domain animals.,German Shepherd Dog Friendly To Strangers 70.0,The German Shepherd Dog is friendly to strangers and has a maximum weight of 70.0 for females.,inform,dogs,3,1
Bichon Frise playfulness very playful. Bichon Frise grooming no grooming. Bichon Frise shedding no shedding. Bichon Frise max height female 11.5. Bichon Frise drooling never drools. Bichon Frise max height male 11.5. Bichon Frise good with other dogs most friendly to other dogs. Bichon Frise domain animals.,Bichon Frise playfulness very playful. Bichon Frise grooming no grooming. Bichon Frise shedding no shedding. Bichon Frise max height female 11.5. Bichon Frise drooling never drools. Bichon Frise max height male 11.5. Bichon Frise good with other dogs most friendly to other dogs. Bichon Frise domain animals.,Bichon Frise Very Playful No Grooming No Shedding 11.5 Never Drools 11.5 Most Friendly To Other Dogs," The Bichon Frise is a very playful and friendly small dog that stands at most 11.5 inches tall, and does not require grooming or shed. It is very friendly to other dogs and never drools.",inform,dogs,8,1
French Bulldog domain animals.,French Bulldog domain animals.,French Bulldog,The French Bulldog is an animal.,inform,dogs,1,1
Cesky Terrier max height male 13.0. Cesky Terrier domain animals.,Cesky Terrier max height male 13.0. Cesky Terrier domain animals.,Cesky Terrier 13.0,The Cesky Terrier has a maximum height of 13.0 for males.,inform,dogs,2,1
Parson Russell Terrier max life expectancy 15. Parson Russell Terrier trainability easy trainable. Parson Russell Terrier max weight female 17.0. Parson Russell Terrier coat length short coat. Parson Russell Terrier protectiveness alert. Parson Russell Terrier drooling never drools. Parson Russell Terrier domain animals.,Parson Russell Terrier max life expectancy 15. Parson Russell Terrier trainability easy trainable. Parson Russell Terrier max weight female 17.0. Parson Russell Terrier coat length short coat. Parson Russell Terrier protectiveness alert. Parson Russell Terrier drooling never drools. Parson Russell Terrier domain animals.,Parson Russell Terrier 15 Easy Trainable 17.0 Short Coat Alert Never Drools," The Parson Russell Terrier has a maximum life expectancy of 15 years, and is easy to train. Female Parson Russell Terriers can weigh up to 17 pounds and have a short coat. They are quite alert and protective, and never drool.",inform,dogs,7,1
Finnish Spitz energy high energy. Finnish Spitz max life expectancy 15. Finnish Spitz playfulness playful. Finnish Spitz good with strangers friendly to strangers. Finnish Spitz trainability trainable. Finnish Spitz max height female 20.0. Finnish Spitz max weight female 28.0. Finnish Spitz domain animals.,Finnish Spitz energy high energy. Finnish Spitz max life expectancy 15. Finnish Spitz playfulness playful. Finnish Spitz good with strangers friendly to strangers. Finnish Spitz trainability trainable. Finnish Spitz max height female 20.0. Finnish Spitz max weight female 28.0. Finnish Spitz domain animals.,Finnish Spitz High Energy 15 Playful Friendly To Strangers Trainable 20.0 28.0," The Finnish Spitz is a high energy, playful, friendly to strangers, and trainable animal with a maximum life expectancy of 15 years. The maximum height and weight for a female is 20.0 inches and 28.0 lbs respectively.",inform,dogs,8,1
English Toy Spaniel max height female 10.0. English Toy Spaniel ratings okay. English Toy Spaniel trainability trainable. English Toy Spaniel good with strangers friendly to strangers. English Toy Spaniel good with children most kid-friendly. English Toy Spaniel domain animals.,English Toy Spaniel max height female 10.0. English Toy Spaniel ratings okay. English Toy Spaniel trainability trainable. English Toy Spaniel good with strangers friendly to strangers. English Toy Spaniel good with children most kid-friendly. English Toy Spaniel domain animals.,English Toy Spaniel 10.0 Okay Trainable Friendly To Strangers Most Kid-Friendly," The English Toy Spaniel is rated as being okay, and is relatively trainable. It is friendly to strangers and very kid-friendly. The maximum height of a female English Toy Spaniel is 10.0.",inform,dogs,6,1
Collie max height female 26.0. Collie ratings excellent. Collie max height male 26.0. Collie domain animals.,Collie max height female 26.0. Collie ratings excellent. Collie max height male 26.0. Collie domain animals.,Collie 26.0 Excellent 26.0," The Collie is an excellent dog, with a maximum height of 26 inches for both males and females.",inform,dogs,4,1
