mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"confirm(name[12 Bar Blues], genres[alternative rock])",12 Bar Blues genres alternative rock. 12 Bar Blues domain albums.,12 Bar Blues Alternative Rock,Are you referring to the alternative rock album 12 Bar Blues?,confirm,albums,1,2
"confirm(name[Evermore], genres[alternative rock])",Evermore genres alternative rock. Evermore domain albums.,Evermore Alternative Rock,Are you talking about the alternative rock album Evermore?,confirm,albums,1,2
"confirm(name[Trouble], genres[folk rock])",Trouble genres folk rock. Trouble domain albums.,Trouble Folk Rock,Are you talking about the folk rock album Trouble?,confirm,albums,1,2
"confirm(name[Now or Never], producer[Matthew Gerrard])",Now or Never producer Matthew Gerrard. Now or Never domain albums.,Now Or Never Matthew Gerrard,Are you talking about the album Now or Never produced by Matthew Gerrard?,confirm,albums,1,2
"confirm(name[Lover], contains[Miss Americana & the Heartbreak Prince])",Lover contains Miss Americana & the Heartbreak Prince. Lover domain albums.,Lover Miss Americana & The Heartbreak Prince," Are you talking about the album Lover, containing the track Miss Americana & the Heartbreak Prince?",confirm,albums,1,2
"confirm(name[In the Middle of Nowhere], genres[Eurodisco])",In the Middle of Nowhere genres Eurodisco. In the Middle of Nowhere domain albums.,In The Middle Of Nowhere Eurodisco,Are you talking about the Eurodisco album In the Middle of Nowhere?,confirm,albums,1,2
"confirm(name[The Wall], record label[Columbia Records])",The Wall record label Columbia Records. The Wall domain albums.,The Wall Columbia Records," Are you talking about The Wall, released by Columbia Records?",confirm,albums,1,2
"confirm(name[The Wall], producer[Bob Ezrin])",The Wall producer Bob Ezrin. The Wall domain albums.,The Wall Bob Ezrin," Are you mentioning The Wall, produced by Bob Ezrin?",confirm,albums,1,2
"confirm(name[Where I Wanna Be], contains[Where I Wanna Be])",Where I Wanna Be contains Where I Wanna Be. Where I Wanna Be domain albums.,Where I Wanna Be Where I Wanna Be," Are you talking about the album Where I Wanna Be, containing the track Where I Wanna Be?",confirm,albums,1,2
"confirm(name[Metallica], publication year[1991])",Metallica publication year 1991. Metallica domain albums.,Metallica 1991," Are you talking about Metallica, the album released in 1991?",confirm,albums,1,2
"confirm(name[Damn], performer[Kendrick Lamar])",Damn performer Kendrick Lamar. Damn domain albums.,Damn Kendrick Lamar,Are you talking about Kendrick Lamar's album Damn?,confirm,albums,1,2
"confirm(name[One Voice], record label[Arista Records])",One Voice record label Arista Records. One Voice domain albums.,One Voice Arista Records,Are you talking about the Arista Records album One Voice?,confirm,albums,1,2
"confirm(name[Missing...Presumed Having a Good Time], performer[Mark Knopfler])",Missing...Presumed Having a Good Time performer Mark Knopfler. Missing...Presumed Having a Good Time domain albums.,Missing...Presumed Having A Good Time Mark Knopfler,Are you talking about the album Missing...Presumed Having a Good Time by Mark Knopfler?,confirm,albums,1,2
"confirm(name[Damn], record label[Interscope Records])",Damn record label Interscope Records. Damn domain albums.,Damn Interscope Records,Are you mentioning the Interscope Records album Damn?,confirm,albums,1,2
"confirm(name[Pet Sounds], publication year[1966])",Pet Sounds publication year 1966. Pet Sounds domain albums.,Pet Sounds 1966,Are you talking about the 1966 album Pet Sounds?,confirm,albums,1,2
"confirm(name[Midnights], performer[Taylor Swift])",Midnights performer Taylor Swift. Midnights domain albums.,Midnights Taylor Swift,Are you talking about Taylor Swift's album Midnights?,confirm,albums,1,2
"confirm(name[The Rise and Fall of Ziggy Stardust and the Spiders from Mars], record label[RCA Victor])",The Rise and Fall of Ziggy Stardust and the Spiders from Mars record label RCA Victor. The Rise and Fall of Ziggy Stardust and the Spiders from Mars domain albums.,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars Rca Victor," Are you talking about The Rise and Fall of Ziggy Stardust and the Spiders from Mars, released on RCA Victor?",confirm,albums,1,2
"confirm(name[Rubber Soul], record label[Capitol Records])",Rubber Soul record label Capitol Records. Rubber Soul domain albums.,Rubber Soul Capitol Records," Are you talking about Rubber Soul, released on Capitol Records?",confirm,albums,1,2
"confirm(name[Unleashed], contains[Lets Get Down])",Unleashed contains Lets Get Down. Unleashed domain albums.,Unleashed Lets Get Down," Are you mentioning the album Unleashed, with the track Lets Get Down?",confirm,albums,1,2
"confirm(name[To Pimp a Butterfly], genres[hip hop music])",To Pimp a Butterfly genres hip hop music. To Pimp a Butterfly domain albums.,To Pimp A Butterfly Hip Hop Music,Are you talking about the hip hop album To Pimp a Butterfly?,confirm,albums,1,2
"confirm(name[Top Gun – Original Motion Picture Soundtrack], performer[various artists])",Top Gun – Original Motion Picture Soundtrack performer various artists. Top Gun – Original Motion Picture Soundtrack domain albums.,Top Gun – Original Motion Picture Soundtrack Various Artists,Are you talking about the various artists' album Top Gun – Original Motion Picture Soundtrack?,confirm,albums,1,2
