mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"verify_attribute(name[So Good], rating[excellent], part of[Strange Clouds])",So Good rating excellent. So Good part of Strange Clouds.,So Good excellent Strange Clouds,"
You said you love So Good from Strange Clouds. Do you usually have a great time listening to songs from Strange Clouds?",verify_attribute,songs,2,2
"inform(name[Seven Nation Army], genre[alternative rock], producer[Jack White], name[Adolar], genre[alternative rock])",Seven Nation Army genre alternative rock. Adolar genre alternative rock. Seven Nation Army producer Jack White.,Seven Nation Army Adolar alternative rock Jack White,Seven Nation Army is an alternative rock song produced by Jack White. Adolar is another alternative rock group.,inform,songs,2,3
"inform(name[Stereotypes], producer[Stephen Street], performer[Blur], name[Stephen Street], genre[indie rock], name[No Need to Argue], producer[Stephen Street])",Stereotypes producer Stephen Street. Stephen Street genre indie rock. Stereotypes performer Blur. No Need to Argue producer Stephen Street.,Stereotypes Stephen Street indie rock Blur No Need to Argue," Stephen Street, an indie rock producer, worked on Stereotypes by Blur and No Need to Argue.",inform,songs,2,4
"suggest(name[Wanna Get to Know You], genre[hip hop music], name[Jamie Foxx], genre[hip hop music])",Wanna Get to Know You genre hip hop music. Jamie Foxx genre hip hop music.,Wanna Get to Know You Jamie Foxx hip hop music," Are you into hip hop music, like Wanna Get to Know You by Jamie Foxx?",suggest,songs,2,2
"verify_attribute(name[Old Town Road], rating[excellent])",Old Town Road rating excellent. Old Town Road publication date 2018.,Old Town Road excellent 2018,"
You love Old Town Road. Do you think other songs from 2018 are as great?",verify_attribute,songs,2,2
"request_explanation(name[pop music], rating[excellent], name[Jasmin Tabatabai], genre[pop music])",pop music rating excellent. Jasmin Tabatabai genre pop music.,pop music Jasmin Tabatabai excellent,What makes Jasmin Tabatabai's pop music so excellent?,request_explanation,songs,2,2
"inform(name[Evolution], genre[nu metal], part of[Untitled Korn album], record label[Virgin Records], producer[Atticus Ross], name[Iowa], genre[nu metal])",Evolution genre nu metal. Iowa genre nu metal. Evolution part of Untitled Korn album. Evolution record label Virgin Records. Evolution producer Atticus Ross. Evolution publication date 2007.,Evolution Iowa nu metal Untitled Korn album Virgin Records Atticus Ross 2007," Evolution is a nu metal song from the 2007 Untitled Korn album, released by Virgin Records and produced by Atticus Ross. Iowa is another example of nu metal.",inform,songs,2,6
"inform(name[We Are the World], genre[pop music], record label[Sony Music], record label[Columbia Records], performer[USA for Africa], producer[Quincy Jones], name[Maria von Trapp], genre[pop music], name[Nataly Dawn], genre[pop music])",We Are the World genre pop music. Maria von Trapp genre pop music. We Are the World record label Sony Music. We Are the World record label Columbia Records. We Are the World performer USA for Africa. We Are the World producer Quincy Jones. Nataly Dawn genre pop music.,We Are the World Maria von Trapp pop music Sony Music Columbia Records USA for Africa Quincy Jones Nataly Dawn," We Are the World is a pop song by USA for Africa, produced by Quincy Jones and released by Sony Music and Columbia Records. Other pop music artists include Maria von Trapp and Nataly Dawn.",inform,songs,2,7
"inform(name[Pumped Up Kicks], genre[pop rock], producer[Mark Foster], record label[Startime International], performer[Foster the People], name[Alyssa Milano], genre[pop rock], name[Torches], performer[Foster the People], name[Zendaya], genre[pop rock])",Pumped Up Kicks genre pop rock. Alyssa Milano genre pop rock. Pumped Up Kicks producer Mark Foster. Pumped Up Kicks record label Startime International. Pumped Up Kicks performer Foster the People. Torches performer Foster the People. Zendaya genre pop rock.,Pumped Up Kicks Alyssa Milano pop rock Mark Foster Startime International Torches Foster the People Zendaya," Pumped Up Kicks by Foster the People is a pop rock song produced by Mark Foster, released by Startime International. Other pop rock artists include Alyssa Milano and Zendaya, Foster the People's album Torches.",inform,songs,2,7
"inform(name[Black Barbies], genre[hip hop music], performer[Nicki Minaj], producer[Mike WiLL Made-It], record label[Interscope Records], name[Brittany Murphy], genre[hip hop music], name[5 O'Clock], genre[hip hop music])",Black Barbies genre hip hop music. Brittany Murphy genre hip hop music. Black Barbies publication date 2016. Black Barbies performer Nicki Minaj. Black Barbies producer Mike WiLL Made-It. Black Barbies record label Interscope Records. 5 O'Clock genre hip hop music.,Black Barbies Brittany Murphy hip hop music 2016 Nicki Minaj Mike WiLL Made-It Interscope Records 5 O'Clock," Black Barbies, a hip hop song by Nicki Minaj, produced by Mike WiLL Made-It and released by Interscope Records in 2016. Another example of hip hop music is 5 O'Clock by Brittany Murphy.",inform,songs,2,7
"inform(name[Over It], record label[RCA Records, Inc.], genre[contemporary R&B], name[RCA Records, Inc.], genre[blues], genre[country music])","Over It record label RCA Records, Inc.. RCA Records, Inc. genre blues. Over It genre contemporary R&B. RCA Records, Inc. genre country music. ","Over It RCA Records, Inc. blues contemporary R&B country music"," RCA Records, Inc. is a record label that produces blues, country music, and the contemporary R&B track Over It.",inform,songs,2,4
"inform(name[Feel Again], genre[pop music], name[Heidi Brühl], genre[pop music], name[Crazy in Love], genre[pop music])",Feel Again genre pop music. Heidi Brühl genre pop music. Feel Again publication date 2012. Crazy in Love genre pop music.,Feel Again Heidi Brühl pop music 2012 Crazy in Love," Feel Again by Heidi Brühl is a 2012 pop song, as is Crazy in Love.",inform,songs,2,4
"inform(name[King of Sorrow], producer[Sade Adu], performer[Sade], record label[Epic Records], genre[contemporary R&B], name[Sade Adu], genre[funk], genre[rhythm and blues])",King of Sorrow producer Sade Adu. Sade Adu genre funk. King of Sorrow performer Sade. King of Sorrow record label Epic Records. King of Sorrow genre contemporary R&B. Sade Adu genre rhythm and blues.,King of Sorrow Sade Adu funk Sade Epic Records contemporary R&B rhythm and blues," King of Sorrow is a contemporary R&B and funk song by Sade, released by Epic Records. Sade Adu is a rhythm and blues artist.",inform,songs,2,6
"inform(name[Over It], record label[RCA Records, Inc.], genre[pop music], performer[Katharine McPhee], name[RCA Records, Inc.], genre[hip hop music], name[Katharine McPhee], record label[Columbia Records])","Over It record label RCA Records, Inc.. RCA Records, Inc. genre hip hop music. Over It genre pop music. Over It performer Katharine McPhee. Katharine McPhee record label Columbia Records. ","Over It RCA Records, Inc. hip hop music pop music Katharine McPhee Columbia Records"," Over It is a pop song by Katharine McPhee released by RCA Records, Inc., a hip hop music label, and Columbia Records.",inform,songs,2,5
"inform(name[About Damn Time], genre[disco], record label[Nice Life Recording Company], producer[Ricky Reed], record label[Atlantic Records], performer[Lizzo], name[Dschinghis Khan], genre[disco])",About Damn Time genre disco. Dschinghis Khan genre disco. About Damn Time record label Nice Life Recording Company. About Damn Time publication date 2022. About Damn Time producer Ricky Reed. About Damn Time record label Atlantic Records. About Damn Time performer Lizzo.,About Damn Time Dschinghis Khan disco Nice Life Recording Company 2022 Ricky Reed Atlantic Records Lizzo,About Damn Time by Lizzo is a 2022 disco song produced by Ricky Reed and released by Nice Life Recording Company and Atlantic Records. Dschinghis Khan is another notable disco band.,inform,songs,2,7
