mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"confirm(name[So Good], publication year[2012])",So Good publication year 2012. So Good domain songs.,So Good 2012," Are you referring to So Good, released in 2012?",confirm,songs,1,2
"confirm(name[Y.M.C.A.], record label[Casablanca Records])",Y.M.C.A. record label Casablanca Records. Y.M.C.A. domain songs.,Y.M.C.A. Casablanca Records,Are you referring to Y.M.C.A. from Casablanca Records?,confirm,songs,1,2
"confirm(name[Black Barbies], performer[Nicki Minaj])",Black Barbies performer Nicki Minaj. Black Barbies domain songs.,Black Barbies Nicki Minaj,Are you referring to Black Barbies performed by Nicki Minaj?,confirm,songs,1,2
"confirm(name[In My Bed], genres[soul music])",In My Bed genres soul music. In My Bed domain songs.,In My Bed Soul Music,Are you referring to the soul music song In My Bed?,confirm,songs,1,2
"confirm(name[Money, Cash, Hoes], genres[East Coast hip hop])","Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes domain songs.","Money, Cash, Hoes East Coast Hip Hop"," Are you referring to Money, Cash, Hoes, an East Coast hip hop song?",confirm,songs,1,2
"confirm(name[Break My Soul], performer[Beyoncé])",Break My Soul performer Beyoncé. Break My Soul domain songs.,Break My Soul Beyoncé,Are you referring to the Beyoncé song Break My Soul?,confirm,songs,1,2
"confirm(name[Space Oddity], record label[Philips Records])",Space Oddity record label Philips Records. Space Oddity domain songs.,Space Oddity Philips Records,Are you referring to Space Oddity on Philips Records?,confirm,songs,1,2
"confirm(name[Kings of the Wild Frontier], producer[Chris Hughes])",Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Chris Hughes,Are you referring to the song Kings of the Wild Frontier produced by Chris Hughes?,confirm,songs,1,2
"confirm(name[Cold Heart], producer[Pnau])",Cold Heart producer Pnau. Cold Heart domain songs.,Cold Heart Pnau,Are you referring to Pnau's Cold Heart?,confirm,songs,1,2
"confirm(name[Cold Heart], from album[N/A""])","Cold Heart from album N/A"". Cold Heart domain songs.","Cold Heart N/A""",Are you referring to the song Cold Heart?,confirm,songs,1,2
"confirm(name[Every Breath You Take], genres[pop rock])",Every Breath You Take genres pop rock. Every Breath You Take domain songs.,Every Breath You Take Pop Rock,Are you referring to the pop rock song Every Breath You Take?,confirm,songs,1,2
"confirm(name[I], producer[Rahki])",I producer Rahki. I domain songs.,I Rahki," Are you referring to the song I, produced by Rahki?",confirm,songs,1,2
"confirm(name[Wild], performer[Troye Sivan])",Wild performer Troye Sivan. Wild domain songs.,Wild Troye Sivan,Are you referring to the Troye Sivan song Wild?,confirm,songs,1,2
"confirm(name[Littlest Things], publication year[2006])",Littlest Things publication year 2006. Littlest Things domain songs.,Littlest Things 2006,Are you referring to the 2006 song Littlest Things?,confirm,songs,1,2
"confirm(name[Careless Whisper], record label[Columbia Records])",Careless Whisper record label Columbia Records. Careless Whisper domain songs.,Careless Whisper Columbia Records," Are you referring to Careless Whisper, released by Columbia Records?",confirm,songs,1,2
"confirm(name[Take My Breath Away], performer[Berlin])",Take My Breath Away performer Berlin. Take My Breath Away domain songs.,Take My Breath Away Berlin," Are you referring to Take My Breath Away, performed by Berlin?",confirm,songs,1,2
"confirm(name[Mad Love], producer[Steve Mac])",Mad Love producer Steve Mac. Mad Love domain songs.,Mad Love Steve Mac,Are you referring to Steve Mac's Mad Love?,confirm,songs,1,2
"confirm(name[The Way I Are], performer[Bebe Rexha])",The Way I Are performer Bebe Rexha. The Way I Are domain songs.,The Way I Are Bebe Rexha,Are you talking about Bebe Rexha's song The Way I Are?,confirm,songs,1,2
"confirm(name[Blinding Lights], from album[The Weeknd singles discography])",Blinding Lights from album The Weeknd singles discography. Blinding Lights domain songs.,Blinding Lights The Weeknd Singles Discography,Are you referring to Blinding Lights from The Weeknd singles discography?,confirm,songs,1,2
"confirm(name[Dragostea Din Tei], record label[Polydor Records])",Dragostea Din Tei record label Polydor Records. Dragostea Din Tei domain songs.,Dragostea Din Tei Polydor Records,Are you referring to Dragostea Din Tei from Polydor Records?,confirm,songs,1,2
"confirm(name[Dog Eat Dog], record label[Sony Music])",Dog Eat Dog record label Sony Music. Dog Eat Dog domain songs.,Dog Eat Dog Sony Music,Is Dog Eat Dog from Sony Music?,confirm,songs,1,2
"confirm(name[Afterlife], from album[Reflektor])",Afterlife from album Reflektor. Afterlife domain songs.,Afterlife Reflektor,Are you referring to Afterlife from the album Reflektor?,confirm,songs,1,2
"confirm(name[Brightside], publication year[2003])",Mr. Brightside publication year 2003. Mr. Brightside domain songs.,Mr. Brightside 2003," Are you referring to Mr. Brightside, released in 2003?",confirm,songs,1,2
"confirm(name[Feel Again], publication year[2012])",Feel Again publication year 2012. Feel Again domain songs.,Feel Again 2012," Are you referring to Feel Again, released in 2012?",confirm,songs,1,2
"confirm(name[As It Was], genres[synth-pop])",As It Was genres synth-pop. As It Was domain songs.,As It Was Synth-Pop,Are you referring to the synth-pop song As It Was?,confirm,songs,1,2
