mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Billie Eilish gender female. Billie Eilish domain musicians.,Billie Eilish Female,Are you referring to the female musician Billie Eilish?,confirm,musicians,1,2
Madonna from United States of America. Madonna domain musicians.,Madonna United States Of America,Are you referring to Madonna from the United States of America?,confirm,musicians,1,2
Lady Gaga performer of Chillin. Lady Gaga domain musicians.,Lady Gaga Chillin,Are you referring to Lady Gaga who perform Chillin?,confirm,musicians,1,2
"Kim Ryeowook date of birth June 21, 1987. Kim Ryeowook domain musicians.","Kim Ryeowook June 21, 1987"," Are you speaking of Kim Ryeowook who was born on June 21, 1987?",confirm,musicians,1,2
David Phelps performer of One Wintry Night. David Phelps domain musicians.,David Phelps One Wintry Night,Are you referring to David Phelps who performed One Wintry Night?,confirm,musicians,1,2
Beverley Craven from United Kingdom. Beverley Craven domain musicians.,Beverley Craven United Kingdom,Are you referring to Beverley Craven from the United Kingdom?,confirm,musicians,1,2
Kanye West num awards 11. Kanye West domain musicians.,Kanye West 11,Are you referring to Kanye West who has 11 awards?,confirm,musicians,1,2
Olamide num awards 0. Olamide domain musicians.,Olamide 0,Are you referring to Olamide who hasn't been awarded for any of his work?,confirm,musicians,1,2
Noize MC from Russia. Noize MC domain musicians.,Noize Mc Russia,Are you referring to Noize MC from Russia?,confirm,musicians,1,2
Sarah Cracknell record label Heavenly Recordings. Sarah Cracknell domain musicians.,Sarah Cracknell Heavenly Recordings,Are you referring to Sarah Cracknell who recorded for Heavenly Recordings?,confirm,musicians,1,2
Avishai Cohen performer of Continuo. Avishai Cohen domain musicians.,Avishai Cohen Continuo,Are you referring to Avishai Cohen who perform Continuo?,confirm,musicians,1,2
"Neha Bhasin date of birth November 18, 1982. Neha Bhasin domain musicians.","Neha Bhasin November 18, 1982"," Are you referring to Neha Bhasin who was born on November 18, 1982?",confirm,musicians,1,2
Terry Callier from United States of America. Terry Callier domain musicians.,Terry Callier United States Of America,Are you referring to the American musician Terry Callier?,confirm,musicians,1,2
Kanye West genres progressive rap. Kanye West domain musicians.,Kanye West Progressive Rap,Are you referring to the progressive rap artist Kanye West?,confirm,musicians,1,2
Madonna performer of Batuka. Madonna domain musicians.,Madonna Batuka,Are you referring to Madonna who performed Batuka?,confirm,musicians,1,2
"Jennifer Lopez date of birth July 24, 1969. Jennifer Lopez domain musicians.","Jennifer Lopez July 24, 1969"," Are you referring to Jennifer Lopez who was born on July 24, 1969?",confirm,musicians,1,2
Kevin Max genres Christian rock. Kevin Max domain musicians.,Kevin Max Christian Rock,Are you referring to Kevin Max who plays Christian rock?,confirm,musicians,1,2
Clint Eastwood gender male. Clint Eastwood domain musicians.,Clint Eastwood Male,Are you referring to the male musician Clint Eastwood?,confirm,musicians,1,2
Clint Eastwood awards The Order of the Rising Sun. Clint Eastwood domain musicians.,Clint Eastwood The Order Of The Rising Sun,Are you referring to Clint Eastwood who was awarded The Order of the Rising Sun?,confirm,musicians,1,2
Kim Ryeowook awards N/A. Kim Ryeowook domain musicians.,Kim Ryeowook N/A,Are you referring to Kim Ryeowook who hasn't received any awards?,confirm,musicians,1,2
"Barrett Strong date of birth February 5, 1941. Barrett Strong domain musicians.","Barrett Strong February 5, 1941"," Are you referring to Barrett Strong who was born on February 5, 1941?",confirm,musicians,1,2
"Terry Callier date of birth May 24, 1945. Terry Callier domain musicians.","Terry Callier May 24, 1945"," Are you referring to Terry Callier who was born on May 24, 1945?",confirm,musicians,1,2
Lisa Marie Presley awards N/A. Lisa Marie Presley domain musicians.,Lisa Marie Presley N/A,Are you referring to Lisa Marie Presley who didn't receive any awards?,confirm,musicians,1,2
Kevin Max gender male. Kevin Max domain musicians.,Kevin Max Male,Are you referring to the male musician Kevin Max?,confirm,musicians,1,2
Neha Bhasin from India. Neha Bhasin domain musicians.,Neha Bhasin India,Are you referring to Neha Bhasin from India who is a musician?,confirm,musicians,1,2
"Zella Day date of birth March 13, 1995. Zella Day domain musicians.","Zella Day March 13, 1995"," Are you referring to Zella Day born on March 13, 1995?",confirm,musicians,1,2
Ricki-Lee awards N/A. Ricki-Lee domain musicians.,Ricki-Lee N/A,Are you referring to Ricki-Lee who didn't get any awards?,confirm,musicians,1,2
"Kate Bush date of birth July 30, 1958. Kate Bush domain musicians.","Kate Bush July 30, 1958"," Are you referring to Kate Bush who was born on July 30, 1958?",confirm,musicians,1,2
Neha Bhasin genres dance-pop. Neha Bhasin domain musicians.,Neha Bhasin Dance-Pop,Are you referring to the dance-pop artist Neha Bhasin?,confirm,musicians,1,2
Paul McCartney performer of Hope For The Future. Paul McCartney domain musicians.,Paul Mccartney Hope For The Future,Are you referring to Paul McCartney who performed Hope For The Future?,confirm,musicians,1,2
David Bowie num awards 13. David Bowie domain musicians.,David Bowie 13,Are you referring to David Bowie who has 13 awards?,confirm,musicians,1,2
