mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"confirm(name[Kiki VanDeWeghe], sport[basketball], awards[N/A])",Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe awards N/A. Kiki VanDeWeghe domain athletes.,Kiki Vandeweghe Basketball N/A," Are you talking about Kiki VanDeWeghe, the basketball player?",confirm,athletes,1,3
"confirm(name[Dwayne Johnson], sport[professional wrestling], sports teams[Calgary Stampeders, Miami Hurricanes football])","Dwayne Johnson sport professional wrestling. Dwayne Johnson sports teams Calgary Stampeders, Miami Hurricanes football. Dwayne Johnson domain athletes.","Dwayne Johnson Professional Wrestling Calgary Stampeders, Miami Hurricanes Football"," Are we talking about Dwayne Johnson, the professional wrestler who played for the Calgary Stampeders and the Miami Hurricanes football team?",confirm,athletes,1,3
"confirm(name[Davie Selke], sport[association football], awards[N/A])",Davie Selke sport association football. Davie Selke awards N/A. Davie Selke domain athletes.,Davie Selke Association Football N/A," Are you talking about Davie Selke, the association football athlete?",confirm,athletes,1,3
"confirm(name[Oleksandr Usyk], sport[boxing], sports teams[N/A])",Oleksandr Usyk sport boxing. Oleksandr Usyk sports teams N/A. Oleksandr Usyk domain athletes.,Oleksandr Usyk Boxing N/A," Are you talking about Oleksandr Usyk, the boxing athlete?",confirm,athletes,1,3
"confirm(name[Hugo Dellien], sport[tennis], start time[1980])",Hugo Dellien sport tennis. Hugo Dellien start time 1980. Hugo Dellien domain athletes.,Hugo Dellien Tennis 1980," Are you talking about Hugo Dellien, the tennis athlete who started playing in 1980?",confirm,athletes,1,3
"confirm(name[Cristiano Ronaldo], sport[association football], start time[2002])",Cristiano Ronaldo sport association football. Cristiano Ronaldo start time 2002. Cristiano Ronaldo domain athletes.,Cristiano Ronaldo Association Football 2002," Are you talking about Cristiano Ronaldo, the association football athlete who started in 2002?",confirm,athletes,1,3
"confirm(name[John Fleck], sport[association football], awards[N/A])",John Fleck sport association football. John Fleck awards N/A. John Fleck domain athletes.,John Fleck Association Football N/A," Are you referring to John Fleck, the association football athlete?",confirm,athletes,1,3
"confirm(name[John Fleck], sport[association football], stats leader[N/A])",John Fleck sport association football. John Fleck stats leader N/A. John Fleck domain athletes.,John Fleck Association Football N/A," Are you talking about John Fleck, the association football player?",confirm,athletes,1,3
"confirm(name[Lionel Messi], sport[association football], place of birth[Rosario])",Lionel Messi sport association football. Lionel Messi place of birth Rosario. Lionel Messi domain athletes.,Lionel Messi Association Football Rosario," Are you talking about Lionel Messi, the association football player from Rosario?",confirm,athletes,1,3
"confirm(name[Nick Kyrgios], sport[tennis], stats leader[N/A])",Nick Kyrgios sport tennis. Nick Kyrgios stats leader N/A. Nick Kyrgios domain athletes.,Nick Kyrgios Tennis N/A," Are you talking about Nick Kyrgios, the tennis player?",confirm,athletes,1,3
