mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"recommend(name[Stranger Things], cast member[Winona Ryder], name[Winona Ryder], award received[Golden Globe Award for Best Supporting Actress – Motion Picture])",Stranger Things cast member Winona Ryder. Winona Ryder award received Golden Globe Award for Best Supporting Actress – Motion Picture. Stranger Things domain tv.,Stranger Things Winona Ryder Golden Globe Award for Best Supporting Actress – Motion Picture," Have you seen Stranger Things? Winona Ryder, who won a Golden Globe Award for Best Supporting Actress – Motion Picture, is in the cast.",recommend,tv shows,2,3
"suggest(name[Stranger Things], cast member[Winona Ryder], name[Show Me a Hero], cast member[Winona Ryder])",Stranger Things cast member Winona Ryder. Show Me a Hero cast member Winona Ryder. Stranger Things domain tv.,Stranger Things Winona Ryder Show Me a Hero,Did you watch Winona Ryder in Stranger Things or Show Me a Hero?,suggest,tv shows,2,3
"suggest(name[Stranger Things], genre[science fiction television program], name[Beauty and the Beast], genre[science fiction television program])",Stranger Things genre science fiction television program. Beauty and the Beast genre science fiction television program. Stranger Things domain tv.,Stranger Things science fiction television program Beauty and the Beast,Are you familiar with science fiction television programs such as Stranger Things and Beauty and the Beast?,suggest,tv shows,2,3
"inform(name[Obi-Wan Kenobi], genre[science fiction], name[Andor], genre[science fiction])",Obi-Wan Kenobi genre science fiction. Andor genre science fiction. Obi-Wan Kenobi domain tv.,Obi-Wan Kenobi science fiction Andor," Obi-Wan Kenobi is a science fiction television series, while Andor is a science fiction show.",inform,tv shows,2,3
"suggest(name[Stranger Things], screenwriter[Ross Duffer], name[Chapter Nine: The Piggyback], screenwriter[Ross Duffer])",Stranger Things screenwriter Ross Duffer. Chapter Nine: The Piggyback screenwriter Ross Duffer. Stranger Things domain tv.,Stranger Things Ross Duffer Chapter Nine: The Piggyback," Did you follow the tv series Stranger Things, written by Ross Duffer in Chapter Nine: The Piggyback?",suggest,tv shows,2,3
"suggest(name[The Lord of the Rings: The Rings of Power], cast member[Maxim Baldry], name[Rome], cast member[Maxim Baldry])",The Lord of the Rings: The Rings of Power cast member Maxim Baldry. Rome cast member Maxim Baldry. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power Maxim Baldry Rome,Did you see Maxim Baldry in The Lord of the Rings: The Rings of Power or Rome?,suggest,tv shows,2,3
"suggest(name[The Lord of the Rings: The Rings of Power], genre[action television series], name[Supernatural], genre[action television series])",The Lord of the Rings: The Rings of Power genre action television series. Supernatural genre action television series. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power action television series Supernatural,Do you like action television series like The Lord of the Rings: The Rings of Power and Supernatural?,suggest,tv shows,2,3
"suggest(name[The Lord of the Rings: The Rings of Power], screenwriter[Gennifer Hutchison], name[Piñata], screenwriter[Gennifer Hutchison])",The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. Piñata screenwriter Gennifer Hutchison. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power Gennifer Hutchison Piñata,Did you follow Gennifer Hutchison's television series The Lord of the Rings: The Rings of Power and Piñata?,suggest,tv shows,2,3
"give_opinion(name[The Lord of the Rings: The Rings of Power], rating[good], screenwriter[Gennifer Hutchison])",The Lord of the Rings: The Rings of Power rating good. The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. The Lord of the Rings: The Rings of Power domain tv.,The Lord of the Rings: The Rings of Power good The Lord of the Rings: The Rings of Power Gennifer Hutchison,The Lord of the Rings: The Rings of Power is a good show with great writing from Gennifer Hutchison.,give_opinion,tv shows,2,3
"recommend(name[Wednesday], cast member[Fred Armisen], name[Documentary Now!], creator[Fred Armisen])",Wednesday cast member Fred Armisen. Documentary Now! creator Fred Armisen. Wednesday domain tv.,Wednesday Fred Armisen Documentary Now!," Have you heard of Wednesday? It stars Fred Armisen and was created by Fred Armisen, the creator of Documentary Now!.",recommend,tv shows,2,3
