mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Kit Harington place of birth Acton. Asma al-Assad place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Asma al-Assad," Are you familiar with Kit Harington? He's from Acton, just like Asma al-Assad.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Les Ferdinand place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Les Ferdinand," Are you familiar with Kit Harington? He's an actor from Acton, just like Les Ferdinand.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Charlotte Goldsmith place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Charlotte Goldsmith," Do you watch tv actors from Acton, such as Kit Harington and Charlotte Goldsmith?",suggest,tv actors,2,3
Kit Harington place of birth Acton. Percy Wyn-Harris place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Percy Wyn-Harris," Are you familiar with Kit Harington? He's from Acton, just like Percy Wyn-Harris.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Gerald Graham place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Gerald Graham," Are you familiar with Kit Harington? He's from Acton, just like Gerald Graham.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Geoffrey Ashe place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Geoffrey Ashe," Are you familiar with Kit Harington? He's from Acton, just like Geoffrey Ashe.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Adam Faith place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Adam Faith," Have you seen anything with Kit Harington in it? He's from Acton, just like Adam Faith.",recommend,tv actors,2,3
"Kit Harington place of birth Acton. Bruce Fraser, 1st Baron Fraser of North Cape place of birth Acton. Kit Harington domain tv actor.","Kit Harington Acton Bruce Fraser, 1st Baron Fraser of North Cape"," Are you familiar with Kit Harington? He's from Acton, just like Bruce Fraser, 1st Baron Fraser of North Cape.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Hal Robson-Kanu place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Hal Robson-Kanu," Are you familiar with Kit Harington? He's from Acton, just like Hal Robson-Kanu.",recommend,tv actors,2,3
Kit Harington place of birth Acton. Robin Friday place of birth Acton. Kit Harington domain tv actor.,Kit Harington Acton Robin Friday," Are you familiar with Kit Harington? He's an actor from Acton, just like Robin Friday.",recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Joe Jonas place of birth Casa Grande. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas Casa Grande, Are you familiar with Sophie Turner? She's married to Joe Jonas who is from Casa Grande.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Joe Jonas spouse Sophie Turner. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas Sophie Turner, Are you familiar with Sophie Turner? She's married to Joe Jonas.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Joe Jonas sex or gender male. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas male, Are you familiar with Sophie Turner? She's married to Joe Jonas who is male.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Joe Jonas date of birth 1989. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas 1989, Are you familiar with Sophie Turner? She's married to Joe Jonas who was born in 1989.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Joe Jonas height shorter. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas shorter, Are you familiar with Sophie Turner? She's married to the shorter Joe Jonas.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Camp Rock cast member Joe Jonas. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas Camp Rock, Are you familiar with Sophie Turner? She's married to Joe Jonas who was in Camp Rock.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Jonas cast member Joe Jonas. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas Jonas, Are you familiar with Sophie Turner? She's married to Joe Jonas who was in the Jonas cast.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Camp Rock 2: The Final Jam cast member Joe Jonas. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas Camp Rock 2: The Final Jam, Are you familiar with Sophie Turner? She's married to Joe Jonas who was in Camp Rock 2: The Final Jam.,recommend,tv actors,2,3
Sophie Turner spouse Joe Jonas. Jonas Brothers: The 3D Concert Experience cast member Joe Jonas. Sophie Turner domain tv actor.,Sophie Turner Joe Jonas Jonas Brothers: The 3D Concert Experience, Are you familiar with Sophie Turner? She's married to Joe Jonas who was in Jonas Brothers: The 3D Concert Experience.,recommend,tv actors,2,3
