mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
movie actors name Johnny Depp. Johnny Depp occupation screenwriter. John Krasinski occupation screenwriter.,Johnny Depp screenwriter John Krasinski,"Have you ever checked out Johnny Depp's work? He's an actor and screenwriter, just like John Krasinski.",recommend,movie actors,2,3
movie actors name Johnny Depp. Johnny Depp spouse Amber Heard. Amber Heard occupation television movie actors.,Johnny Depp Amber Heard television actor,"Are you familiar with Johnny Depp? His wife is Amber Heard, who is a television actor.",recommend,movie actors,2,3
movie actors name Johnny Depp. Johnny Depp spouse Amber Heard. Amber Heard sex or gender female.,Johnny Depp Amber Heard female,Johnny Depp is an actor who is married to female Amber Heard.,inform,movie actors,2,3
movie actors name Johnny Depp. Johnny Depp rating highly rated. Fear and Loathing in Las Vegas cast member Johnny Depp.,Johnny Depp highly rated Johnny Depp Fear and Loathing in Las Vegas,You said that Johnny Depp was highly rated in Fear and Loathing in Las Vegas. Do you usually think highly of the performances of Johnny Depp?,verify_attribute,movie actors,2,3
movie actors name Once Upon a Time in Mexico. Once Upon a Time in Mexico cast member Johnny Depp. Once Upon a Time in Mexico cast member Salma Hayek.,Johnny Depp Once Upon a Time in Mexico Salma Hayek,"Did you ever see Once Upon a Time in Mexico, which starred actors like Johnny Depp and Salma Hayek?",suggest,movie actors,2,3
movie actors name Johnny Depp. Johnny Depp place of birth Owensboro. Tom Ewell place of birth Owensboro.,Johnny Depp Owensboro Tom Ewell,"Have you seen anything by Johnny Depp? He's an actor from Owensboro, just like Tom Ewell.",recommend,movie actors,2,3
movie actors name Fear and Loathing in Las Vegas. Fear and Loathing in Las Vegas cast member Johnny Depp. Fear and Loathing in Las Vegas cast member Christina Ricci.,Johnny Depp Fear and Loathing in Las Vegas Christina Ricci,Johnny Depp and Christina Ricci are actors who starred in Fear and Loathing in Las Vegas.,inform,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe place of birth Los Angeles. John Gavin place of birth Los Angeles.,Marilyn Monroe Los Angeles John Gavin,"Have you heard of Marilyn Monroe? She's an actor from Los Angeles, just like John Gavin.",recommend,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe rating highly rated. The Seven Year Itch cast member Marilyn Monroe.,Marilyn Monroe highly rated Marilyn Monroe The Seven Year Itch,You said Marilyn Monroe was highly rated in The Seven Year Itch. Do you usually rate Marilyn Monroe's performances highly?,verify_attribute,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe spouse Arthur Miller. Arthur Miller place of birth New York City.,Marilyn Monroe Arthur Miller New York City,"Are you familiar with the work of actors from New York City, like Marilyn Monroe's spouse Arthur Miller?",suggest,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe spouse Arthur Miller. Arthur Miller spouse Inge Morath.,Marilyn Monroe Arthur Miller Inge Morath,Marilyn Monroe was an actor who was married to Arthur Miller. Arthur Miller was married to Inge Morath.,inform,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe spouse Arthur Miller. Arthur Miller occupation screenwriter.,Marilyn Monroe Arthur Miller screenwriter,Have you heard of Marilyn Monroe? She was an actor whose spouse was the screenwriter Arthur Miller.,recommend,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe spouse Arthur Miller. Arthur Miller sex or gender male.,Marilyn Monroe Arthur Miller male,Marilyn Monroe was a male actor who was married to Arthur Miller.,inform,movie actors,2,3
movie actors name Marilyn Monroe. Marilyn Monroe spouse Arthur Miller. Arthur Miller date of birth 1915.,Marilyn Monroe Arthur Miller 1915,"Marilyn Monroe was an actor married to Arthur Miller, who was born in 1915.",inform,movie actors,2,3
movie actors name Michael Jackson. Michael Jackson rating top rated. Vyprávěj cast member Michael Jackson.,Michael Jackson top rated Michael Jackson Vyprávěj,You said Michael Jackson was top rated in Vyprávěj. Do you usually rate Michael Jackson's acting highly?,verify_attribute,movie actors,2,3
