mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
movies name Downton Abbey. Downton Abbey rating average. Downton Abbey cast member Michelle Dockery. Anna Karenina cast member Michelle Dockery.,Downton Abbey average Michelle Dockery Anna Karenina,"Downton Abbey is an average movie, but the performance of Michelle Dockery is worth watching. She also did a great job in Anna Karenina.",give_opinion,movies,2,4
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Ed Harris.,Top Gun: Maverick excellent Ed Harris,Top Gun: Maverick is an excellent movie and Ed Harris' performance was outstanding.,give_opinion,movies,2,3
movies name Downton Abbey. Downton Abbey rating average. Downton Abbey cast member Imelda Staunton. Harry Potter and the Half-Blood Prince cast member Imelda Staunton.,Downton Abbey average Imelda Staunton Harry Potter and the Half-Blood Prince,"Downton Abbey was an average movie, but Imelda Staunton's performance was excellent, as it was in Harry Potter and the Half-Blood Prince.",give_opinion,movies,2,4
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Jean Louisa Kelly.,Top Gun: Maverick excellent Jean Louisa Kelly,"I think Top Gun: Maverick is an excellent movie, with a great performance by Jean Louisa Kelly.",give_opinion,movies,2,3
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Jack Schumacher.,Top Gun: Maverick excellent Jack Schumacher,"Top Gun: Maverick is an excellent movie, and Jack Schumacher's performance was outstanding.",give_opinion,movies,2,3
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Bob Stephenson.,Top Gun: Maverick excellent Bob Stephenson,Top Gun: Maverick is an excellent movie with a great performance by Bob Stephenson.,give_opinion,movies,2,3
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member James Handy.,Top Gun: Maverick excellent James Handy,"I believe Top Gun: Maverick will be an excellent movie, thanks to the great performance of James Handy.",give_opinion,movies,2,3
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Kara Wang.,Top Gun: Maverick excellent Kara Wang,"Top Gun: Maverick is an excellent movie, and the performance of Kara Wang was outstanding.",give_opinion,movies,2,3
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Lyliana Wray.,Top Gun: Maverick excellent Lyliana Wray,Top Gun: Maverick is an excellent movie and Lyliana Wray gave an amazing performance in it.,give_opinion,movies,2,3
movies name Top Gun: Maverick. Top Gun: Maverick rating excellent. Top Gun: Maverick cast member Jon Hamm.,Top Gun: Maverick excellent Jon Hamm,"I think Top Gun: Maverick is an excellent movie, especially because of the great performance of Jon Hamm.",give_opinion,movies,2,3
movies name Doctor Strange in the Multiverse of Madness. Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Patrick Stewart.,Doctor Strange in the Multiverse of Madness average Patrick Stewart,"Doctor Strange in the Multiverse of Madness has an average rating, but the presence of Patrick Stewart is a huge draw.",give_opinion,movies,2,3
movies name Doctor Strange in the Multiverse of Madness. Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Charlize Theron.,Doctor Strange in the Multiverse of Madness average Charlize Theron,"Doctor Strange in the Multiverse of Madness is an average movie, but I think it's worth watching for the performance of Charlize Theron.",give_opinion,movies,2,3
movies name Doctor Strange in the Multiverse of Madness. Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Hayley Atwell.,Doctor Strange in the Multiverse of Madness average Hayley Atwell,"Doctor Strange in the Multiverse of Madness has an average rating, but I think it's worth watching for the performance of Hayley Atwell.",give_opinion,movies,2,3
movies name Doctor Strange in the Multiverse of Madness. Doctor Strange in the Multiverse of Madness rating average. Doctor Strange in the Multiverse of Madness cast member Elizabeth Olsen.,Doctor Strange in the Multiverse of Madness average Elizabeth Olsen,"Doctor Strange in the Multiverse of Madness has an average rating, but I think it's worth watching for the performance of Elizabeth Olsen.",give_opinion,movies,2,3
