mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
"Baby Driver publication date 2017. Baby Driver genre action film, action comedy film. Baby Driver cast member Ansel Elgort, Jon Bernthal. Baby Driver MPA film rating R. Baby Driver director Edgar Wright. Baby Driver producer Tim Bevan. Baby Driver character Jon Bernthal as Griff. Baby Driver domain movies.","Baby Driver 2017 'Action Film', 'Action Comedy Film' 'Ansel Elgort', 'Jon Bernthal' R Edgar Wright 'Tim Bevan' 'Jon Bernthal As Griff'"," Baby Driver is a 2017 R-rated action and action comedy film directed by Edgar Wright and produced by Tim Bevan, starring Ansel Elgort and Jon Bernthal as Griff.",inform,movies,1,8,inform,1,0.03482633662,28.71390152,4.038771195,0.7805257
"Doctor Strange in the Multiverse of Madness publication date 2022. Doctor Strange in the Multiverse of Madness genre action film, superhero film. Doctor Strange in the Multiverse of Madness domain movies.","Doctor Strange In The Multiverse Of Madness 2022 'Action Film', 'Superhero Film'",Doctor Strange in the Multiverse of Madness is a 2022 action and superhero film.,inform,movies,1,3,inform,1,0.004890772547,204.4666748,6.608973813,0.8793375
"Iron Man 3 publication date 2013. Iron Man 3 genre comedy film, action film. Iron Man 3 cast member Ty Simpkins, William Sadler. Iron Man 3 MPA film rating PG-13. Iron Man 3 director Shane Black. Iron Man 3 producer Kevin Feige. Iron Man 3 domain movies.","Iron Man 3 2013 'Comedy Film', 'Action Film' 'Ty Simpkins', 'William Sadler' Pg-13 Shane Black 'Kevin Feige'"," Iron Man 3 is a 2013 PG-13 action-comedy film directed by Shane Black and produced by Kevin Feige, starring Ty Simpkins and William Sadler.",inform,movies,1,7,inform,1,0.04789985002,20.87689209,7.355026066,0.80124974
"Apollo 13 publication date 1995. Apollo 13 genre drama film, historical film. Apollo 13 domain movies.","Apollo 13 1995 'Drama Film', 'Historical Film'",Apollo 13 is a 1995 drama and historical film.,inform,movies,1,3,inform,1,0.004587732687,217.9725952,9.287529,0.81844497
"Forrest Gump publication date 1994. Forrest Gump genre tragicomedy, flashback film. Forrest Gump producer Wendy Finerman, Steve Tisch, Charles Newirth, Steve Starkey. Forrest Gump character Kurt Russell as Elvis voice. Forrest Gump domain movies.","Forrest Gump 1994 'Tragicomedy', 'Flashback Film' 'Wendy Finerman', 'Steve Tisch', 'Charles Newirth', 'Steve Starkey' 'Kurt Russell As Elvis Voice'"," Forrest Gump is a 1994 tragicomedy and flashback film produced by Wendy Finerman, Steve Tisch, Charles Newirth, and Steve Starkey, featuring Kurt Russell as Elvis' voice.",inform,movies,1,5,inform,1,0.007383032791,135.445694,3.392268781,0.7894289
"Avatar: The Way of Water publication date 2022. Avatar: The Way of Water genre action film, speculative/fantastic fiction film. Avatar: The Way of Water MPA film rating PG-13. Avatar: The Way of Water screenwriter James Cameron, Josh Friedman, Shane Salerno, Rick Jaffa and Amanda Silver. Avatar: The Way of Water character Alicia Vela-Bailey as Zdinarsk. Avatar: The Way of Water domain movies.","Avatar: The Way Of Water 2022 'Action Film', 'Speculative/Fantastic Fiction Film' Pg-13 'James Cameron', 'Josh Friedman', 'Shane Salerno', 'Rick Jaffa And Amanda Silver' 'Alicia Vela-Bailey As Zdinarsk'"," Avatar: The Way of Water is a 2022 PG-13 action/speculative fiction film starring Alicia Vela-Bailey as Zdinarsk and written by James Cameron, Josh Friedman, Shane Salerno, Rick Jaffa and Amanda Silver.",inform,movies,1,6,inform,1,0.007805771407,128.1103363,8.145817657,0.8049178
"American Psycho publication date 2000. American Psycho genre film based on a novel, drama film. American Psycho domain movies.","American Psycho 2000 'Film Based On A Novel', 'Drama Film'",American Psycho is a 2000 film based on a novel and drama film.,inform,movies,1,3,inform,1,0.01363504249,73.34043884,6.285596338,0.85161966
"Halloween Ends publication date 2022. Halloween Ends genre horror film, slasher film. Halloween Ends MPA film rating R. Halloween Ends review score average. Halloween Ends producer Bill Block, Jason Blum, Malek Akkad. Halloween Ends director David Gordon Green. Halloween Ends character Nick Castle as The Shape. Halloween Ends domain movies.","Halloween Ends 2022 'Horror Film', 'Slasher Film' R Average 'Bill Block', 'Jason Blum', 'Malek Akkad' David Gordon Green 'Nick Castle As The Shape'"," Halloween Ends is a 2022 R-rated horror-slasher film produced by Bill Block, Jason Blum, and Malek Akkad, and directed by David Gordon Green. It stars Nick Castle as The Shape with an average review score.",inform,movies,1,8,inform,1,0.01372839332,72.84173584,5.237131831,0.75165343
"The Batman publication date 2022. The Batman genre detective film, drama fiction. The Batman review score good. The Batman director Matt Reeves. The Batman producer Matt Reeves, Dylan Clark. The Batman character ""Archie Barnes as mitchells son"". The Batman cast member Todd Boyce, Rodrig Andrisan. The Batman domain movies.","The Batman 2022 'Detective Film', 'Drama Fiction' Good Matt Reeves 'Matt Reeves', 'Dylan Clark' ""Archie Barnes As Mitchell'S Son"" 'Todd Boyce', 'Rodrig Andrisan'"," The Batman, a 2022 detective and drama fiction film directed by Matt Reeves and produced by Matt Reeves and Dylan Clark, stars Todd Boyce and Rodrig Andrisan, with Archie Barnes as Mitchell's son. It has a good review score.",inform,movies,1,8,inform,1,0.006937093636,144.1525879,3.275436974,0.7630375
"Blade Runner publication date 1982. Blade Runner genre neo-noir, tech noir. Blade Runner domain movies.","Blade Runner 1982 'Neo-Noir', 'Tech Noir'"," Blade Runner is a 1982 neo-noir, tech noir movie.",inform,movies,1,3,inform,1,0.0124180986,80.52762604,8.913765521,0.8369326
"Baby Driver publication date 2017. Baby Driver genre action film, crime-comedy film. Baby Driver MPA film rating R. Baby Driver cast member Jon Bernthal, Jon Hamm. Baby Driver character Jon Bernthal as Griff. Baby Driver producer Tim Bevan. Baby Driver domain movies.","Baby Driver 2017 'Action Film', 'Crime-Comedy Film' R 'Jon Bernthal', 'Jon Hamm' 'Jon Bernthal As Griff' 'Tim Bevan'",Baby Driver is a 2017 R-rated action-crime-comedy film starring Jon Bernthal as Griff and Jon Hamm. It was produced by Tim Bevan.,inform,movies,1,7,inform,1,0.01930347009,51.80415726,3.741943603,0.7361685
"Top Gun: Maverick publication date 2022. Top Gun: Maverick genre drama film, action film. Top Gun: Maverick cast member Monica Barbaro, Charles Parnell. Top Gun: Maverick MPA film rating PG-13. Top Gun: Maverick director Joseph Kosinski. Top Gun: Maverick screenwriter Justin Marks, Peter Craig, Christopher McQuarrie, Eric Warren Singer, Ashley Miller, Ehren Kruger, Zack Stentz. Top Gun: Maverick review score excellent. Top Gun: Maverick domain movies.","Top Gun: Maverick 2022 'Drama Film', 'Action Film' 'Monica Barbaro', 'Charles Parnell' Pg-13 Joseph Kosinski 'Justin Marks', 'Peter Craig', 'Christopher Mcquarrie', 'Eric Warren Singer', 'Ashley Miller', 'Ehren Kruger', 'Zack Stentz' Excellent"," Top Gun: Maverick is a 2022 PG-13 drama and action film starring Monica Barbaro and Charles Parnell, directed by Joseph Kosinski and written by Justin Marks, Peter Craig, Christopher McQuarrie, Eric Warren Singer, Ashley Miller, Ehren Kruger, Zack Stentz. Reviews for this movie are excellent.",inform,movies,1,8,inform,1,0.01634424059,61.1836319,6.18780182,0.7388151
"The Batman publication date 2022. The Batman genre detective film, action film. The Batman domain movies.","The Batman 2022 'Detective Film', 'Action Film'",The Batman is a 2022 action-detective film.,inform,movies,1,3,inform,1,0.005079142662,196.8836212,12.22307556,0.85050476
