mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
albums name 12 Bar Blues. 12 Bar Blues genres alternative rock.,12 Bar Blues Alternative Rock,Are you referring to the alternative rock album 12 Bar Blues?,confirm,albums,1,2
albums name Evermore. Evermore genres alternative rock.,Evermore Alternative Rock,Are you talking about the alternative rock album Evermore?,confirm,albums,1,2
albums name Trouble. Trouble genres folk rock.,Trouble Folk Rock,Are you talking about the folk rock album Trouble?,confirm,albums,1,2
albums name Now or Never. Now or Never producer Matthew Gerrard.,Now Or Never Matthew Gerrard,Are you talking about the album Now or Never produced by Matthew Gerrard?,confirm,albums,1,2
albums name Lover. Lover contains Miss Americana & the Heartbreak Prince.,Lover Miss Americana & The Heartbreak Prince,"Are you talking about the album Lover, containing the track Miss Americana & the Heartbreak Prince?",confirm,albums,1,2
albums name In the Middle of Nowhere. In the Middle of Nowhere genres Eurodisco.,In The Middle Of Nowhere Eurodisco,Are you talking about the Eurodisco album In the Middle of Nowhere?,confirm,albums,1,2
albums name The Wall. The Wall record label Columbia Records.,The Wall Columbia Records,"Are you talking about The Wall, released by Columbia Records?",confirm,albums,1,2
albums name The Wall. The Wall producer Bob Ezrin.,The Wall Bob Ezrin,"Are you mentioning The Wall, produced by Bob Ezrin?",confirm,albums,1,2
albums name Where I Wanna Be. Where I Wanna Be contains Where I Wanna Be.,Where I Wanna Be Where I Wanna Be,"Are you talking about the album Where I Wanna Be, containing the track Where I Wanna Be?",confirm,albums,1,2
albums name Metallica. Metallica publication year 1991.,Metallica 1991,"Are you talking about Metallica, the album released in 1991?",confirm,albums,1,2
albums name Damn. Damn performer Kendrick Lamar.,Damn Kendrick Lamar,Are you talking about Kendrick Lamar's album Damn?,confirm,albums,1,2
albums name One Voice. One Voice record label Arista Records.,One Voice Arista Records,Are you talking about the Arista Records album One Voice?,confirm,albums,1,2
albums name Missing...Presumed Having a Good Time. Missing...Presumed Having a Good Time performer Mark Knopfler.,Missing...Presumed Having A Good Time Mark Knopfler,Are you talking about the album Missing...Presumed Having a Good Time by Mark Knopfler?,confirm,albums,1,2
albums name Damn. Damn record label Interscope Records.,Damn Interscope Records,Are you mentioning the Interscope Records album Damn?,confirm,albums,1,2
albums name Pet Sounds. Pet Sounds publication year 1966.,Pet Sounds 1966,Are you talking about the 1966 album Pet Sounds?,confirm,albums,1,2
albums name Midnights. Midnights performer Taylor Swift.,Midnights Taylor Swift,Are you talking about Taylor Swift's album Midnights?,confirm,albums,1,2
albums name The Rise and Fall of Ziggy Stardust and the Spiders from Mars. The Rise and Fall of Ziggy Stardust and the Spiders from Mars record label RCA Victor.,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars Rca Victor,"Are you talking about The Rise and Fall of Ziggy Stardust and the Spiders from Mars, released on RCA Victor?",confirm,albums,1,2
albums name Rubber Soul. Rubber Soul record label Capitol Records.,Rubber Soul Capitol Records,"Are you talking about Rubber Soul, released on Capitol Records?",confirm,albums,1,2
albums name Unleashed. Unleashed contains Lets Get Down.,Unleashed Lets Get Down,"Are you mentioning the album Unleashed, with the track Lets Get Down?",confirm,albums,1,2
albums name To Pimp a Butterfly. To Pimp a Butterfly genres hip hop music.,To Pimp A Butterfly Hip Hop Music,Are you talking about the hip hop album To Pimp a Butterfly?,confirm,albums,1,2
albums name Top Gun – Original Motion Picture Soundtrack. Top Gun – Original Motion Picture Soundtrack performer various artists.,Top Gun – Original Motion Picture Soundtrack Various Artists,Are you talking about the various artists' album Top Gun – Original Motion Picture Soundtrack?,confirm,albums,1,2
albums name You Baby. You Baby producer Bones Howe.,You Baby Bones Howe,Are you talking about the Bones Howe produced album You Baby?,confirm,albums,1,2
albums name Let It Be. Let It Be genres rhythm and blues. Let It Be domcocoms.,Let It Be Rhythm And Blues,Are you talking about the rhythm and blues album Let It Be?,confirm,albums,1,2
albums name The Rise and Fall of Ziggy Stardust and the Spiders from Mars. The Rise and Fall of Ziggy Stardust and the Spiders from Mars genres rock opera.,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars Rock Opera,Are we discussing the rock opera The Rise and Fall of Ziggy Stardust and the Spiders from Mars?,confirm,albums,1,2
albums name Age to Age. Age to Age genres contemporary Christian music.,Age To Age Contemporary Christian Music,Are you referring to the contemporary Christian music album Age to Age?,confirm,albums,1,2
albums name OK Computer. OK Computer contains Karma Police.,Ok Computer Karma Police,Are you talking about the album OK Computer with the track Karma Police?,confirm,albums,1,2
albums name I Never Learn. I Never Learn publication year 2014.,I Never Learn 2014,Are you talking about the 2014 album I Never Learn?,confirm,albums,1,2
albums name Rumours. Rumours record label Big Brother.,Rumours Big Brother,Are you talking about the album Rumours released by Big Brother?,confirm,albums,1,2
albums name 1989. 1989 record label Big Machine Records.,1989 Big Machine Records,Are we discussing the 1989 album released by Big Machine Records?,confirm,albums,1,2
albums name Led Zeppelin IV. Led Zeppelin IV genres blues rock.,Led Zeppelin Iv Blues Rock,Are you talking about the blues rock album Led Zeppelin IV?,confirm,albums,1,2
albums name Where I Wanna Be. Where I Wanna Be performer Donell Jones.,Where I Wanna Be Donell Jones,Are you talking about the album Where I Wanna Be performed by Donell Jones?,confirm,albums,1,2
albums name To Pimp a Butterfly. To Pimp a Butterfly publication year 2015.,To Pimp A Butterfly 2015,Are you talking about the 2015 album To Pimp a Butterfly?,confirm,albums,1,2
albums name The Anvil. The Anvil contains The Damned Dont Cry.,The Anvil The Damned Dont Cry,"Are you talking about The Anvil, the album with the track The Damned Dont Cry?",confirm,albums,1,2
albums name Seventh Tree. Seventh Tree record label Mute Records.,Seventh Tree Mute Records,"Are you talking about Seventh Tree, the album released by Mute Records?",confirm,albums,1,2
albums name Joe Budden. Joe Budden record label Def Jam Recordings.,Joe Budden Def Jam Recordings,Are you talking about the Def Jam Recordings album Joe Budden?,confirm,albums,1,2
albums name Joe Budden. Joe Budden performer Joe Budden.,Joe Budden Joe Budden,Are you talking about the album by Joe Budden?,confirm,albums,1,2
albums name The Wall. The Wall contains Goodbye Blue Sky.,The Wall Goodbye Blue Sky,"Are you referring to The Wall, containing the track Goodbye Blue Sky?",confirm,albums,1,2
albums name Guerrilla Warfare. Guerrilla Warfare performer Hot Boys.,Guerrilla Warfare Hot Boys,Are you talking about the Hot Boys' album Guerrilla Warfare?,confirm,albums,1,2
albums name Rings Around the World. Rings Around the World producer Super Furry Animals.,Rings Around The World Super Furry Animals,Are you talking about the album Rings Around the World by Super Furry Animals?,confirm,albums,1,2
albums name Life in 1472. Life in 1472 record label So So Def Recordings.,Life In 1472 So So Def Recordings,"Are you talking about Life in 1472, released on So So Def Recordings?",confirm,albums,1,2
albums name Evermore. Evermore contains No Crime.,Evermore No Crime,Are we discussing the album Evermore with the song No Crime?,confirm,albums,1,2
"albums name The Pick, the Sickle and the Shovel. The Pick, the Sickle and the Shovel record label V2 Records.","The Pick, The Sickle And The Shovel V2 Records","Are you mentioning The Pick, the Sickle and the Shovel released by V2 Records?",confirm,albums,1,2
albums name Led Zeppelin IV. Led Zeppelin IV producer Jimmy Page.,Led Zeppelin Iv Jimmy Page,"Are you referring to Led Zeppelin IV, produced by Jimmy Page?",confirm,albums,1,2
