,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,
4,4,0,Eddie Holland genre rhythm and blues. Corinne Bailey Rae genre rhythm and blues. Leaving Here performer Eddie Holland. Eddie Holland award received Johnny Mercer Award. Eddie Holland record label Motown. Adele genre rhythm and blues. Screamin' Jay Hawkins genre rhythm and blues.,Eddie Holland rhythm and blues Corinne Bailey Rae Leaving Here Johnny Mercer Award Motown Adele Screamin' Jay Hawkins,inform," Eddie Holland is a rhythm and blues artist who received the Johnny Mercer Award and signed with Motown record label. Corinne Bailey Rae, Adele and Screamin' Jay Hawkins are also rhythm and blues artists. Eddie Holland is the performer of Leaving Here.",42,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.01338070564,74.73447418,9.791579532,0.8511291,inform,match_scores,1
18,18,1,Billie Eilish rating excellent. Billie Eilish award received Grammy Award for Album of the Year. Bob Dylan award received Grammy Award for Album of the Year.,excellent Billie Eilish Grammy Award for Album of the Year Bob Dylan,verify_attribute," Since you said Billie Eilish is excellent, do you think the same for other artists who won Grammy Award for Album of the Year such as Bob Dylan?",28,1,3,(X (X) (X) (X)),0.02814235689,35.53362656,23.24422363,0.85382813,verify_attribute,match_scores,1
22,22,2,John Lennon rating good. John Lennon genre experimental music. John Lennon genre beat music.,good John Lennon experimental music beat music,verify_attribute,You told me you like John Lennon's music. Does that extend to other beat and experimental music?,17,1,3,(X (X) (X) (X)),0.01358903032,73.58876801,5.091212823,0.83123773,verify_attribute,match_scores,1
32,32,3,Allie X record label Universal Music Group. Teena Marie record label Universal Music Group. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award.,Allie X Universal Music Group Teena Marie Canada Nansen Refugee Award Canada Nansen Refugee Award,inform,Allie X and Teena Marie are both recording artists under the Universal Music Group. Allie X is from Canada and received the Nansen Refugee Award.,25,1,6,(X (X) (X) (X) (X) (X) (X)),0.008507281445,117.5463638,11.1882946,0.7897193,inform,match,1
46,46,4,soul music rating okay. Bill Withers genre soul music.,okay soul music Bill Withers,request_explanation,What do you find just okay about Bill Withers' soul music?,11,1,2,(X (X) (X)),0.01175727548,85.05371857,8.054496385,0.8492896,request_explanation,match_scores,1
56,56,5,Avishai Cohen genre jazz. Joni Mitchell genre jazz. Avishai Cohen country of citizenship Israel. Avishai Cohen genre bebop. Bing Crosby genre jazz. Ann Hampton Callaway genre jazz.,Avishai Cohen jazz Joni Mitchell Israel bebop Bing Crosby Ann Hampton Callaway,inform," Avishai Cohen from Israel, is a jazz and bebop musician, as well as Joni Mitchell, Bing Crosby and Ann Hampton Callaway.",21,1,6,(X (X) (X) (X) (X) (X) (X)),0.01093689831,91.43360138,9.970222995,0.9183453,inform,match_scores,1
69,69,6,David Phelps genre Christian music. Yazz genre Christian music. Life Is a Church performer David Phelps. One Wintry Night performer David Phelps. Legacy of Love performer David Phelps. Legacy of Love performer David Phelps. Aled Jones genre Christian music.,David Phelps Christian music Yazz Life Is a Church One Wintry Night Legacy of Love Legacy of Love Aled Jones,inform,"
David Phelps and Aled Jones are both Christian music artists. David Phelps is best known for his songs Life Is a Church and One Wintry Night, while Aled Jones is best known for his song Legacy of Love.",38,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.03129208533,31.95696259,12.73860821,0.774506,inform,match_scores,1
71,71,7,Eddie Holland rating okay. Eddie Holland genre rhythm and blues. I Couldn't Cry If I Wanted To performer Eddie Holland.,okay Eddie Holland rhythm and blues I Couldn't Cry If I Wanted To,verify_attribute,I recall you said I Couldn't Cry If I Wanted To was just okay. Do you not like all of Eddie Holland's rhythm and blues music in general?,28,1,3,(X (X) (X) (X)),0.01163849833,85.92173767,24.32822124,0.84317374,verify_attribute,match_scores,1
87,87,8,Sacha Distel genre jazz. Queen Latifah genre jazz. Sacha Distel award received Knight of the Legion of Honour. Sacha Distel record label RCA Victor. Ce serait dommage performer Sacha Distel. Sacha Distel date of birth 1933-01-29T00:00:00Z.,Sacha Distel jazz Queen Latifah Knight of the Legion of Honour RCA Victor Ce serait dommage 1933-01-29T00:00:00Z,inform,"
Sacha Distel is a jazz artist who was born in 1933 and got the Knight of the Legion of Honour award. He was signed with RCA Victor and one of his songs is Ce serait dommage.",36,1,6,(X (X) (X) (X) (X) (X) (X)),0.01312467156,76.19238281,18.38727157,0.6844929,inform,match_scores,1
95,95,9,Kendrick Lamar genre conscious hip hop. Prezident genre conscious hip hop. Kendrick Lamar genre G-funk. Kendrick Lamar genre jazz rap. Kendrick Lamar record label Top Dawg Entertainment.,Kendrick Lamar conscious hip hop Prezident G-funk jazz rap Top Dawg Entertainment,inform,"
Kendrick Lamar is a conscious hip hop, G-funk, and jazz rap artist signed to Top Dawg Entertainment.",17,1,5,(X (X) (X) (X) (X) (X)),0.0358210236,27.91656685,15.43510997,0.8943411,inform,match_scores,1
107,107,10,Aaron Carter genre hip hop music. Nelly Furtado genre hip hop music. Aaron Carter country of citizenship United States of America. Aaron Carter performer Aaron Carter.,Aaron Carter hip hop music Nelly Furtado United States of America Aaron Carter,inform,"
Aaron Carter is an American hip hop music artist, known for his work on Aaron Carter.",16,1,4,(X (X) (X) (X) (X)),0.03250441157,30.7650547,11.75029694,0.8106335,inform,match_scores,1
