mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
musicians name Billie Eilish. Billie Eilish gender female.,Billie Eilish Female,Are you referring to the female musician Billie Eilish?,confirm,musicians,1,2
musicians name Madonna. Madonna from United States of America.,Madonna United States Of America,Are you referring to Madonna from the United States of America?,confirm,musicians,1,2
musicians name Lady Gaga. Lady Gaga performer of Chillin.,Lady Gaga Chillin,Are you referring to Lady Gaga who perform Chillin?,confirm,musicians,1,2
"musicians name Kim Ryeowook. Kim Ryeowook date of birth June 21, 1987.","Kim Ryeowook June 21, 1987","Are you speaking of Kim Ryeowook who was born on June 21, 1987?",confirm,musicians,1,2
musicians name David Phelps. David Phelps performer of One Wintry Night.,David Phelps One Wintry Night,Are you referring to David Phelps who performed One Wintry Night?,confirm,musicians,1,2
musicians name Beverley Craven. Beverley Craven from United Kingdom.,Beverley Craven United Kingdom,Are you referring to Beverley Craven from the United Kingdom?,confirm,musicians,1,2
musicians name Kanye West. Kanye West num awards 11.,Kanye West 11,Are you referring to Kanye West who has 11 awards?,confirm,musicians,1,2
musicians name Olamide. Olamide num awards 0.,Olamide 0,Are you referring to Olamide who hasn't been awarded for any of his work?,confirm,musicians,1,2
musicians name Noize MC. Noize MC from Russia.,Noize Mc Russia,Are you referring to Noize MC from Russia?,confirm,musicians,1,2
musicians name Sarah Cracknell. Sarah Cracknell record label Heavenly Recordings.,Sarah Cracknell Heavenly Recordings,Are you referring to Sarah Cracknell who recorded for Heavenly Recordings?,confirm,musicians,1,2
musicians name Avishai Cohen. Avishai Cohen performer of Continuo.,Avishai Cohen Continuo,Are you referring to Avishai Cohen who perform Continuo?,confirm,musicians,1,2
"musicians name Neha Bhasin. Neha Bhasin date of birth November 18, 1982.","Neha Bhasin November 18, 1982","Are you referring to Neha Bhasin who was born on November 18, 1982?",confirm,musicians,1,2
musicians name Terry Callier. Terry Callier from United States of America.,Terry Callier United States Of America,Are you referring to the American musician Terry Callier?,confirm,musicians,1,2
musicians name Kanye West. Kanye West genres progressive rap.,Kanye West Progressive Rap,Are you referring to the progressive rap artist Kanye West?,confirm,musicians,1,2
musicians name Madonna. Madonna performer of Batuka.,Madonna Batuka,Are you referring to Madonna who performed Batuka?,confirm,musicians,1,2
"musicians name Jennifer Lopez. Jennifer Lopez date of birth July 24, 1969.","Jennifer Lopez July 24, 1969","Are you referring to Jennifer Lopez who was born on July 24, 1969?",confirm,musicians,1,2
musicians name Kevin Max. Kevin Max genres Christian rock.,Kevin Max Christian Rock,Are you referring to Kevin Max who plays Christian rock?,confirm,musicians,1,2
musicians name Clint Eastwood. Clint Eastwood gender male.,Clint Eastwood Male,Are you referring to the male musician Clint Eastwood?,confirm,musicians,1,2
musicians name Clint Eastwood. Clint Eastwood awards The Order of the Rising Sun.,Clint Eastwood The Order Of The Rising Sun,Are you referring to Clint Eastwood who was awarded The Order of the Rising Sun?,confirm,musicians,1,2
musicians name Kim Ryeowook. Kim Ryeowook awards N/A.,Kim Ryeowook N/A,Are you referring to Kim Ryeowook who hasn't received any awards?,confirm,musicians,1,2
"musicians name Barrett Strong. Barrett Strong date of birth February 5, 1941.","Barrett Strong February 5, 1941","Are you referring to Barrett Strong who was born on February 5, 1941?",confirm,musicians,1,2
"musicians name Terry Callier. Terry Callier date of birth May 24, 1945.","Terry Callier May 24, 1945","Are you referring to Terry Callier who was born on May 24, 1945?",confirm,musicians,1,2
musicians name Lisa Marie Presley. Lisa Marie Presley awards N/A.,Lisa Marie Presley N/A,Are you referring to Lisa Marie Presley who didn't receive any awards?,confirm,musicians,1,2
musicians name Kevin Max. Kevin Max gender male.,Kevin Max Male,Are you referring to the male musician Kevin Max?,confirm,musicians,1,2
musicians name Neha Bhasin. Neha Bhasin from India.,Neha Bhasin India,Are you referring to Neha Bhasin from India who is a musician?,confirm,musicians,1,2
"musicians name Zella Day. Zella Day date of birth March 13, 1995.","Zella Day March 13, 1995","Are you referring to Zella Day born on March 13, 1995?",confirm,musicians,1,2
musicians name Ricki-Lee. Ricki-Lee awards N/A.,Ricki-Lee N/A,Are you referring to Ricki-Lee who didn't get any awards?,confirm,musicians,1,2
"musicians name Kate Bush. Kate Bush date of birth July 30, 1958.","Kate Bush July 30, 1958","Are you referring to Kate Bush who was born on July 30, 1958?",confirm,musicians,1,2
musicians name Neha Bhasin. Neha Bhasin genres dance-pop.,Neha Bhasin Dance-Pop,Are you referring to the dance-pop artist Neha Bhasin?,confirm,musicians,1,2
musicians name Paul McCartney. Paul McCartney performer of Hope For The Future.,Paul Mccartney Hope For The Future,Are you referring to Paul McCartney who performed Hope For The Future?,confirm,musicians,1,2
