,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,da_acc
2,2,0,So Good rating excellent. So Good part of Strange Clouds.,So Good excellent Strange Clouds,verify_attribute,"
You said you love So Good from Strange Clouds. Do you usually have a great time listening to songs from Strange Clouds?",22,22,2,2,(X (X (X))),0.01708431601,58.53321838,4.449945957,0.7184817,verify_attribute,match_scores,1
14,14,1,Seven Nation Army genre alternative rock. Adolar genre alternative rock. Seven Nation Army producer Jack White.,Seven Nation Army Adolar alternative rock Jack White,inform,Seven Nation Army is an alternative rock song produced by Jack White. Adolar is another alternative rock group.,18,18,2,3,(X (X) (X (X))),0.004760790197,210.0491638,10.83063051,0.8527246,inform,match_scores,1
23,23,2,Stereotypes producer Stephen Street. Stephen Street genre indie rock. Stereotypes performer Blur. No Need to Argue producer Stephen Street.,Stereotypes Stephen Street indie rock Blur No Need to Argue,inform," Stephen Street, an indie rock producer, worked on Stereotypes by Blur and No Need to Argue.",16,16,2,4,(X (X) (X (X) (X))),0.008520049046,117.3702164,18.10719787,0.87098545,inform,match_scores,1
30,30,3,Wanna Get to Know You genre hip hop music. Jamie Foxx genre hip hop music.,Wanna Get to Know You Jamie Foxx hip hop music,suggest," Are you into hip hop music, like Wanna Get to Know You by Jamie Foxx?",15,15,2,2,(X (X (X))),0.0160044016,62.48281097,31.46660997,0.94075,suggest,match_scores,1
42,42,4,Old Town Road rating excellent. Old Town Road publication date 2018.,Old Town Road excellent 2018,verify_attribute,"
You love Old Town Road. Do you think other songs from 2018 are as great?",15,15,2,2,(X (X (X))),0.00814042279,122.8437424,9.147827112,0.7581405,verify_attribute,match_scores,1
50,50,5,pop music rating excellent. Jasmin Tabatabai genre pop music.,pop music Jasmin Tabatabai excellent,request_explanation,What makes Jasmin Tabatabai's pop music so excellent?,8,8,2,2,(X (X (X))),0.006625891123,150.9230957,11.33958222,0.9362637,request_explanation,match_scores,1
61,61,6,Evolution genre nu metal. Iowa genre nu metal. Evolution part of Untitled Korn album. Evolution record label Virgin Records. Evolution producer Atticus Ross. Evolution publication date 2007.,Evolution Iowa nu metal Untitled Korn album Virgin Records Atticus Ross 2007,inform," Evolution is a nu metal song from the 2007 Untitled Korn album, released by Virgin Records and produced by Atticus Ross. Iowa is another example of nu metal.",28,28,2,6,(X (X) (X) (X) (X) (X (X))),0.01043482221,95.83296967,7.939087148,0.8982071,inform,match_scores,1
78,78,7,We Are the World genre pop music. Maria von Trapp genre pop music. We Are the World record label Sony Music. We Are the World record label Columbia Records. We Are the World performer USA for Africa. We Are the World producer Quincy Jones. Nataly Dawn genre pop music.,We Are the World Maria von Trapp pop music Sony Music Columbia Records USA for Africa Quincy Jones Nataly Dawn,inform," We Are the World is a pop song by USA for Africa, produced by Quincy Jones and released by Sony Music and Columbia Records. Other pop music artists include Maria von Trapp and Nataly Dawn.",35,35,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.01208590702,82.74099731,15.25734061,0.89160556,inform,match_scores,1
82,82,8,Pumped Up Kicks genre pop rock. Alyssa Milano genre pop rock. Pumped Up Kicks producer Mark Foster. Pumped Up Kicks record label Startime International. Pumped Up Kicks performer Foster the People. Torches performer Foster the People. Zendaya genre pop rock.,Pumped Up Kicks Alyssa Milano pop rock Mark Foster Startime International Torches Foster the People Zendaya,inform," Pumped Up Kicks by Foster the People is a pop rock song produced by Mark Foster, released by Startime International. Other pop rock artists include Alyssa Milano and Zendaya, Foster the People's album Torches.",34,34,2,7,(X (X) (X) (X (X)) (X (X) (X))),0.01484730908,67.35227203,9.219630712,0.8858813,inform,match_scores,1
95,95,9,Black Barbies genre hip hop music. Brittany Murphy genre hip hop music. Black Barbies publication date 2016. Black Barbies performer Nicki Minaj. Black Barbies producer Mike WiLL Made-It. Black Barbies record label Interscope Records. 5 O'Clock genre hip hop music.,Black Barbies Brittany Murphy hip hop music 2016 Nicki Minaj Mike WiLL Made-It Interscope Records 5 O'Clock,inform," Black Barbies, a hip hop song by Nicki Minaj, produced by Mike WiLL Made-It and released by Interscope Records in 2016. Another example of hip hop music is 5 O'Clock by Brittany Murphy.",33,33,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.03294448567,30.35409355,9.911971877,0.9048676,inform,match_scores,1
106,106,10,"Over It record label RCA Records, Inc.. RCA Records, Inc. genre blues. Over It genre contemporary R&B. RCA Records, Inc. genre country music. ","Over It RCA Records, Inc. blues contemporary R&B country music",inform," RCA Records, Inc. is a record label that produces blues, country music, and the contemporary R&B track Over It.",19,19,2,4,(X (X) (X (X) (X))),0.02292506171,43.62038422,26.94029472,0.8754238,inform,match_scores,1
114,114,11,Feel Again genre pop music. Heidi Brühl genre pop music. Feel Again publication date 2012. Crazy in Love genre pop music.,Feel Again Heidi Brühl pop music 2012 Crazy in Love,inform," Feel Again by Heidi Brühl is a 2012 pop song, as is Crazy in Love.",15,15,2,4,(X (X) (X (X) (X))),0.003275969869,305.2531128,13.32358438,0.9090755,inform,match_scores,1
