,Unnamed: 0,index,mr_new,pseudo_mr,da,text,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
9,9,0,So Good publication year 2012. So Good domain songs.,So Good 2012,confirm," Are you referring to So Good, released in 2012?",1,2,(X (X) (X)),0.004470512734,223.6879883,8.295193507,0.77282596,confirm,match
14,14,1,Y.M.C.A. record label Casablanca Records. Y.M.C.A. domain songs.,Y.M.C.A. Casablanca Records,confirm,Are you referring to Y.M.C.A. from Casablanca Records?,1,2,(X (X) (X)),0.02286049754,43.74357986,48.41524713,0.90586686,confirm,match
22,22,2,Black Barbies performer Nicki Minaj. Black Barbies domain songs.,Black Barbies Nicki Minaj,confirm,Are you referring to Black Barbies performed by Nicki Minaj?,1,2,(X (X) (X)),0.00912481374,109.5912781,10.60031338,0.9307945,confirm,match
30,30,3,In My Bed genres soul music. In My Bed domain songs.,In My Bed Soul Music,confirm,Are you referring to the soul music song In My Bed?,1,2,(X (X) (X)),0.003944719276,253.5034637,12.60596809,0.82321674,confirm,match
45,45,4,"Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes domain songs.","Money, Cash, Hoes East Coast Hip Hop",confirm," Are you referring to Money, Cash, Hoes, an East Coast hip hop song?",1,2,(X (X) (X)),0.006822281929,146.5785217,24.62395303,0.898841,confirm,match
57,57,5,Break My Soul performer Beyoncé. Break My Soul domain songs.,Break My Soul Beyoncé,confirm,Are you referring to the Beyoncé song Break My Soul?,1,2,(X (X) (X)),0.00728003057,137.3620605,14.99110695,0.8547883,confirm,match
69,69,6,Space Oddity record label Philips Records. Space Oddity domain songs.,Space Oddity Philips Records,confirm,Are you referring to Space Oddity on Philips Records?,1,2,(X (X) (X)),0.002310651463,432.7783813,11.86840522,0.8731564,confirm,match
79,79,7,Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Chris Hughes,confirm,Are you referring to the song Kings of the Wild Frontier produced by Chris Hughes?,1,2,(X (X) (X)),0.004833452186,206.8914642,7.314031827,0.8636895,confirm,match
86,86,8,Cold Heart producer Pnau. Cold Heart domain songs.,Cold Heart Pnau,confirm,Are you referring to Pnau's Cold Heart?,1,2,(X (X) (X)),0.00321987455,310.571106,11.04479557,0.8743238,confirm,match
96,96,9,"Cold Heart from album N/A"". Cold Heart domain songs.","Cold Heart N/A""",confirm,Are you referring to the song Cold Heart?,1,2,(X (X) (X)),0.004622120687,216.3509064,9.535414041,0.61177975,confirm,match
104,104,10,Every Breath You Take genres pop rock. Every Breath You Take domain songs.,Every Breath You Take Pop Rock,confirm,Are you referring to the pop rock song Every Breath You Take?,1,2,(X (X) (X)),0.01129740245,88.51592255,19.33853138,0.8168653,confirm,match
111,111,11,I producer Rahki. I domain songs.,I Rahki,confirm," Are you referring to the song I, produced by Rahki?",1,2,(X (X) (X)),0.003631753817,275.3490601,4.027248192,0.7146093,confirm,match
128,128,12,Wild performer Troye Sivan. Wild domain songs.,Wild Troye Sivan,confirm,Are you referring to the Troye Sivan song Wild?,1,2,(X (X) (X)),0.005240122019,190.8352509,9.287529,0.8616578,confirm,match
136,136,13,Littlest Things publication year 2006. Littlest Things domain songs.,Littlest Things 2006,confirm,Are you referring to the 2006 song Littlest Things?,1,2,(X (X) (X)),0.006365446318,157.098175,9.287529,0.7778992,confirm,match
141,141,14,Careless Whisper record label Columbia Records. Careless Whisper domain songs.,Careless Whisper Columbia Records,confirm," Are you referring to Careless Whisper, released by Columbia Records?",1,2,(X (X) (X)),0.006837347886,146.2555389,9.578464409,0.8727373,confirm,match
150,150,15,Take My Breath Away performer Berlin. Take My Breath Away domain songs.,Take My Breath Away Berlin,confirm," Are you referring to Take My Breath Away, performed by Berlin?",1,2,(X (X) (X)),0.004708676845,212.3738861,20.44800736,0.82413286,confirm,match
160,160,16,Mad Love producer Steve Mac. Mad Love domain songs.,Mad Love Steve Mac,confirm,Are you referring to Steve Mac's Mad Love?,1,2,(X (X) (X)),0.002593238428,385.6182251,10.55267032,0.85991037,confirm,match
179,179,17,The Way I Are performer Bebe Rexha. The Way I Are domain songs.,The Way I Are Bebe Rexha,confirm,Are you talking about Bebe Rexha's song The Way I Are?,1,2,(X (X) (X)),0.01129117194,88.56476593,22.4169335,0.8293181,confirm,match
181,181,18,Blinding Lights from album The Weeknd singles discography. Blinding Lights domain songs.,Blinding Lights The Weeknd Singles Discography,confirm,Are you referring to Blinding Lights from The Weeknd singles discography?,1,2,(X (X) (X)),0.003923102263,254.9003143,9.578464409,0.90599,confirm,match
191,191,19,Dragostea Din Tei record label Polydor Records. Dragostea Din Tei domain songs.,Dragostea Din Tei Polydor Records,confirm,Are you referring to Dragostea Din Tei from Polydor Records?,1,2,(X (X) (X)),0.001310074814,763.3151855,17.54219848,0.9360475,confirm,match
204,204,20,Dog Eat Dog record label Sony Music. Dog Eat Dog domain songs.,Dog Eat Dog Sony Music,confirm,Is Dog Eat Dog from Sony Music?,1,2,(X (X) (X)),0.0009233518755,1083.010742,25.8486577,0.94205934,confirm,match
213,213,21,Afterlife from album Reflektor. Afterlife domain songs.,Afterlife Reflektor,confirm,Are you referring to Afterlife from the album Reflektor?,1,2,(X (X) (X)),0.009876368322,101.2517929,4.990049702,0.77107203,confirm,match
222,222,22,Mr. Brightside publication year 2003. Mr. Brightside domain songs.,Mr. Brightside 2003,confirm," Are you referring to Mr. Brightside, released in 2003?",1,2,(X (X) (X)),0.01025098537,97.5515976,13.54599427,0.808754,confirm,match
238,238,23,Feel Again publication year 2012. Feel Again domain songs.,Feel Again 2012,confirm," Are you referring to Feel Again, released in 2012?",1,2,(X (X) (X)),0.004558507606,219.3700409,8.295193507,0.7900497,confirm,match
245,245,24,As It Was genres synth-pop. As It Was domain songs.,As It Was Synth-Pop,confirm,Are you referring to the synth-pop song As It Was?,1,2,(X (X) (X)),0.006427497008,155.5815582,13.95079697,0.76565313,confirm,match
253,253,25,Littlest Things record label Regal Recordings. Littlest Things domain songs.,Littlest Things Regal Recordings,confirm," Are you referring to Littlest Things, released by Regal Recordings?",1,2,(X (X) (X)),0.01029455309,97.13874817,9.578464409,0.8001495,confirm,match
262,262,26,Viva la Vida from album Viva la Vida or Death and All His Friends. Viva la Vida domain songs.,Viva La Vida Viva La Vida Or Death And All His Friends,confirm," Are you referring to Viva la Vida, from the album Viva la Vida or Death and All His Friends?",1,2,(X (X) (X)),0.02176665233,45.94183731,8.638804536,0.94614035,confirm,match
277,277,27,Wanna Get to Know You record label G-Unit Records. Wanna Get to Know You domain songs.,Wanna Get To Know You G-Unit Records,confirm," Are you referring to Wanna Get to Know You, by G-Unit Records?",1,2,(X (X) (X)),0.01169760784,85.48756409,9.837489906,0.84815997,confirm,match
285,285,28,Style record label Republic Records. Style domain songs.,Style Republic Records,confirm,Are you referring to the song Style on Republic Records?,1,2,(X (X) (X)),0.003039025434,329.0528564,8.295193507,0.78028977,confirm,match
295,295,29,Viva la Vida genres baroque pop. Viva la Vida domain songs.,Viva La Vida Baroque Pop,confirm,Are you referring to the baroque pop song Viva la Vida?,1,2,(X (X) (X)),0.01782050052,56.11514664,4.027248192,0.9025592,confirm,match
308,308,30,Wild publication year 2015. Wild domain songs.,Wild 2015,confirm," Are you referring to Wild, the 2015 song?",1,2,(X (X) (X)),0.002592521358,385.724884,4.990049702,0.7611462,confirm,match
317,317,31,Black Barbies producer Mike WiLL Made-It. Black Barbies domain songs.,Black Barbies Mike Will Made-It,confirm,Are you referring to the Mike WiLL Made-It track Black Barbies?,1,2,(X (X) (X)),0.005912479142,169.1337891,8.054496385,0.8601944,confirm,match
321,321,32,Blinding Lights genres electropop. Blinding Lights domain songs.,Blinding Lights Electropop,confirm,Are you referring to the electropop song Blinding Lights?,1,2,(X (X) (X)),0.003664354192,272.8993835,8.392229813,0.84108067,confirm,match
338,338,33,Pumped Up Kicks record label Startime International. Pumped Up Kicks domain songs.,Pumped Up Kicks Startime International,confirm,Are you referring to Pumped Up Kicks on Startime International?,1,2,(X (X) (X)),0.002523018268,396.3506775,17.54219848,0.8889756,confirm,match
349,349,34,Feel Again genres pop music. Feel Again domain songs.,Feel Again Pop Music,confirm,Are you referring to the pop song Feel Again?,1,2,(X (X) (X)),0.002687256942,372.1266785,8.392229813,0.65725875,confirm,match
353,353,35,For a Friend producer Stephen Hague. For a Friend domain songs.,For A Friend Stephen Hague,confirm,Are you referring to the Stephen Hague produced song For a Friend?,1,2,(X (X) (X)),0.001842334034,542.7897339,7.347053126,0.82391465,confirm,match
362,362,36,About Damn Time from album N/A. About Damn Time domain songs.,About Damn Time N/A,confirm,Are you referring to About Damn Time?,1,2,(X (X) (X)),0.002219750263,450.5011292,20.55668085,0.575409,confirm,match
377,377,37,Matador publication year 1994. Matador domain songs.,Matador 1994,confirm,Are you referring to Matador from 1994?,1,2,(X (X) (X)),0.002710165395,368.9811707,6.567274736,0.8830235,confirm,match
