mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
musicians name Eddie Holland. Eddie Holland genre rhythm and blues. Corinne Bailey Rae genre rhythm and blues. Leaving Here performer Eddie Holland. Eddie Holland award received Johnny Mercer Award. Eddie Holland record label Motown. Adele genre rhythm and blues. Screamin' Jay Hawkins genre rhythm and blues.,Eddie Holland rhythm and blues Corinne Bailey Rae Leaving Here Johnny Mercer Award Motown Adele Screamin' Jay Hawkins,"Eddie Holland is a rhythm and blues artist who received the Johnny Mercer Award and signed with Motown record label. Corinne Bailey Rae, Adele and Screamin' Jay Hawkins are also rhythm and blues artists. Eddie Holland is the performer of Leaving Here.",inform,musicians,1,7
musicians name Billie Eilish. Billie Eilish rating excellent. Billie Eilish award received Grammy Award for Album of the Year. Bob Dylan award received Grammy Award for Album of the Year.,excellent Billie Eilish Grammy Award for Album of the Year Bob Dylan,"Since you said Billie Eilish is excellent, do you think the same for other artists who won Grammy Award for Album of the Year such as Bob Dylan?",verify_attribute,musicians,1,4
musicians name John Lennon. John Lennon rating good. John Lennon genre experimental music. John Lennon genre beat music.,good John Lennon experimental music beat music,You told me you like John Lennon's music. Does that extend to other beat and experimental music?,verify_attribute,musicians,1,4
musicians name Allie X. Allie X record label Universal Music Group. Teena Marie record label Universal Music Group. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award.,Allie X Universal Music Group Teena Marie Canada Nansen Refugee Award Canada Nansen Refugee Award,Allie X and Teena Marie are both recording artists under the Universal Music Group. Allie X is from Canada and received the Nansen Refugee Award.,inform,musicians,1,7
musicians name soul music. soul music rating okay. Bill Withers genre soul music.,okay soul music Bill Withers,What do you find just okay about Bill Withers' soul music?,request_explanation,musicians,1,3
musicians name Avishai Cohen. Avishai Cohen genre jazz. Joni Mitchell genre jazz. Avishai Cohen country of citizenship Israel. Avishai Cohen genre bebop. Bing Crosby genre jazz. Ann Hampton Callaway genre jazz.,Avishai Cohen jazz Joni Mitchell Israel bebop Bing Crosby Ann Hampton Callaway,"Avishai Cohen from Israel, is a jazz and bebop musician, as well as Joni Mitchell, Bing Crosby and Ann Hampton Callaway.",inform,musicians,1,7
musicians name David Phelps. David Phelps genre Christian music. Yazz genre Christian music. Life Is a Church performer David Phelps. One Wintry Night performer David Phelps. Legacy of Love performer David Phelps. Legacy of Love performer David Phelps. Aled Jones genre Christian music.,David Phelps Christian music Yazz Life Is a Church One Wintry Night Legacy of Love Legacy of Love Aled Jones,"David Phelps and Aled Jones are both Christian music artists. David Phelps is best known for his songs Life Is a Church and One Wintry Night, while Aled Jones is best known for his song Legacy of Love.",inform,musicians,1,4
musicians name Eddie Holland. Eddie Holland rating okay. Eddie Holland genre rhythm and blues. I Couldn't Cry If I Wanted To performer Eddie Holland.,okay Eddie Holland rhythm and blues I Couldn't Cry If I Wanted To,I recall you said I Couldn't Cry If I Wanted To was just okay. Do you not like all of Eddie Holland's rhythm and blues music in general?,verify_attribute,musicians,1,3
musicians name Sacha Distel. Sacha Distel genre jazz. Queen Latifah genre jazz. Sacha Distel award received Knight of the Legion of Honour. Sacha Distel record label RCA Victor. Ce serait dommage performer Sacha Distel. Sacha Distel date of birth 1933-01-29T00:00:00Z.,Sacha Distel jazz Queen Latifah Knight of the Legion of Honour RCA Victor Ce serait dommage 1933-01-29T00:00:00Z,Sacha Distel is a jazz artist who was born in 1933 and got the Knight of the Legion of Honour award. He was signed with RCA Victor and one of his songs is Ce serait dommage.,inform,musicians,1,6
musicians name Kendrick Lamar. Kendrick Lamar genre conscious hip hop. Prezident genre conscious hip hop. Kendrick Lamar genre G-funk. Kendrick Lamar genre jazz rap. Kendrick Lamar record label Top Dawg Entertainment.,Kendrick Lamar conscious hip hop Prezident G-funk jazz rap Top Dawg Entertainment,"Kendrick Lamar is a conscious hip hop, G-funk, and jazz rap artist signed to Top Dawg Entertainment.",inform,musicians,1,6
musicians name Aaron Carter. Aaron Carter genre hip hop music. Nelly Furtado genre hip hop music. Aaron Carter country of citizenship United States of America. Aaron Carter performer Aaron Carter.,Aaron Carter hip hop music Nelly Furtado United States of America Aaron Carter,"Aaron Carter is an American hip hop music artist, known for his work on Aaron Carter.",inform,musicians,1,4
musicians name Lady Gaga. Lady Gaga award received Academy Award for Best Original Song. A. R. Rahman award received Academy Award for Best Original Song. Lady Gaga award received MTV Video Music Award for Best Art Direction. Lady Gaga award received MTV Video Music Award for Best New Artist. Lady Gaga award received MTV Video Music Award for Best Art Direction.,Lady Gaga Academy Award for Best Original Song A. R. Rahman MTV Video Music Award for Best Art Direction MTV Video Music Award for Best New Artist MTV Video Music Award for Best Art Direction,"Lady Gaga and A. R. Rahman both received the Academy Award for Best Original Song. Lady Gaga also won three MTV Video Music Awards for Best Art Direction, Best New Artist, and Best Art Direction.",inform,musicians,1,6
musicians name Dhurata Dora. Dhurata Dora country of citizenship Kosovo. Jakup Krasniqi country of citizenship Kosovo. Dhurata Dora country of citizenship Germany. Dhurata Dora date of birth 1992-12-24T00:00:00Z. Dhurata Dora genre reggae. Kreshnik Fazliu country of citizenship Kosovo.,Dhurata Dora Kosovo Jakup Krasniqi Germany 1992-12-24T00:00:00Z reggae Kreshnik Fazliu,"Dhurata Dora, born on 1992-12-24T00:00:00Z, is a reggae artist with German and Kosovo citizenships. Jakup Krasniqi and Kreshnik Fazliu are also from Kosovo.",inform,musicians,1,7
musicians name Jennifer Lopez. Jennifer Lopez genre hip hop music. Wiz Khalifa genre hip hop music. Jennifer Lopez record label Epic Records. Jennifer Lopez genre Latin music. Nelly Furtado genre hip hop music. Nelly Furtado genre hip hop music.,Jennifer Lopez hip hop music Wiz Khalifa Epic Records Latin music Nelly Furtado Nelly Furtado,Jennifer Lopez is a hip hop and Latin music artist with Epic Records. Wiz Khalifa and Nelly Furtado are both hip hop music artists.,inform,musicians,1,7
musicians name Olamide. Olamide genre hip hop music. Mac Miller genre hip hop music.,Olamide hip hop music Mac Miller,Are you familiar with hip hop music? You should check out Olamide and Mac Miller.,recommend,musicians,1,3
musicians name Barrett Strong. Barrett Strong record label Motown. Michael Jackson record label Motown.,Barrett Strong Motown Michael Jackson,"Have you ever heard any music released by Motown, like Barrett Strong or Michael Jackson?",suggest,musicians,1,3
musicians name Rock and Roll Hall of Fame. Rock and Roll Hall of Fame rating excellent. Elvis Presley award received Rock and Roll Hall of Fame.,excellent Rock and Roll Hall of Fame Elvis Presley,Why do you think Elvis Presley receiving the Rock and Roll Hall of Fame is so excellent?,request_explanation,musicians,1,3
musicians name Madonna. Madonna record label Sire. David Byrne record label Sire. Madonna award received BRIT Awards. Seal record label Sire.,Madonna Sire David Byrne BRIT Awards Seal,"Madonna, Seal and David Byrne are all signed to Sire record label and Madonna got the BRIT Awards.",inform,musicians,1,5
musicians name Avishai Cohen. Avishai Cohen genre jazz. Queen Latifah genre jazz. Colors performer Avishai Cohen. Avishai Cohen genre jazz fusion.,Avishai Cohen jazz Queen Latifah Colors jazz fusion,Avishai Cohen is a jazz and jazz fusion artist whose notable work include Colors. Queen Latifah is also a jazz artist.,inform,musicians,1,4
musicians name Cage. Cage rating okay. Kill the Architect performer Cage. Kill the Architect genre hip hop music.,okay Cage Kill the Architect hip hop music,"Since you think Kill the Architect by Cage is okay, do you feel the same about other hip hop music?",verify_attribute,musicians,1,3
musicians name Luther Campbell. Luther Campbell genre hip hop music. Ice Cube genre hip hop music. Luther Campbell country of citizenship United States of America. Luther Campbell date of birth 1960-12-22T00:00:00Z. The Luke LP performer Luther Campbell. Uncle Luke performer Luther Campbell.,Luther Campbell hip hop music Ice Cube United States of America 1960-12-22T00:00:00Z The Luke LP Uncle Luke,Luther Campbell is a hip hop music artist from The United States who was born on 1960-12-22T00:00:00Z. He is well known for his works such as The Luke LP and Uncle Luke.,inform,musicians,1,5
musicians name Haricharan. Haricharan rating okay. Haricharan country of citizenship India. Haricharan genre Carnatic music.,okay Haricharan India Carnatic music,You said that Haricharan's music was just okay. Does it apply to all Carnatic music from India?,verify_attribute,musicians,1,4
musicians name Cage. Cage genre hip hop music. Mac Miller genre hip hop music.,Cage hip hop music Mac Miller,Have you heard of Cage and Mac Miller? They are both hip hop musicians you might want to check out.,recommend,musicians,1,3
musicians name Yukihiro Takahashi. Yukihiro Takahashi genre electronic music. Sufjan Stevens genre electronic music.,Yukihiro Takahashi electronic music Sufjan Stevens,Yukihiro Takahashi and Sufjan Stevens are both electronic music artists.,inform,musicians,1,3
musicians name Clint Eastwood. Clint Eastwood rating excellent. Clint Eastwood award received Ordre des Arts et des Lettres. Clint Eastwood award received AFI Life Achievement Award.,excellent Clint Eastwood Ordre des Arts et des Lettres AFI Life Achievement Award,"I think that Clint Eastwood is an excellent actor, having received the Ordre des Arts et des Lettres and AFI Life Achievement Awards.",give_opinion,musicians,1,4
musicians name Kip Moore. Kip Moore genre country music. Steven Seagal genre country music. Kip Moore date of birth 1980-04-01T00:00:00Z. Kip Moore date of birth 1980-04-02T00:00:00Z. John Denver genre country music.,Kip Moore country music Steven Seagal 1980-04-01T00:00:00Z 1980-04-02T00:00:00Z John Denver,"Kip Moore, John Denver and Steven Seagal are country music artists born in April 1980.",inform,musicians,1,6
musicians name Kim Ryeowook. Kim Ryeowook record label Label SJ. Play record label Label SJ.,Kim Ryeowook Label SJ Play,"Have you heard of Kim Ryeowook and Play, they are both under the record label Label SJ?",recommend,musicians,1,3
musicians name Aaron Carter. Aaron Carter genre pop music. Patrizio Buanne genre pop music. Aaron Carter record label Edel Records. Another Earthquake performer Aaron Carter. Aaron Carter genre hip hop music. Aaron Carter genre hip hop music. 2 Good 2 B True performer Aaron Carter.,Aaron Carter pop music Patrizio Buanne Edel Records Another Earthquake hip hop music hip hop music 2 Good 2 B True,Aaron Carter is a pop music artist signed with Edel Records. He also has some Hip Hop songs such as Another Earthquake and 2 Good 2 B True.,inform,musicians,1,6
musicians name Ryan Gosling award received Satellite. Ryan Gosling award received Satellite Awards. Jeffrey Tambor award received Satellite Awards. City of Stars performer Ryan Gosling. City of Stars performer Ryan Gosling. Ryan Gosling genre indie rock. Ryan Gosling genre folk rock. Ryan Gosling date of birth 1980-11-12T00:00:00Z.,Ryan Gosling Satellite Awards Jeffrey Tambor City of Stars City of Stars indie rock folk rock 1980-11-12T00:00:00Z,Ryan Gosling is an indie rock and folk rock artist born on 1980-11-12T00:00:00Z who got the Satellite Awards. He is also known for his performance in City of Stars alongside Jeffrey Tambor.,inform,musicians,1,6
musicians name Zendaya. Zendaya record label Hollywood Records. Vanessa Hudgens record label Hollywood Records. Zendaya award received Saturn Award for Best Supporting Actress. Zendaya award received Primetime Emmy Award for Outstanding Lead Actress in a Drama Series. Zendaya award received Golden Globe Award for Best Actress – Television Series Drama. Zendaya award received Saturn Award for Best Supporting Actress. Zendaya genre pop rock.,Zendaya Hollywood Records Vanessa Hudgens Saturn Award for Best Supporting Actress Primetime Emmy Award for Outstanding Lead Actress in a Drama Series Golden Globe Award for Best Actress – Television Series Drama Saturn Award for Best Supporting Actress pop rock,"Zendaya, a pop rock artist signed with Hollywood Records, have received numerous awards such as the Saturn Award for Best Supporting Actress, Primetime Emmy Award for Outstanding Lead Actress in a Drama Series, Golden Globe Award for Best Actress – Television Series Drama and Saturn Award for Best Supporting Actress.",inform,musicians,1,8
