index,mr_new,pseudo_mr,da,text,num_hops,num_triples,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,shape,,
0,Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe awards N/A. Kiki VanDeWeghe domain athletes.,Kiki Vandeweghe Basketball N/A,confirm," Are you talking about Kiki VanDeWeghe, the basketball player?",1,3,0.0101561782,98.4622345,3.747776737,0.8437572,confirm,match_scores,(X (X) (X) (X)),1,9
1,"Dwayne Johnson sport professional wrestling. Dwayne Johnson sports teams Calgary Stampeders, Miami Hurricanes football. Dwayne Johnson domain athletes.","Dwayne Johnson Professional Wrestling Calgary Stampeders, Miami Hurricanes Football",confirm," Are we talking about Dwayne Johnson, the professional wrestler who played for the Calgary Stampeders and the Miami Hurricanes football team?",1,3,0.03345169409,29.89385223,5.928330062,0.9031751,confirm,match_scores_PPL,(X (X) (X) (X)),1,21
2,Davie Selke sport association football. Davie Selke awards N/A. Davie Selke domain athletes.,Davie Selke Association Football N/A,confirm," Are you talking about Davie Selke, the association football athlete?",1,3,0.002765528691,361.5945129,6.772997137,0.8046805,confirm,match_scores_PPL,(X (X) (X) (X)),1,10
3,Oleksandr Usyk sport boxing. Oleksandr Usyk sports teams N/A. Oleksandr Usyk domain athletes.,Oleksandr Usyk Boxing N/A,confirm," Are you talking about Oleksandr Usyk, the boxing athlete?",1,3,0.007223434897,138.4382935,7.495553473,0.79401207,confirm,match_scores_PPL,(X (X) (X) (X)),1,9
4,Hugo Dellien sport tennis. Hugo Dellien start time 1980. Hugo Dellien domain athletes.,Hugo Dellien Tennis 1980,confirm," Are you talking about Hugo Dellien, the tennis athlete who started playing in 1980?",1,3,0.005173543753,193.2911072,5.412989187,0.8460675,confirm,match_scores_PPL,(X (X) (X) (X)),1,14
5,Cristiano Ronaldo sport association football. Cristiano Ronaldo start time 2002. Cristiano Ronaldo domain athletes.,Cristiano Ronaldo Association Football 2002,confirm," Are you talking about Cristiano Ronaldo, the association football athlete who started in 2002?",1,3,0.009304801977,107.4713898,5.412989187,0.8689554,confirm,match_scores,(X (X) (X) (X)),1,14
6,John Fleck sport association football. John Fleck awards N/A. John Fleck domain athletes.,John Fleck Association Football N/A,confirm," Are you referring to John Fleck, the association football athlete?",1,3,0.002618397422,381.9129944,6.772997137,0.7547661,confirm,match_scores,(X (X) (X) (X)),1,10
7,John Fleck sport association football. John Fleck stats leader N/A. John Fleck domain athletes.,John Fleck Association Football N/A,confirm," Are you talking about John Fleck, the association football player?",1,3,0.005158443299,193.8569336,6.772997137,0.75282484,confirm,match_scores,(X (X) (X) (X)),1,10
8,Lionel Messi sport association football. Lionel Messi place of birth Rosario. Lionel Messi domain athletes.,Lionel Messi Association Football Rosario,confirm," Are you talking about Lionel Messi, the association football player from Rosario?",1,3,0.008378116186,119.3585739,6.285596338,0.8878579,confirm,match_scores,(X (X) (X) (X)),1,12
9,Nick Kyrgios sport tennis. Nick Kyrgios stats leader N/A. Nick Kyrgios domain athletes.,Nick Kyrgios Tennis N/A,confirm," Are you talking about Nick Kyrgios, the tennis player?",1,3,0.01779694507,56.18941879,7.495553473,0.8270637,confirm,match_scores,(X (X) (X) (X)),1,9
