,Unnamed: 0.1,Unnamed: 0,index,mr_new,pseudo_mr,da,text,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
0,1,1,0,Bobby Davison member of sports team Leeds United F.C.. Bobby Davison member of sports team Derby County F.C.. Chris Wood member of sports team Leeds United F.C.. Tony Yeboah member of sports team Leeds United F.C.. Leeds United F.C. league EFL Championship. EFL Championship sport association football. Bobby Davison member of sports team Huddersfield Town A.F.C..,Leeds United F.C. Bobby Davison Derby County F.C. Chris Wood Tony Yeboah EFL Championship association football Huddersfield Town A.F.C.,inform,"
Bobby Davison is a member of the association football teams Leeds United F.C., Derby County F.C., and Huddersfield Town A.F.C., all of which compete in the EFL Championship. Other members of Leeds United F.C. include Chris Wood and Tony Yeboah.",1,7,(X (X) (X) (X (X)) (X (X) (X))),0.06654792357,15.02676487,31.05849749,0.89728975,inform,match_scores
1,17,17,1,Eldin Karišik member of sports team Viborg FF. Eldin Karišik member of sports team IFK Göteborg. Mohamed Sissoko member of sports team Viborg FF. Anders Kaagh member of sports team Viborg FF. Eldin Karišik member of sports team Sweden national under-19 football team. Eldin Karišik member of sports team Sweden national under-19 football team.,Viborg FF Eldin Karišik IFK Göteborg Mohamed Sissoko Anders Kaagh Sweden national under-19 football team Sweden national under-19 football team,inform," Eldin Karišik is a member of Viborg FF, IFK Göteborg, Sweden national under-19 football team; Mohamed Sissoko and Anders Kaagh are members of Viborg FF; and Eldin Karišik is also a member of Sweden national under-19 football team.",1,6,(X (X) (X) (X (X) (X) (X))),0.03124813747,32.00190735,21.42425599,0.9116685,inform,match_scores
2,27,27,2,Wrexham A.F.C. head coach Dean Keates. Dean Keates member of sports team Kidderminster Harriers F.C..,Wrexham A.F.C. Dean Keates Kidderminster Harriers F.C.,inform," Wrexham A.F.C. is coached by Dean Keates, a member of Kidderminster Harriers F.C.",1,2,(X (X (X))),0.01778351603,56.23184967,50.41350242,0.9579497,inform,match_scores
3,38,38,3,Maryland Terrapins football sport American football. Frankford Yellow Jackets sport American football. Chris Turner member of sports team Maryland Terrapins football. Frank Navarro member of sports team Maryland Terrapins football. Frank Navarro member of sports team Maryland Terrapins football. Dallas Texans sport American football. Sacramento Mountain Lions sport American football.,Maryland Terrapins football American football Frankford Yellow Jackets Chris Turner Frank Navarro Frank Navarro Dallas Texans Sacramento Mountain Lions,inform," Maryland Terrapins football and Frankford Yellow Jackets are American football teams, with Chris Turner and Frank Navarro as members. Dallas Texans and Sacramento Mountain Lions are also American football teams.",1,7,(X (X) (X) (X) (X (X) (X) (X))),0.009121211444,109.6345596,12.69399516,0.86943465,inform,match_scores
4,48,48,4,Golden State Warriors head coach Steve Kerr. Steve Kerr member of sports team San Antonio Spurs. Mark Price member of sports team Golden State Warriors. Jeff Mullins member of sports team Golden State Warriors. Golden State Warriors league National Basketball Association. National Basketball Association sport basketball. Steve Kerr member of sports team Arizona Wildcats men's basketball.,Golden State Warriors Steve Kerr San Antonio Spurs Mark Price Jeff Mullins National Basketball Association basketball Arizona Wildcats men's basketball,inform,"
Steve Kerr is the head coach of the Golden State Warriors, a basketball team in the National Basketball Association. He was previously a member of the San Antonio Spurs and the Arizona Wildcats men's basketball team. Mark Price and Jeff Mullins are members of the Golden State Warriors.",1,7,(X (X) (X) (X (X)) (X (X) (X))),0.09875296803,10.12627792,11.65763385,0.89205945,inform,match_scores
5,58,58,5,Boston Celtics rating good. Darren Daye member of sports team Boston Celtics.,good Boston Celtics Darren Daye,verify_attribute,You seem to like Boston Celtics. Is it the same when Darren Daye is playing for other teams?,1,2,(X (X (X))),0.01249677026,80.02067566,5.415315254,0.7330078,verify_attribute,match_scores
6,68,68,6,West Ham United F.C. home venue London Stadium. London Stadium sport association football. Mauro Sorete member of sports team West Ham United F.C.. West Ham United F.C. head coach David Moyes. David Moyes member of sports team Preston North End F.C..,West Ham United F.C. London Stadium association football Mauro Sorete David Moyes Preston North End F.C.,inform,"
West Ham United F.C. is an association football team based in London Stadium and coached by David Moyes. It has Mauro Sorete as a member and David Moyes previously played for Preston North End F.C.",1,5,(X (X) (X (X)) (X (X))),0.02484668444,40.24681854,31.99769735,0.8847867,inform,match_scores
7,71,71,7,Mauricio Pochettino rating excellent. Mauricio Pochettino member of sports team Argentina national association football team.,excellent Mauricio Pochettino Argentina national association football team,request_explanation,What do you think makes Mauricio Pochettino's performance with the Argentina national association football team so excellent?,1,2,(X (X (X))),0.0203142988,49.22640991,21.86976686,0.9346973,request_explanation,match_scores
8,86,86,8,Rio Ave F.C. league Liga Portugal. S.C. Braga league Liga Portugal.,Rio Ave F.C. Liga Portugal S.C. Braga,suggest," Are you familiar with the Liga Portugal teams, like Rio Ave F.C. and S.C. Braga?",1,2,(X (X (X))),0.01013054892,98.71133423,38.25188992,0.8976221,suggest,match_scores
9,97,97,9,Dante Bonfim Costa Santos member of sports team R. Charleroi S.C.. Dante Bonfim Costa Santos member of sports team Standard Liège. Geoffrey Mujangi Bia member of sports team R. Charleroi S.C.. Romain Élie member of sports team R. Charleroi S.C.. Chris Makiese member of sports team R. Charleroi S.C..,R. Charleroi S.C. Dante Bonfim Costa Santos Standard Liège Geoffrey Mujangi Bia Romain Élie Chris Makiese,inform," Dante Bonfim Costa Santos, Geoffrey Mujangi Bia, Romain Élie, and Chris Makiese are members of the sports teams R. Charleroi S.C. and Standard Liège.",1,5,(X (X) (X) (X) (X (X))),0.004050503729,246.8828735,33.75178722,0.92505354,inform,match_scores
