mr_new,pseudo_mr,text,da,entity,num_hops,num_triples,pred,da_acc,LM_prob,PPL,pseudo_bleu,BBLEU
Hugo Dellien member of sports team Bolivia Davis Cup team. Hugo Dellien member of sports team Bolivia Davis Cup team.,Hugo Dellien Bolivia Davis Cup team Hugo Dellien,Have you heard of Hugo Dellien? He's a part of the Bolivia Davis Cup team.,recommend,athletes,2,2,recommend,1,0.008759682737,114.1593857,17.02602472,0.8662545
David Campese sport rugby union. Donncha O'Callaghan sport rugby union. David Campese member of sports team Petrarca Rugby. David Campese member of sports team Petrarca Rugby.,David Campese rugby union Donncha O'Callaghan Petrarca Rugby Petrarca Rugby,David Campese and Donncha O'Callaghan are rugby union players who have both been members of Petrarca Rugby.,inform,athletes,2,4,inform,1,0.009610340266,104.0545883,8.590764836,0.8977774
Ahmad Nourollahi member of sports team Iran national football team. Alireza Beiranvand member of sports team Iran national football team. Hossein Hosseini member of sports team Iran national football team.,Ahmad Nourollahi Iran national football team Alireza Beiranvand Hossein Hosseini," Have you heard of Ahmad Nourollahi, Alireza Beiranvand and Hossein Hosseini? They are members of the Iran national football team.",recommend,athletes,2,3,recommend,1,0.01050239579,95.21636963,15.41506498,0.9572458
Venus Williams member of sports team United States Billie Jean King Cup team. Martina Navratilova member of sports team United States Billie Jean King Cup team. Venus Williams sport tennis. Venus Williams sport tennis. Coco Gauff member of sports team United States Billie Jean King Cup team. Chris Evert member of sports team United States Billie Jean King Cup team.,Venus Williams United States Billie Jean King Cup team Martina Navratilova tennis tennis Coco Gauff Chris Evert," Venus Williams, Martina Navratilova, Coco Gauff, and Chris Evert are all members of the United States Billie Jean King Cup tennis team.",inform,athletes,2,6,inform,1,0.02047744992,48.83420563,26.34346064,0.93358403
Kiki VanDeWeghe member of sports team New York Knicks. Jason Kidd member of sports team New York Knicks. Kiki VanDeWeghe member of sports team Los Angeles Clippers. Kiki VanDeWeghe member of sports team UCLA Bruins men's basketball. Patrick Ewing member of sports team New York Knicks.,Kiki VanDeWeghe New York Knicks Jason Kidd Los Angeles Clippers UCLA Bruins men's basketball Patrick Ewing," Kiki VanDeWeghe has been a member of the New York Knicks, Los Angeles Clippers, and UCLA Bruins men's basketball teams, while Jason Kidd and Patrick Ewing have only been part of the New York Knicks.",inform,athletes,2,5,inform,1,0.05155012807,19.3985939,13.41859009,0.9055186
Paul Pogba member of sports team Juventus F.C.. Jorge Andrés Martínez member of sports team Juventus F.C.. Paul Pogba sport association football. Paul Pogba sport association football.,Paul Pogba Juventus F.C. Jorge Andrés Martínez association football association football,Paul Pogba and Jorge Andrés Martínez are both association football players for Juventus F.C..,inform,athletes,2,4,inform,1,0.01365772657,73.21862793,31.97843,0.9002575
Kiki VanDeWeghe member of sports team New York Knicks. Enes Kanter Freedom member of sports team New York Knicks. Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe member of sports team Brooklyn Nets. Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe member of sports team UCLA Bruins men's basketball. Kiki VanDeWeghe member of sports team Denver Nuggets.,Kiki VanDeWeghe New York Knicks Enes Kanter Freedom basketball Brooklyn Nets basketball UCLA Bruins men's basketball Denver Nuggets," Kiki VanDeWeghe has been a basketball player for the New York Knicks, Brooklyn Nets, UCLA Bruins men's basketball, and Denver Nuggets.",inform,athletes,2,7,inform,1,0.02951896554,33.87652588,18.23935085,0.92689323
Liam Neeson member of sports team Bohemian F.C.. Cathal Brady member of sports team Bohemian F.C.. Kevin O'Flanagan member of sports team Bohemian F.C..,Liam Neeson Bohemian F.C. Cathal Brady Kevin O'Flanagan," Have you heard of Liam Neeson, Cathal Brady, and Kevin O'Flanagan? They all play for Bohemian F.C.",recommend,athletes,2,3,recommend,1,0.02805635888,35.64254379,21.59287855,0.93610007
Yari Verschaeren member of sports team R.S.C. Anderlecht. Tomasz Radzinski member of sports team R.S.C. Anderlecht. Yari Verschaeren member of sports team Belgium national under-21 football team.,Yari Verschaeren R.S.C. Anderlecht Tomasz Radzinski Belgium national under-21 football team,Have you heard of Yari Verschaeren and Tomasz Radzinski? They both play for R.S.C. Anderlecht and Belgium national under-21 football team.,recommend,athletes,2,3,recommend,1,0.01350580075,74.04225922,37.00639912,0.9316582
Zizinho member of sports team Clube de Regatas do Flamengo. Clube de Regatas do Flamengo sport basketball. Zizinho member of sports team Brazil national football team. Zizinho member of sports team Audax Italiano. Zizinho member of sports team Audax Italiano. Zizinho member of sports team São Paulo FC. Zizinho member of sports team Audax Italiano.,Zizinho Clube de Regatas do Flamengo basketball Brazil national football team Audax Italiano Audax Italiano São Paulo FC Audax Italiano," Zizinho was a member of the Clube de Regatas do Flamengo (basketball), the Brazil national football team, Audax Italiano, and São Paulo FC.",inform,athletes,2,7,inform,1,0.01007095044,99.29549408,26.66090188,0.866283
