mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
athletes name Hugo Dellien. Hugo Dellien member of sports team Bolivia Davis Cup team. Hugo Dellien member of sports team Bolivia Davis Cup team.,Hugo Dellien Bolivia Davis Cup team Hugo Dellien,Have you heard of Hugo Dellien? He's a part of the Bolivia Davis Cup team.,recommend,athletes,2,3
athletes name David Campese. David Campese sport rugby union. Donncha O'Callaghan sport rugby union. David Campese member of sports team Petrarca Rugby. David Campese member of sports team Petrarca Rugby.,David Campese rugby union Donncha O'Callaghan Petrarca Rugby Petrarca Rugby,David Campese and Donncha O'Callaghan are rugby union players who have both been members of Petrarca Rugby.,inform,athletes,2,5
athletes name Ahmad Nourollahi. Ahmad Nourollahi member of sports team Iran national football team. Alireza Beiranvand member of sports team Iran national football team. Hossein Hosseini member of sports team Iran national football team.,Ahmad Nourollahi Iran national football team Alireza Beiranvand Hossein Hosseini,"Have you heard of Ahmad Nourollahi, Alireza Beiranvand and Hossein Hosseini? They are members of the Iran national football team.",recommend,athletes,2,4
athletes name Venus Williams. Venus Williams member of sports team United States Billie Jean King Cup team. Martina Navratilova member of sports team United States Billie Jean King Cup team. Venus Williams sport tennis. Venus Williams sport tennis. Coco Gauff member of sports team United States Billie Jean King Cup team. Chris Evert member of sports team United States Billie Jean King Cup team.,Venus Williams United States Billie Jean King Cup team Martina Navratilova tennis tennis Coco Gauff Chris Evert,"Venus Williams, Martina Navratilova, Coco Gauff, and Chris Evert are all members of the United States Billie Jean King Cup tennis team.",inform,athletes,2,7
athletes name Kiki VanDeWeghe. Kiki VanDeWeghe member of sports team New York Knicks. Jason Kidd member of sports team New York Knicks. Kiki VanDeWeghe member of sports team Los Angeles Clippers. Kiki VanDeWeghe member of sports team UCLA Bruins men's basketball. Patrick Ewing member of sports team New York Knicks.,Kiki VanDeWeghe New York Knicks Jason Kidd Los Angeles Clippers UCLA Bruins men's basketball Patrick Ewing,"Kiki VanDeWeghe has been a member of the New York Knicks, Los Angeles Clippers, and UCLA Bruins men's basketball teams, while Jason Kidd and Patrick Ewing have only been part of the New York Knicks.",inform,athletes,2,6
athletes name Paul Pogba. Paul Pogba member of sports team Juventus F.C. Jorge Andrés Martínez member of sports team Juventus F.C. Paul Pogba sport association football. Paul Pogba sport association football.,Paul Pogba Juventus F.C. Jorge Andrés Martínez association football association football,Paul Pogba and Jorge Andrés Martínez are both association football players for Juventus F.C..,inform,athletes,2,5
athletes name Kiki VanDeWeghe. Kiki VanDeWeghe member of sports team New York Knicks. Enes Kanter Freedom member of sports team New York Knicks. Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe member of sports team Brooklyn Nets. Kiki VanDeWeghe sport basketball. Kiki VanDeWeghe member of sports team UCLA Bruins men's basketball. Kiki VanDeWeghe member of sports team Denver Nuggets.,Kiki VanDeWeghe New York Knicks Enes Kanter Freedom basketball Brooklyn Nets basketball UCLA Bruins men's basketball Denver Nuggets,"Kiki VanDeWeghe has been a basketball player for the New York Knicks, Brooklyn Nets, UCLA Bruins men's basketball, and Denver Nuggets.",inform,athletes,2,8
athletes name Liam Neeson. Liam Neeson member of sports team Bohemian F.C. Cathal Brady member of sports team Bohemian F.C. Kevin O'Flanagan member of sports team Bohemian F.C.,Liam Neeson Bohemian F.C. Cathal Brady Kevin O'Flanagan,"Have you heard of Liam Neeson, Cathal Brady, and Kevin O'Flanagan? They all play for Bohemian F.C.",recommend,athletes,2,4
athletes name Yari Verschaeren. Yari Verschaeren member of sports team R.S.C. Anderlecht. Tomasz Radzinski member of sports team R.S.C. Anderlecht. Yari Verschaeren member of sports team Belgium national under-21 football team.,Yari Verschaeren R.S.C. Anderlecht Tomasz Radzinski Belgium national under-21 football team,Have you heard of Yari Verschaeren and Tomasz Radzinski? They both play for R.S.C. Anderlecht and Belgium national under-21 football team.,recommend,athletes,2,4
athletes name Zizinho. Zizinho member of sports team Clube de Regatas do Flamengo. Clube de Regatas do Flamengo sport basketball. Zizinho member of sports team Brazil national football team. Zizinho member of sports team Audax Italiano. Zizinho member of sports team Audax Italiano. Zizinho member of sports team São Paulo FC. Zizinho member of sports team Audax Italiano.,Zizinho Clube de Regatas do Flamengo basketball Brazil national football team Audax Italiano Audax Italiano São Paulo FC Audax Italiano,"Zizinho was a member of the Clube de Regatas do Flamengo (basketball), the Brazil national football team, Audax Italiano, and São Paulo FC.",inform,athletes,2,8
athletes name Leon Osman. Leon Osman member of sports team Everton F.C. Peter Beardsley member of sports team Everton F.C. Leon Osman member of sports team Carlisle United F.C. Leon Osman member of sports team Derby County F.C.,Leon Osman Everton F.C. Peter Beardsley Carlisle United F.C. Derby County F.C.,"Leon Osman has played for Everton F.C., Carlisle United F.C. and Derby County F.C., while Peter Beardsley is a member of Everton F.C.",inform,athletes,2,5
athletes name Tim Thomas. Tim Thomas member of sports team AIK IF. Niclas Andersén member of sports team AIK IF. Tim Thomas member of sports team Florida Panthers. Tim Thomas member of sports team Boston Bruins. Michael Nylander member of sports team AIK IF.,Tim Thomas AIK IF Niclas Andersén Florida Panthers Boston Bruins Michael Nylander,"Tim Thomas and Niclas Andersén have both been members of AIK IF, while Tim Thomas has also been a member of the Florida Panthers and Boston Bruins. Michael Nylander is also a member of AIK IF.",inform,athletes,2,6
athletes name Peter Lorimer. Peter Lorimer member of sports team York City F.C. Neil Warnock member of sports team York City F.C. Peter Lorimer member of sports team Toronto Blizzard. Peter Lorimer sport association football. Peter Lorimer member of sports team Whitby Town F.C. York City F.C. sport association football. David Stockdale member of sports team York City F.C.,Peter Lorimer York City F.C. Neil Warnock Toronto Blizzard association football Whitby Town F.C. association football David Stockdale,"Peter Lorimer is a professional footballer who has played for York City F.C., Toronto Blizzard, and Whitby Town F.C. Neil Warnock and David Stockdale are also members of York City F.C.'s association football team.",inform,athletes,2,8
athletes name Paul Pogba. Paul Pogba member of sports team Juventus F.C. Zbigniew Boniek member of sports team Juventus F.C. Paul Pogba sport association football. Paul Pogba sport association football.,Paul Pogba Juventus F.C. Zbigniew Boniek association football association football,Paul Pogba and Zbigniew Boniek are both association football players who are part of the Juventus F.C. team.,inform,athletes,2,5
athletes name Maryna Zanevska. Maryna Zanevska member of sports team Belgium Billie Jean King Cup team. Yanina Wickmayer member of sports team Belgium Billie Jean King Cup team. Maryna Zanevska sport tennis. Maryna Zanevska sport tennis. Ysaline Bonaventure member of sports team Belgium Billie Jean King Cup team.,Maryna Zanevska Belgium Billie Jean King Cup team Yanina Wickmayer tennis tennis Ysaline Bonaventure,"Maryna Zanevska, Yanina Wickmayer, and Ysaline Bonaventure are all tennis players on the Belgium Billie Jean King Cup team.",inform,athletes,2,6
athletes name Besart Berisha. Besart Berisha member of sports team Burnley F.C. Joe Hart member of sports team Burnley F.C. Besart Berisha member of sports team AaB Fodbold. Besart Berisha member of sports team AaB Fodbold. Besart Berisha member of sports team AC Horsens. Joey Barton member of sports team Burnley F.C.,Besart Berisha Burnley F.C. Joe Hart AaB Fodbold AaB Fodbold AC Horsens Joey Barton,"Besart Berisha has played for Burnley F.C., AaB Fodbold, and AC Horsens, while Joey Barton has only played for Burnley F.C.",inform,athletes,2,7
athletes name Billy Vunipola. Billy Vunipola sport rugby union. Tomás O'Leary sport rugby union. Billy Vunipola member of sports team England national rugby union team. Billy Vunipola member of sports team Wasps RFC. Billy Vunipola member of sports team Saracens F.C. Billy Vunipola member of sports team Wasps RFC. Shinjirō Honryō sport rugby union.,Billy Vunipola rugby union Tomás O'Leary England national rugby union team Wasps RFC Saracens F.C. Wasps RFC Shinjirō Honryō,"Billy Vunipola is a rugby union player belonging to the England national rugby union team, Wasps RFC, and Saracens F.C. Tomás O'Leary and Shinjirō Honryō are also rugby union players.",inform,athletes,2,8
athletes name Larry Bird. Larry Bird member of sports team Boston Celtics. Rubén Wolkowyski member of sports team Boston Celtics. Larry Bird member of sports team Indiana Hoosiers men's basketball. Larry Bird sport basketball. Larry Bird member of sports team Indiana Pacers. Kendrick Perkins member of sports team Boston Celtics. John Havlicek member of sports team Boston Celtics.,Larry Bird Boston Celtics Rubén Wolkowyski Indiana Hoosiers men's basketball basketball Indiana Pacers Kendrick Perkins John Havlicek,"Larry Bird is a basketball player who was a member of the Boston Celtics, Indiana Hoosiers men's basketball, and Indiana Pacers. Rubén Wolkowyski, Kendrick Perkins, and John Havlicek were also members of the Boston Celtics.",inform,athletes,2,8
athletes name Maryna Zanevska. Maryna Zanevska member of sports team Belgium Billie Jean King Cup team. Ysaline Bonaventure member of sports team Belgium Billie Jean King Cup team.,Maryna Zanevska Belgium Billie Jean King Cup team Ysaline Bonaventure,Have you heard of Maryna Zanevska and Ysaline Bonaventure? They are members of the Belgium Billie Jean King Cup team.,recommend,athletes,2,3
athletes name Leon Osman. Leon Osman rating okay. Leon Osman member of sports team Everton F.C. Leon Osman member of sports team Carlisle United F.C.,okay Leon Osman Everton F.C. Carlisle United F.C.,"Leon Osman is an okay member of both the Everton F.C. and Carlisle United F.C.. He is competent, but he could use some improvement.",give_opinion,athletes,2,4
athletes name Arike Ogunbowale. Arike Ogunbowale member of sports team Notre Dame Fighting Irish women's basketball. Brianna Turner member of sports team Notre Dame Fighting Irish women's basketball. Arike Ogunbowale member of sports team Dallas Wings. Arike Ogunbowale sport basketball. Arike Ogunbowale sport basketball. Arike Ogunbowale sport basketball. Arike Ogunbowale sport basketball.,Arike Ogunbowale Notre Dame Fighting Irish women's basketball Brianna Turner Dallas Wings basketball basketball basketball basketball,Arike Ogunbowale is a basketball player who is part of the Notre Dame Fighting Irish women's basketball team and the Dallas Wings. Brianna Turner is also part of the Notre Dame Fighting Irish women's basketball team.,inform,athletes,2,8
athletes name Matt Holland. Matt Holland member of sports team Ipswich Town F.C. Mark Noble member of sports team Ipswich Town F.C. Matt Holland member of sports team Republic of Ireland national association football team. David Johnson member of sports team Ipswich Town F.C.,Matt Holland Ipswich Town F.C. Mark Noble Republic of Ireland national association football team David Johnson,"Matt Holland, Mark Noble, and David Johnson are all members of the Ipswich Town F.C. and Republic of Ireland national association football team.",inform,athletes,2,5
athletes name Peter Lorimer. Peter Lorimer member of sports team Scotland national football team. Ally McCoist member of sports team Scotland national football team. Peter Lorimer member of sports team York City F.C. Peter Lorimer member of sports team Whitby Town F.C. Peter Lorimer member of sports team Toronto Blizzard. Peter Lorimer member of sports team Hapoel Haifa F.C. Peter Lorimer member of sports team Toronto Blizzard.,Peter Lorimer Scotland national football team Ally McCoist York City F.C. Whitby Town F.C. Toronto Blizzard Hapoel Haifa F.C. Toronto Blizzard,"Peter Lorimer was a member of the Scotland national football team, York City F.C., Whitby Town F.C., Toronto Blizzard, and Hapoel Haifa F.C. Ally McCoist was also a member of the Scotland national football team.",inform,athletes,2,8
athletes name Cristiano Ronaldo. Cristiano Ronaldo rating good. Portugal 1-0 Morocco statistical leader Cristiano Ronaldo. Portugal 1-0 Morocco sport association football.,good Cristiano Ronaldo Portugal 1-0 Morocco association football,You told me that you like Cristiano Ronaldo for his performance in the Portugal 1-0 Morocco match. Is your appreciation for association football players in general?,verify_attribute,athletes,2,4
athletes name Wilt Chamberlain. Wilt Chamberlain member of sports team Philadelphia 76ers. Nick Young member of sports team Philadelphia 76ers. Julius Erving member of sports team Philadelphia 76ers.,Wilt Chamberlain Philadelphia 76ers Nick Young Julius Erving,"Have you heard of the Philadelphia 76ers players Wilt Chamberlain, Nick Young and Julius Erving?",recommend,athletes,2,4
athletes name Dwayne Johnson. Dwayne Johnson rating okay. Dwayne Johnson sport Canadian football. Dwayne Johnson sport American football.,okay Dwayne Johnson Canadian football American football,"Dwayne Johnson is an okay football player. He is competent in both Canadian football and American football, but he is not a standout athlete.",give_opinion,athletes,2,4
athletes name Wilt Chamberlain. Wilt Chamberlain rating good. Wilt Chamberlain member of sports team Philadelphia Warriors. Neil Johnston member of sports team Philadelphia Warriors.,good Wilt Chamberlain Philadelphia Warriors Neil Johnston,You told me that you like Wilt Chamberlain's performance for the Philadelphia Warriors. Is Neil Johnston a good player in your opinion as well?,verify_attribute,athletes,2,4
