mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Lana Parrilla spouse Nadie. Lana Parrilla height average. Lana Parrilla date of birth 1977. Lana Parrilla place of birth Brooklyn. Lana Parrilla rating lower rated. Lana Parrilla gender female. Lana Parrilla domain tv actor.,Lana Parrilla Nadie Average 1977 Brooklyn Lower Rated Female, Lana Parrilla is a lower rated female tv actor born in 1977 in Brooklyn. She is of average height and married to Nadie.,inform,tv actors,1,7
Norman Reedus gender male. Norman Reedus place of birth Hollywood. Norman Reedus rating lower rated. Norman Reedus height average. Norman Reedus domain tv actor.,Norman Reedus Male Hollywood Lower Rated Average, Norman Reedus is a lower rated male tv actor from Hollywood of average height.,inform,tv actors,1,5
Jeffrey Dean Morgan cast member of The Walking Dead. Jeffrey Dean Morgan awards received MTV Movie Award for Best Villain. Jeffrey Dean Morgan spouse Hilarie Burton. Jeffrey Dean Morgan gender male. Jeffrey Dean Morgan date of birth 1966. Jeffrey Dean Morgan place of birth Seattle. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan 'The Walking Dead' 'Mtv Movie Award For Best Villain' Hilarie Burton Male 1966 Seattle, Jeffrey Dean Morgan is a male tv actor born in 1966 in Seattle and cast member of The Walking Dead. He won the MTV Movie Award for Best Villain and is married to Hilarie Burton.,inform,tv actors,1,7
Milo Ventimiglia place of birth Anaheim. Milo Ventimiglia height average. Milo Ventimiglia gender male. Milo Ventimiglia date of birth 1977. Milo Ventimiglia domain tv actor.,Milo Ventimiglia Anaheim Average Male 1977, Milo Ventimiglia is an average height male tv actor born in 1977 in Anaheim.,inform,tv actors,1,5
Chris Pratt date of birth 1979. Chris Pratt height taller. Chris Pratt cast member of Onward. Chris Pratt domain tv actor.,Chris Pratt 1979 Taller 'Onward', Chris Pratt is a taller tv actor born in 1979 and cast as a member of Onward.,inform,tv actors,1,4
Peter Dinklage spouse Erica Schmidt. Peter Dinklage domain tv actor.,Peter Dinklage Erica Schmidt, Peter Dinklage is a tv actor who is married to Erica Schmidt.,inform,tv actors,1,2
Ted Danson rating top rated. Ted Danson height taller. Ted Danson awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series. Ted Danson gender male. Ted Danson spouse Mary Steenburgen. Ted Danson date of birth 1947. Ted Danson domain tv actor.,Ted Danson Top Rated Taller 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series' Male Mary Steenburgen 1947," Ted Danson is a top rated taller male tv actor, born in 1947. He won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series and is married to Mary Steenburgen.",inform,tv actors,1,7
Emilia Clarke gender female. Emilia Clarke date of birth 1986. Emilia Clarke height average. Emilia Clarke rating top rated. Emilia Clarke awards received Poppy Awards. Emilia Clarke place of birth London. Emilia Clarke domain tv actor.,Emilia Clarke Female 1986 Average Top Rated 'Poppy Awards' London, Emilia Clarke is a top rated female tv actor born in London in 1986 of average height. She has received the Poppy Awards.,inform,tv actors,1,7
Lena Headey spouse Peter Loughran. Lena Headey height average. Lena Headey date of birth 1973. Lena Headey gender female. Lena Headey place of birth Hamilton. Lena Headey domain tv actor.,Lena Headey Peter Loughran Average 1973 Female Hamilton, Lena Headey is a female tv actor born in 1973 in Hamilton with an average height. She is married to Peter Loughran.,inform,tv actors,1,6
Emilia Clarke rating top rated. Emilia Clarke awards received Poppy Awards. Emilia Clarke place of birth London. Emilia Clarke gender female. Emilia Clarke height average. Emilia Clarke domain tv actor.,Emilia Clarke Top Rated 'Poppy Awards' London Female Average, Emilia Clarke is a top rated female tv actor from London of average height. She has won the Poppy Awards.,inform,tv actors,1,6
Nikolaj Coster-Waldau rating highly rated. Nikolaj Coster-Waldau domain tv actor.,Nikolaj Coster-Waldau Highly Rated, Nikolaj Coster-Waldau is a highly rated tv actor.,inform,tv actors,1,2
Chandra Wilson date of birth 1969. Chandra Wilson height shorter. Chandra Wilson awards received Theatre World Award. Chandra Wilson gender female. Chandra Wilson domain tv actor.,Chandra Wilson 1969 Shorter 'Theatre World Award' Female, Chandra Wilson is a female tv actor born in 1969 and is shorter in height. She won the Theatre World Award.,inform,tv actors,1,5
Jodie Comer date of birth 1993. Jodie Comer gender female. Jodie Comer rating top rated. Jodie Comer place of birth Liverpool. Jodie Comer domain tv actor.,Jodie Comer 1993 Female Top Rated Liverpool, Jodie Comer is a top rated female tv actor born in 1993 in Liverpool.,inform,tv actors,1,5
Kit Harington rating highly rated. Kit Harington date of birth 1986. Kit Harington spouse Rose Leslie. Kit Harington gender male. Kit Harington place of birth Acton. Kit Harington domain tv actor.,Kit Harington Highly Rated 1986 Rose Leslie Male Acton, Kit Harington is a highly rated male tv actor born in 1986 in Acton. He is married to Rose Leslie.,inform,tv actors,1,6
Jennifer Morrison gender female. Jennifer Morrison height average. Jennifer Morrison place of birth Chicago. Jennifer Morrison domain tv actor.,Jennifer Morrison Female Average Chicago, Jennifer Morrison is a female tv actor from Chicago of average height.,inform,tv actors,1,4
Lauren Cohan cast member of The Walking Dead. Lauren Cohan rating lower rated. Lauren Cohan place of birth New Jersey. Lauren Cohan date of birth 1982. Lauren Cohan domain tv actor.,Lauren Cohan 'The Walking Dead' Lower Rated New Jersey 1982, Lauren Cohan is a lower rated tv actor born in 1982 in New Jersey and is a cast member of The Walking Dead.,inform,tv actors,1,5
Tobias Menzies date of birth 1974. Tobias Menzies domain tv actor.,Tobias Menzies 1974, Tobias Menzies is a tv actor born in 1974.,inform,tv actors,1,2
Amy Poehler rating highly_rated. Amy Poehler gender female. Amy Poehler place of birth Newton. Amy Poehler domain tv actor.,Amy Poehler Highly Rated Female Newton, Amy Poehler is a highly rated female tv actor from Newton.,inform,tv actors,1,4
Aziz Ansari domain tv actor.,Aziz Ansari, Aziz Ansari is a tv actor.,inform,tv actors,1,1
Lana Parrilla height average. Lana Parrilla place of birth Brooklyn. Lana Parrilla spouse Nadie. Lana Parrilla rating lower rated. Lana Parrilla date of birth 1977. Lana Parrilla gender female. Lana Parrilla domain tv actor.,Lana Parrilla Average Brooklyn Nadie Lower Rated 1977 Female, Lana Parrilla is a lower rated female tv actor born in 1977 in Brooklyn. She is of average height and married to Nadie.,inform,tv actors,1,7
Aubrey Plaza date of birth 1984. Aubrey Plaza place of birth Wilmington. Aubrey Plaza gender female. Aubrey Plaza domain tv actor.,Aubrey Plaza 1984 Wilmington Female, Aubrey Plaza is a female tv actor born in 1984 in Wilmington.,inform,tv actors,1,4
Josh Dallas spouse Ginnifer Goodwin. Josh Dallas rating lower rated. Josh Dallas date of birth 1978. Josh Dallas domain tv actor.,Josh Dallas Ginnifer Goodwin Lower Rated 1978, Josh Dallas is a lower rated tv actor born in 1978 and married to Ginnifer Goodwin.,inform,tv actors,1,4
Aziz Ansari place of birth Columbia. Aziz Ansari date of birth 1983. Aziz Ansari awards received Primetime Emmy Award for Outstanding Writing for a Comedy Series. Aziz Ansari gender male. Aziz Ansari domain tv actor.,Aziz Ansari Columbia 1983 'Primetime Emmy Award For Outstanding Writing For A Comedy Series' Male, Aziz Ansari is a male tv actor born in 1983 in Columbia. He won the Primetime Emmy Award for Outstanding Writing for a Comedy Series.,inform,tv actors,1,5
Chris Pratt rating highly_rated. Chris Pratt gender male. Chris Pratt place of birth Virginia. Chris Pratt spouse Katherine Schwarzenegger. Chris Pratt domain tv actor.,Chris Pratt Highly Rated Male Virginia Katherine Schwarzenegger, Chris Pratt is a highly rated male tv actor from Virginia. He is married to Katherine Schwarzenegger.,inform,tv actors,1,5
Rob Lowe gender male. Rob Lowe awards received Golden Raspberry Award for Worst Supporting Actor. Rob Lowe height average. Rob Lowe place of birth Charlottesville. Rob Lowe rating highly_rated. Rob Lowe date of birth 1964. Rob Lowe domain tv actor.,Rob Lowe Male 'Golden Raspberry Award For Worst Supporting Actor' Average Charlottesville Highly Rated 1964, Rob Lowe is a highly rated male tv actor born in Charlottesville in 1964 of average height. He has won a Golden Raspberry Award for Worst Supporting Actor.,inform,tv actors,1,7
"Jim Parsons date of birth 1973. Jim Parsons cast member of The Boys in the Band. Jim Parsons place of birth St. Joseph Medical Center (Houston, Texas). Jim Parsons gender male. Jim Parsons height taller. Jim Parsons domain tv actor.","Jim Parsons 1973 'The Boys In The Band' St. Joseph Medical Center (Houston, Texas) Male Taller"," Jim Parsons is a taller male tv actor born in 1973 at St. Joseph Medical Center (Houston, Texas) and is a cast member of The Boys in the Band.",inform,tv actors,1,6
Jesse Williams date of birth 1981. Jesse Williams height average. Jesse Williams place of birth Chicago. Jesse Williams domain tv actor.,Jesse Williams 1981 Average Chicago, Jesse Williams is a tv actor born in Chicago in 1981 and of average height.,inform,tv actors,1,4
Pedro Pascal awards received MTV Movie Award for Best Hero. Pedro Pascal date of birth 1975. Pedro Pascal place of birth Santiago. Pedro Pascal height average. Pedro Pascal rating highly_rated. Pedro Pascal domain tv actor.,Pedro Pascal 'Mtv Movie Award For Best Hero' 1975 Santiago Average Highly Rated, Pedro Pascal is a highly rated tv actor born in 1975 in Santiago with an average height. He won the MTV Movie Award for Best Hero.,inform,tv actors,1,6
Emmy Rossum place of birth New York City. Emmy Rossum date of birth 1986. Emmy Rossum domain tv actor.,Emmy Rossum New York City 1986, Emmy Rossum is a tv actor born in 1986 in New York City.,inform,tv actors,1,3
Rob Lowe awards received Golden Raspberry Award for Worst Supporting Actor. Rob Lowe rating highly_rated. Rob Lowe place of birth Charlottesville. Rob Lowe domain tv actor.,Rob Lowe 'Golden Raspberry Award For Worst Supporting Actor' Highly Rated Charlottesville, Rob Lowe is a highly rated tv actor from Charlottesville. He has won the Golden Raspberry Award for Worst Supporting Actor.,inform,tv actors,1,4
Jeffrey Dean Morgan date of birth 1966. Jeffrey Dean Morgan rating highly_rated. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan 1966 Highly Rated, Jeffrey Dean Morgan is a highly rated tv actor born in 1966.,inform,tv actors,1,3
