mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
tv shows name Stranger Things. Stranger Things cast member Winona Ryder. Winona Ryder award received Golden Globe Award for Best Supporting Actress – Motion Picture.,Stranger Things Winona Ryder Golden Globe Award for Best Supporting Actress – Motion Picture,"Have you seen Stranger Things? Winona Ryder, who won a Golden Globe Award for Best Supporting Actress – Motion Picture, is in the cast.",recommend,tv shows,2,3
tv shows name Stranger Things. Stranger Things cast member Winona Ryder. Show Me a Hero cast member Winona Ryder.,Stranger Things Winona Ryder Show Me a Hero,Did you watch Winona Ryder in Stranger Things or Show Me a Hero?,suggest,tv shows,2,3
tv shows name Stranger Things. Stranger Things genre science fiction television program. Beauty and the Beast genre science fiction television program.,Stranger Things science fiction television program Beauty and the Beast,Are you familiar with science fiction television programs such as Stranger Things and Beauty and the Beast?,suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi genre science fiction. Andor genre science fiction.,Obi-Wan Kenobi science fiction Andor,"Obi-Wan Kenobi is a science fiction television series, while Andor is a science fiction show.",inform,tv shows,2,3
tv shows name Stranger Things. Stranger Things screenwriter Ross Duffer. Chapter Nine: The Piggyback screenwriter Ross Duffer.,Stranger Things Ross Duffer Chapter Nine: The Piggyback,"Did you follow the tv series Stranger Things, written by Ross Duffer in Chapter Nine: The Piggyback?",suggest,tv shows,2,3
tv shows name The Lord of the Rings: The Rings of Power. The Lord of the Rings: The Rings of Power cast member Maxim Baldry. Rome cast member Maxim Baldry.,The Lord of the Rings: The Rings of Power Maxim Baldry Rome,Did you see Maxim Baldry in The Lord of the Rings: The Rings of Power or Rome?,suggest,tv shows,2,3
tv shows name The Lord of the Rings: The Rings of Power. The Lord of the Rings: The Rings of Power genre action television series. Supernatural genre action television series.,The Lord of the Rings: The Rings of Power action television series Supernatural,Do you like action television series like The Lord of the Rings: The Rings of Power and Supernatural?,suggest,tv shows,2,3
tv shows name The Lord of the Rings: The Rings of Power. The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. Piñata screenwriter Gennifer Hutchison.,The Lord of the Rings: The Rings of Power Gennifer Hutchison Piñata,Did you follow Gennifer Hutchison's television series The Lord of the Rings: The Rings of Power and Piñata?,suggest,tv shows,2,3
tv shows name The Lord of the Rings: The Rings of Power. The Lord of the Rings: The Rings of Power rating good. The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison.,The Lord of the Rings: The Rings of Power good The Lord of the Rings: The Rings of Power Gennifer Hutchison,The Lord of the Rings: The Rings of Power is a good show with great writing from Gennifer Hutchison.,give_opinion,tv shows,2,3
tv shows name Wednesday. Wednesday cast member Fred Armisen. Documentary Now! creator Fred Armisen.,Wednesday Fred Armisen Documentary Now!,"Have you heard of Wednesday? It stars Fred Armisen and was created by Fred Armisen, the creator of Documentary Now!.",recommend,tv shows,2,3
tv shows name The Crown. The Crown genre biographical film. Victoria genre biographical film.,The Crown biographical film Victoria,"The Crown is a biographical film, while Victoria is a biographical film.",inform,tv shows,2,3
tv shows name Wednesday. Wednesday creator Alfred Gough. Smallville screenwriter Alfred Gough.,Wednesday Alfred Gough Smallville,"Are you a fan of Alfred Gough's work, such as Wednesday and Smallville?",suggest,tv shows,2,3
tv shows name The Big Bang Theory. The Big Bang Theory genre American television sitcom. Friends genre American television sitcom.,The Big Bang Theory American television sitcom Friends,"The Big Bang Theory is an American television sitcom, as is Friends.",inform,tv shows,2,3
tv shows name Wednesday. Wednesday genre comedy horror. Ash vs Evil Dead genre comedy horror.,Wednesday comedy horror Ash vs Evil Dead,Have you seen the comedy horror TV series Wednesday or Ash vs Evil Dead?,recommend,tv shows,2,3
tv shows name Downton Abbey. Downton Abbey genre LGBTI+ related TV series. Heroes genre LGBTI+ related TV series.,Downton Abbey LGBTI+ related TV series Heroes,Downton Abbey and Heroes are LGBTI+ related TV series.,inform,tv shows,2,3
tv shows name Lucifer. Lucifer genre fantasy television series. Winx Club genre fantasy television series.,Lucifer fantasy television series Winx Club,"Lucifer is a fantasy television series, and Winx Club is another fantasy television series.",inform,tv shows,2,3
tv shows name Wednesday. Wednesday screenwriter Alfred Gough. Smallville creator Alfred Gough.,Wednesday Alfred Gough Smallville,"Are you familiar with Alfred Gough's works, like Wednesday or Smallville?",suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi genre science fiction. Andor genre science fiction.,Obi-Wan Kenobi science fiction Andor,Are you a fan of science fiction shows like Obi-Wan Kenobi and Andor?,suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi cast member Ewan McGregor. Ewan McGregor award received Donostia Award.,Obi-Wan Kenobi Ewan McGregor Donostia Award,"Have you seen Obi-Wan Kenobi? It stars Ewan McGregor, who won a Donostia Award for his performance.",recommend,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi characters Darth Vader. Star Wars: Battlefront II characters Darth Vader.,Obi-Wan Kenobi Darth Vader Star Wars: Battlefront II,"Are you familiar with shows featuring Darth Vader, such as Obi-Wan Kenobi and Star Wars: Battlefront II?",suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi cast member Ewan McGregor. Ewan McGregor award received Donostia Award.,Obi-Wan Kenobi Ewan McGregor Donostia Award,"Did you watch the tv show Obi-Wan Kenobi starring Ewan McGregor, who won the Donostia Award?",suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi cast member Ewan McGregor. Long Way Round cast member Ewan McGregor.,Obi-Wan Kenobi Ewan McGregor Long Way Round,"Have you seen Ewan McGregor in any tv series, like Obi-Wan Kenobi or Long Way Round?",suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi screenwriter Hossein Amini. McMafia screenwriter Hossein Amini.,Obi-Wan Kenobi Hossein Amini McMafia,"Have you watched Obi-Wan Kenobi, written by Hossein Amini? He also wrote the McMafia series.",recommend,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi screenwriter Hossein Amini. McMafia creator Hossein Amini.,Obi-Wan Kenobi Hossein Amini McMafia,"Have you seen Obi-Wan Kenobi, written by Hossein Amini who also created McMafia?",recommend,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi screenwriter Hossein Amini. McMafia screenwriter Hossein Amini.,Obi-Wan Kenobi Hossein Amini McMafia,"Are you familiar with Hossein Amini's works, such as Obi-Wan Kenobi and McMafia?",suggest,tv shows,2,3
tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi screenwriter Hossein Amini. McMafia creator Hossein Amini.,Obi-Wan Kenobi Hossein Amini McMafia,"Are you familiar with Hossein Amini's work, like Obi-Wan Kenobi or McMafia?",suggest,tv shows,2,3
tv shows name Yellowstone. Yellowstone genre television western. Breaking Bad genre television western.,Yellowstone television western Breaking Bad,Have you seen the television western Yellowstone? It's similar to Breaking Bad.,recommend,tv shows,2,3
