,Unnamed: 0,index,mr_new,da,text,num_hops,num_triples,shape,pseudo_mr,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,
50434,50434,0,Stranger Things cast member Winona Ryder. Winona Ryder award received Golden Globe Award for Best Supporting Actress – Motion Picture. Stranger Things domain tv.,recommend," Have you seen Stranger Things? Winona Ryder, who won a Golden Globe Award for Best Supporting Actress – Motion Picture, is in the cast.",2,3,(X (X (X))),Stranger Things Winona Ryder Golden Globe Award for Best Supporting Actress – Motion Picture,recommend,0.9868484,0.02772157197,36.07299042,36.39723552,0.9340422,match_scores_PPL,
59733,59733,1,Stranger Things cast member Winona Ryder. Show Me a Hero cast member Winona Ryder. Stranger Things domain tv.,suggest,Did you watch Winona Ryder in Stranger Things or Show Me a Hero?,2,3,(X (X (X))),Stranger Things Winona Ryder Show Me a Hero,suggest,0.96141815,0.0121083283,82.58778381,24.02211086,0.9186966,match_scores,
59747,59747,2,Stranger Things genre science fiction television program. Beauty and the Beast genre science fiction television program. Stranger Things domain tv.,suggest,Are you familiar with science fiction television programs such as Stranger Things and Beauty and the Beast?,2,3,(X (X (X))),Stranger Things science fiction television program Beauty and the Beast,suggest,0.98924434,0.04713843886,21.21410942,21.67183006,0.88180214,match_scores,
13563,13563,3,Obi-Wan Kenobi genre science fiction. Andor genre science fiction. Obi-Wan Kenobi domain tv.,inform," Obi-Wan Kenobi is a science fiction television series, while Andor is a science fiction show.",2,3,(X (X (X))),Obi-Wan Kenobi science fiction Andor,inform,0.97366273,0.02817796455,35.48872375,6.839596062,0.8200543,match_scores,
59758,59758,4,Stranger Things screenwriter Ross Duffer. Chapter Nine: The Piggyback screenwriter Ross Duffer. Stranger Things domain tv.,suggest," Did you follow the tv series Stranger Things, written by Ross Duffer in Chapter Nine: The Piggyback?",2,3,(X (X (X))),Stranger Things Ross Duffer Chapter Nine: The Piggyback,suggest,0.98125225,0.008671854924,115.3155823,22.97523683,0.8332529,match_scores,
59775,59775,5,The Lord of the Rings: The Rings of Power cast member Maxim Baldry. Rome cast member Maxim Baldry. The Lord of the Rings: The Rings of Power domain tv.,suggest,Did you see Maxim Baldry in The Lord of the Rings: The Rings of Power or Rome?,2,3,(X (X (X))),The Lord of the Rings: The Rings of Power Maxim Baldry Rome,suggest,0.9586274,0.009452214761,105.795311,52.89128182,0.9385262,match_scores,
59785,59785,6,The Lord of the Rings: The Rings of Power genre action television series. Supernatural genre action television series. The Lord of the Rings: The Rings of Power domain tv.,suggest,Do you like action television series like The Lord of the Rings: The Rings of Power and Supernatural?,2,3,(X (X (X))),The Lord of the Rings: The Rings of Power action television series Supernatural,suggest,0.9916487,0.02390980557,41.82384491,53.74512308,0.9274018,match_scores,
59796,59796,7,The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. Piñata screenwriter Gennifer Hutchison. The Lord of the Rings: The Rings of Power domain tv.,suggest,Did you follow Gennifer Hutchison's television series The Lord of the Rings: The Rings of Power and Piñata?,2,3,(X (X (X))),The Lord of the Rings: The Rings of Power Gennifer Hutchison Piñata,suggest,0.98558456,0.0230236067,43.43368149,47.75586214,0.9189151,match_scores,
86,86,8,The Lord of the Rings: The Rings of Power rating good. The Lord of the Rings: The Rings of Power screenwriter Gennifer Hutchison. The Lord of the Rings: The Rings of Power domain tv.,give_opinion,The Lord of the Rings: The Rings of Power is a good show with great writing from Gennifer Hutchison.,2,3,(X (X (X))),The Lord of the Rings: The Rings of Power good The Lord of the Rings: The Rings of Power Gennifer Hutchison,give_opinion,0.9947713,0.02709933418,36.90127563,43.137266,0.8807538,match_scores_PPL,
50525,50525,9,Wednesday cast member Fred Armisen. Documentary Now! creator Fred Armisen. Wednesday domain tv.,recommend," Have you heard of Wednesday? It stars Fred Armisen and was created by Fred Armisen, the creator of Documentary Now!.",2,3,(X (X (X))),Wednesday Fred Armisen Documentary Now!,recommend,0.9928208,0.02171936104,46.04187012,7.707532489,0.81073457,match_scores,
13635,13635,10,The Crown genre biographical film. Victoria genre biographical film. The Crown domain tv.,inform," The Crown is a biographical film, while Victoria is a biographical film.",2,3,(X (X (X))),The Crown biographical film Victoria,inform,0.929878,0.02463633901,40.59044647,8.493098745,0.90500903,match_scores,
59832,59832,11,Wednesday creator Alfred Gough. Smallville screenwriter Alfred Gough. Wednesday domain tv.,suggest," Are you a fan of Alfred Gough's work, such as Wednesday and Smallville?",2,3,(X (X (X))),Wednesday Alfred Gough Smallville,suggest,0.99049145,0.009731867277,102.7552032,3.458592114,0.8431464,match_scores,
13651,13651,12,The Big Bang Theory genre American television sitcom. Friends genre American television sitcom. The Big Bang Theory domain tv.,inform," The Big Bang Theory is an American television sitcom, as is Friends.",2,3,(X (X (X))),The Big Bang Theory American television sitcom Friends,inform,0.94112307,0.02563832479,39.00410843,26.58483577,0.93305504,match_scores_PPL,
50566,50566,13,Wednesday genre comedy horror. Ash vs Evil Dead genre comedy horror. Wednesday domain tv.,recommend,Have you seen the comedy horror TV series Wednesday or Ash vs Evil Dead?,2,3,(X (X (X))),Wednesday comedy horror Ash vs Evil Dead,recommend,0.74516255,0.009536948801,104.8553391,20.33344819,0.8688253,match_scores,
13675,13675,14,Downton Abbey genre LGBTI+ related TV series. Heroes genre LGBTI+ related TV series. Downton Abbey domain tv.,inform,Downton Abbey and Heroes are LGBTI+ related TV series.,2,3,(X (X (X))),Downton Abbey LGBTI+ related TV series Heroes,inform,0.9868281,0.006289540558,158.9941254,41.72261449,0.97762454,match_scores,
13686,13686,15,Lucifer genre fantasy television series. Winx Club genre fantasy television series. Lucifer domain tv.,inform," Lucifer is a fantasy television series, and Winx Club is another fantasy television series.",2,3,(X (X (X))),Lucifer fantasy television series Winx Club,inform,0.6906438,0.007838859854,127.5695724,11.98091453,0.9068353,match_scores,
59884,59884,16,Wednesday screenwriter Alfred Gough. Smallville creator Alfred Gough. Wednesday domain tv.,suggest," Are you familiar with Alfred Gough's works, like Wednesday or Smallville?",2,3,(X (X (X))),Wednesday Alfred Gough Smallville,suggest,0.96658695,0.00556325589,179.7508545,4.065425429,0.84940165,match_scores,
59896,59896,17,Obi-Wan Kenobi genre science fiction. Andor genre science fiction. Obi-Wan Kenobi domain tv.,suggest,Are you a fan of science fiction shows like Obi-Wan Kenobi and Andor?,2,3,(X (X (X))),Obi-Wan Kenobi science fiction Andor,suggest,0.9888965,0.02720617669,36.7563591,8.493098745,0.8757836,match_scores,
50609,50609,18,Obi-Wan Kenobi cast member Ewan McGregor. Ewan McGregor award received Donostia Award. Obi-Wan Kenobi domain tv.,recommend," Have you seen Obi-Wan Kenobi? It stars Ewan McGregor, who won a Donostia Award for his performance.",2,3,(X (X (X))),Obi-Wan Kenobi Ewan McGregor Donostia Award,recommend,0.9842927,0.01789777477,55.87286758,6.632379584,0.89326483,match_scores,
59917,59917,19,Obi-Wan Kenobi characters Darth Vader. Star Wars: Battlefront II characters Darth Vader. Obi-Wan Kenobi domain tv.,suggest," Are you familiar with shows featuring Darth Vader, such as Obi-Wan Kenobi and Star Wars: Battlefront II?",2,3,(X (X (X))),Obi-Wan Kenobi Darth Vader Star Wars: Battlefront II,suggest,0.9823647,0.03549945209,28.16944885,22.97523683,0.9088845,match_scores,
