mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"tv shows name Star Trek: Picard. Star Trek: Picard review score average. Star Trek: Picard creator Jonathan Frakes, Hanelle Culpepper.","Star Trek: Picard Average 'Jonathan Frakes', 'Hanelle Culpepper'","Have you seen Star Trek: Picard, created by Jonathan Frakes and Hanelle Culpepper? It has an average review score.",recommend,tv shows,1,3
"tv shows name The Empress. The Empress review score average. The Empress character Duke in Bavaria, Prince of Vasa.","The Empress Average Duke In Bavaria', Prince Of Vasa'",The Empress is an average show with great characters like Duke in Bavaria and Prince of Vasa.,give_opinion,tv shows,1,3
"tv shows name Breaking Bad. Breaking Bad genre crime television series. Breaking Bad character Lydia Rodarte-Quayle, Hank Schrader. Breaking Bad awards received Primetime Emmy Award for Outstanding Writing for a Drama Series. Breaking Bad review score excellent.","Breaking Bad 'Crime Television Series' 'Lydia Rodarte-Quayle', 'Hank Schrader' 'Primetime Emmy Award For Outstanding Writing For A Drama Series' Excellent",Breaking Bad is an excellent-rated crime television series starring Lydia Rodarte-Quayle and Hank Schrader. It has won the Primetime Emmy Award for Outstanding Writing for a Drama Series.,inform,tv shows,1,5
"tv shows name Belgravia. Belgravia genre historical television series. Belgravia screenwriter Julian Fellowes. Belgravia cast member Jack Shalloo, Alice Eve. Belgravia awards received . Belgravia character Duchess of Bedford, Duchess of Richmond. Belgravia review score average. Belgravia creator John Alexander.","Belgravia 'Historical Television Series' 'Julian Fellowes' 'Jack Shalloo', 'Alice Eve' 'None' Duchess Of Bedford', Duchess Of Richmond' Average 'John Alexander'","Belgravia is an average-rated historical television series created by John Alexander, written by Julian Fellowes, and starring Jack Shalloo, Alice Eve, Duchess of Bedford, and Duchess of Richmond.",inform,tv shows,1,8
"tv shows specifier realistic. tv shows cast member Kelly Reilly, Kevin Costner.","Realistic 'Kelly Reilly', 'Kevin Costner'",Is there a realistic TV show with Kelly Reilly and Kevin Costner?,request,tv shows,1,2
tv shows name Self Made: Inspired by the Life of Madam C. J. Walker. Self Made: Inspired by the Life of Madam C. J. Walker review score average.,Self Made: Inspired By The Life Of Madam C. J. Walker Average,I think Self Made: Inspired by the Life of Madam C. J. Walker is an average show.,give_opinion,tv shows,1,2
tv shows specifier engaging. tv shows screenwriter Anja Marquardt.,Engaging 'Anja Marquardt',Is there an engaging TV show from Anja Marquardt?,request,tv shows,1,2
tv shows name The Virgin Queen. The Virgin Queen review score average.,The Virgin Queen Average,The Virgin Queen is an average show that is worth watching.,give_opinion,tv shows,1,2
tv shows specifier engaging. tv shows screenwriter Miikko Oikkonen.,Engaging 'Miikko Oikkonen',Is there a Miikko Oikkonen show that was particularly engaging?,request,tv shows,1,2
"tv shows name Galactica 1980. Galactica 1980 genre science fiction television series. Galactica 1980 cast member Kent McCord, Marj Dusay. Galactica 1980 creator Vince Edwards, Ron Satlof.","Galactica 1980 'Science Fiction Television Series' 'Kent Mccord', 'Marj Dusay' 'Vince Edwards', 'Ron Satlof'","Galactica 1980 is a science fiction television series starring Kent McCord, Marj Dusay, and created by Vince Edwards and Ron Satlof.",inform,tv shows,1,4
tv shows specifier cheerful. tv shows screenwriter Will Dunn.,Cheerful 'Will Dunn',Is there a Will Dunn show that would make you feel cheerful?,request,tv shows,1,2
tv shows name Ekaterina. Ekaterina review score average.,Ekaterina Average,Ekaterina is an average TV show.,give_opinion,tv shows,1,2
tv shows specifier interesting. tv shows genre science fiction television series.,Interesting 'Science Fiction Television Series',Can you think of an interesting science fiction television series?,request,tv shows,1,2
tv shows name Drop Dead Diva. Drop Dead Diva review score average. Drop Dead Diva screenwriter Josh Berman.,Drop Dead Diva Average 'Josh Berman',Drop Dead Diva is an average show with good writing from Josh Berman.,give_opinion,tv shows,1,3
"tv shows name The Empress. The Empress genre biographical film. The Empress screenwriter Katharina Eyssen. The Empress review score average. The Empress awards received . The Empress character Duke in Bavaria, Duke Maximilian Joseph. The Empress creator Katrin Gebbe, Florian Cossen.","The Empress 'Biographical Film' 'Katharina Eyssen' Average 'None' Duke In Bavaria', 'Duke Maximilian Joseph 'Katrin Gebbe', 'Florian Cossen'","The Empress is an average-rated biographical film written by Katharina Eyssen and created by Katrin Gebbe and Florian Cossen, starring Duke in Bavaria and Duke Maximilian Joseph. It hasn't won any awards.",inform,tv shows,1,7
tv shows name The Affair. The Affair genre drama television series. The Affair character Scotty Lockhart.,The Affair 'Drama Television Series' 'Scotty Lockhart',The Affair is a drama television series starring Scotty Lockhart.,inform,tv shows,1,3
"tv shows name Obi-Wan Kenobi. Obi-Wan Kenobi genre science fiction television series. Obi-Wan Kenobi creator Deborah Chow. Obi-Wan Kenobi character Darth Vader, Obi-Wan Kenobi. Obi-Wan Kenobi cast member Ewan McGregor, Jimmy Smits. Obi-Wan Kenobi awards received .","Obi-Wan Kenobi 'Science Fiction Television Series' 'Deborah Chow' 'Darth Vader', 'Obi-Wan Kenobi' 'Ewan Mcgregor', 'Jimmy Smits' 'None'","Obi-Wan Kenobi is a science fiction television series created by Deborah Chow and starring Ewan McGregor, Jimmy Smits, Darth Vader, and Obi-Wan Kenobi. It hasn't won any awards.",inform,tv shows,1,6
"tv shows name Ekaterina. Ekaterina review score average. Ekaterina cast member Danila Dunayev, Artyom Alekseev.","Ekaterina Average 'Danila Dunayev', 'Artyom Alekseev'","Have you seen Ekaterina, the TV show starring Danila Dunayev and Artyom Alekseev? It has an average review score.",recommend,tv shows,1,3
tv shows specifier overrated. tv shows screenwriter Donald Glover.,Overrated 'Donald Glover',Is there an overrated show from Donald Glover that you can think of?,request,tv shows,1,2
tv shows specifier interesting. tv shows creator Nick Hurran.,Interesting 'Nick Hurran',What interesting show have you seen from Nick Hurran?,request,tv shows,1,2
"tv shows name Stranger Things. Stranger Things genre science fiction television series. Stranger Things review score good. Stranger Things character Nancy Wheeler, Eleven.","Stranger Things 'Science Fiction Television Series' Good 'Nancy Wheeler', 'Eleven'",Stranger Things is a good-rated science fiction television series starring Nancy Wheeler and Eleven.,inform,tv shows,1,4
tv shows name Stranger Things. Stranger Things review score good. Stranger Things awards received Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series.,Stranger Things Good 'Screen Actors Guild Award For Outstanding Performance By An Ensemble In A Drama Series',Have you seen Stranger Things? It has a good review score and won the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series.,recommend,tv shows,1,3
"tv shows name Perry Mason. Perry Mason review score average. Perry Mason character Perry Mason, Hamilton Burger.","Perry Mason Average 'Perry Mason', 'Hamilton Burger'","Perry Mason is an average show, but I really enjoyed the characters Perry Mason and Hamilton Burger.",give_opinion,tv shows,1,3
tv shows name Black Earth Rising. Black Earth Rising review score average.,Black Earth Rising Average,Black Earth Rising is an average TV show.,give_opinion,tv shows,1,2
tv shows name The Big Bang Theory. The Big Bang Theory review score excellent. The Big Bang Theory screenwriter Steven Molaro. The Big Bang Theory awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series.,The Big Bang Theory Excellent 'Steven Molaro' 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series',"The Big Bang Theory is an excellent show, with great writing from Steven Molaro and awards such as the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series.",give_opinion,tv shows,1,4
tv shows name The Last of Us. The Last of Us genre adventure television series. The Last of Us screenwriter Neil Druckmann.,The Last Of Us 'Adventure Television Series' 'Neil Druckmann',The Last of Us is an adventure television series written by Neil Druckmann.,inform,tv shows,1,3
"tv shows name Downton Abbey. Downton Abbey review score average. Downton Abbey creator Brian Kelly, David Evans. Downton Abbey screenwriter Shelagh Stephenson.","Downton Abbey Average 'Brian Kelly', 'David Evans' 'Shelagh Stephenson'","I think Downton Abbey is an average show with good writing from Brian Kelly, David Evans, and Shelagh Stephenson.",give_opinion,tv shows,1,4
"tv shows name Twin Peaks. Twin Peaks genre thriller television series. Twin Peaks creator Mark Frost, David Lynch. Twin Peaks review score excellent. Twin Peaks screenwriter David Lynch.","Twin Peaks 'Thriller Television Series' 'Mark Frost', 'David Lynch' Excellent 'David Lynch'","Twin Peaks is an excellent-rated thriller television series created by Mark Frost and David Lynch, written by David Lynch.",inform,tv shows,1,5
"tv shows name My Love from the Star. My Love from the Star genre romance film. My Love from the Star review score average. My Love from the Star creator Jang Tae-yoo. My Love from the Star character Heo Jun, Heo Gyun.","My Love From The Star 'Romance Film' Average 'Jang Tae-Yoo' 'Heo Jun', 'Heo Gyun'","My Love from the Star is an average-rated romance film created by Jang Tae-yoo, starring Heo Jun and Heo Gyun.",inform,tv shows,1,5
tv shows name Belgravia. Belgravia review score average. Belgravia creator John Alexander. Belgravia genre historical television series.,Belgravia Average 'John Alexander' 'Historical Television Series',I think Belgravia is an average historical television series created by John Alexander.,give_opinion,tv shows,1,4
"tv shows specifier realistic. tv shows cast member Lalor Roddy, India Mullen.","Realistic 'Lalor Roddy', 'India Mullen'",Is there a show with Lalor Roddy and India Mullen that feels realistic?,request,tv shows,1,2
tv shows specifier funniest. tv shows screenwriter Josh Friedman.,Funniest 'Josh Friedman',What's the funniest show you've seen from Josh Friedman?,request,tv shows,1,2
"tv shows name The Girlfriend Experience. The Girlfriend Experience review score average. The Girlfriend Experience creator Anja Marquardt, Amy Seimetz.","The Girlfriend Experience Average 'Anja Marquardt', 'Amy Seimetz'","I think The Girlfriend Experience is an average show thanks to its creators, Anja Marquardt and Amy Seimetz.",give_opinion,tv shows,1,3
tv shows name Wolf Hall. Wolf Hall review score average. Wolf Hall awards received Golden Globe Award for Best Miniseries or Television Film.,Wolf Hall Average 'Golden Globe Award For Best Miniseries Or Television Film',Have you heard of Wolf Hall? It has an average review score and won the Golden Globe Award for Best Miniseries or Television Film.,recommend,tv shows,1,3
tv shows specifier boring. tv shows creator Mark Cendrowski.,Boring 'Mark Cendrowski',Did you find any Mark Cendrowski show boring?,request,tv shows,1,2
"tv shows specifier funniest. tv shows creator Edward Bazalgette, Nick Murphy.","Funniest 'Edward Bazalgette', 'Nick Murphy'",What's the funniest show you've seen from Edward Bazalgette and Nick Murphy?,request,tv shows,1,2
"tv shows name Freud. Freud review score average. Freud character Amalia Freud, Crown Prince of Austria.","Freud Average 'Amalia Freud', Crown Prince Of Austria'","Freud is an average show, but the characters of Amalia Freud and the Crown Prince of Austria are engaging.",give_opinion,tv shows,1,3
tv shows name Lonesome Dove. Lonesome Dove genre television western. Lonesome Dove screenwriter William D. Wittliff.,Lonesome Dove 'Television Western' 'William D. Wittliff',Lonesome Dove is a television western written by William D. Wittliff.,inform,tv shows,1,3
tv shows name The Virgin Queen. The Virgin Queen review score average. The Virgin Queen creator Coky Giedroyc.,The Virgin Queen Average 'Coky Giedroyc',"Have you heard of The Virgin Queen, the TV show created by Coky Giedroyc? It has an average review score.",recommend,tv shows,1,3
